Bureau of Justice Statistics,,,,,,,,,,
Filename:  jeeus1103.csv,,,,,,,,,,
"Table 3.   Percent distribution of expenditure for the justice system by type of government, fiscal 2011 (preliminary)",,,,,,,,,,
"Series title:  Justice Expenditure and Employment Extracts 2011, NCJ 247020",,,,,,,,,,
Data source:  Justice Expenditure and Employment Extracts Program (JEE),,,,,,,,,,
Author: Tracey Kyckelhahn,,,,,,,,,,
Refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,
Date of version:  ,,,,,,,,,,
,,,,,,,,,,
"Table 3.   Percent distribution of expenditure for the justice system by type of government, fiscal 2011 (preliminary)",,,,,,,,,,
(Dollar amounts in thousands),,,,,,,,,,
,,,,,,,,,,
,,,Total justice system,,Police protection,,Judicial and legal,,Corrections,
,,,,,,,,,,
,,,,,,Percent,,Percent,,Percent
,Population,,,Percent of,,of total,,of total,,of total
State and type,2011,Total direct,,total direct,,justice,,justice,,justice
of government,(thousands),expenditure/a,Amount,expenditure/b,Amount,system,Amount,system,Amount,system
,,,,,,,,,,
State,-,10466451,496907,4.7,76036,15.3,151563,30.5,269308,54.2
"Local, total",-,5933919,399821,6.7,280857,70.2,64563,16.1,54401,13.6
Counties,-,887426,259726,29.3,147169,56.7,58156,22.4,54401,20.9
Municipalities,-,1156693,140095,12.1,133688,95.4,6407,4.6,0,0
,,,,,,,,,,
Wisconsin,5710,56696015,3907578,6.9,1770295,45.3,593657,15.2,1543626,39.5
State,-,28920878,1456805,5,127402,8.7,281853,19.3,1047550,71.9
"Local, total",-,27775137,2450773,8.8,1642893,67,311804,12.7,496076,20.2
Counties,-,6023264,1204315,20,465236,38.6,249179,20.7,489900,40.7
Municipalities,-,7758638,1246458,16.1,1177657,94.5,62625,5,6176,0.5
,,,,,,,,,,
Wyoming,567,8666247,530450,6.1,213770,40.3,115639,21.8,201041,37.9
State,-,4020493,257244,6.4,49415,19.2,71115,27.6,136714,53.1
"Local, total",-,4645754,273206,5.9,164355,60.2,44524,16.3,64327,23.5
Counties,-,1074092,166711,15.5,67516,40.5,35321,21.2,63874,38.3
Municipalities,-,906849,106495,11.7,96839,90.9,9203,8.6,453,0.4
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Notes:  Local government data are estimates subject to variability.,,,,,,,,,,
"Population figures are from the Bureau of the Census, Current Population Reports, Series P-25, No. 1045, July 2012.",,,,,,,,,,
"a/ Total direct expenditures include outlays of States and all types of local governments including independent school districts and special districts , which are not displayed separately.   The ""Local, total"" lines, which include these districts, will not equal the sum of the ""Counties"" and ""Municipalities"" lines.",,,,,,,,,,
b/ Justice system expenditure of independent school districts (primarily for special police forces) are not available.,,,,,,,,,,
