"Bureau of Justice Statistics",,,,,,,,,,,,,,
"Local, total","-",$3189205.00,$261355.00,8.2,,$170051.00,65.1,,$48929.00,18.7,,$42375.00,16.2,
"Counties","-",$688357.00,$163156.00,23.7,,$79038.00,48.4,,$41764.00,25.6,,$42354.00,26.0,
"Municipalities","-",$635628.00,$98199.00,15.4,,$91013.00,92.7,,$7165.00,7.3,,$21.00,0.0,
,,,,,,,,,,,,,,
"Illinois",12419,$74724368.00,$5777158.00,7.7,,$3053337.00,52.9,,$961250.00,16.6,,$1762571.00,30.5,
"State","-",$29132804.00,$1880969.00,6.5,,$335718.00,17.8,,$267766.00,14.2,,$1277485.00,67.9,
"Local, total","-",$45591564.00,$3896189.00,8.5,,$2717619.00,69.8,,$693484.00,17.8,,$485086.00,12.5,
"Counties","-",$4910146.00,$1442754.00,29.4,,$336676.00,23.3,,$621088.00,43.0,,$484990.00,33.6,
"Municipalities","-",$14485636.00,$2453435.00,16.9,,$2380943.00,97.0,,$72396.00,3.0,,$96.00,0.0,
,,,,,,,,,,,,,,
"Indiana",6080,$31245691.00,$1894617.00,6.1,,$842818.00,44.5,,$324887.00,17.1,,$726912.00,38.4,
"State","-",$13553658.00,$831589.00,6.1,,$198399.00,23.9,,$96465.00,11.6,,$536725.00,64.5,
"Local, total","-",$17692033.00,$1063028.00,6.0,,$644419.00,60.6,,$228422.00,21.5,,$190187.00,17.9,
"Counties","-",$3727023.00,$479181.00,12.9,,$153910.00,32.1,,$170586.00,35.6,,$154685.00,32.3,
"Municipalities","-",$5551845.00,$583847.00,10.5,,$490509.00,84.0,,$57836.00,9.9,,$35502.00,6.1,
,,,,,,,,,,,,,,
"Iowa",2926,$17238851.00,$977082.00,5.7,,$426865.00,43.7,,$252649.00,25.9,,$297568.00,30.5,
"State","-",$8241231.00,$501429.00,6.1,,$80403.00,16.0,,$196662.00,39.2,,$224364.00,44.7,
"Local, total","-",$8997620.00,$475653.00,5.3,,$346462.00,72.8,,$55987.00,11.8,,$73204.00,15.4,
"Counties","-",$1713395.00,$220793.00,12.9,,$101639.00,46.0,,$46488.00,21.1,,$72666.00,32.9,
"Municipalities","-",$3013771.00,$254860.00,8.5,,$244823.00,96.1,,$9499.00,3.7,,$538.00,0.2,
,,,,,,,,,,,,,,
"Kansas",2688,$14418887.00,$985103.00,6.8,,$429773.00,43.6,,$206075.00,20.9,,$349255.00,35.5,
"State","-",$6270525.00,$451373.00,7.2,,$53008.00,11.7,,$125523.00,27.8,,$272842.00,60.4,
"Local, total","-",$8148362.00,$533730.00,6.6,,$376765.00,70.6,,$80552.00,15.1,,$76413.00,14.3,
"Counties","-",$1496815.00,$252438.00,16.9,,$118989.00,47.1,,$58245.00,23.1,,$75204.00,29.8,
"Municipalities","-",$2639675.00,$281292.00,10.7,,$257776.00,91.6,,$22307.00,7.9,,$1209.00,0.4,
,,,,,,,,,,,,,,
"Kentucky",4042,$21473123.00,$1388829.00,6.5,,$488139.00,35.1,,$290125.00,20.9,,$610565.00,44.0,
"State","-",$12402221.00,$793810.00,6.4,,$161148.00,20.3,,$238440.00,30.0,,$394222.00,49.7,
"Local, total","-",$9070902.00,$595019.00,6.6,,$326991.00,55.0,,$51685.00,8.7,,$216343.00,36.4,
"Counties","-",$1828418.00,$270989.00,14.8,,$80514.00,29.7,,$33681.00,12.4,,$156794.00,57.9,
"Municipalities","-",$2516312.00,$324030.00,12.9,,$246477.00,76.1,,$18004.00,5.6,,$59549.00,18.4,
,,,,,,,,,,,,,,
"Louisiana",4469,$25018335.00,$1967772.00,7.9,,$829333.00,42.1,,$358594.00,18.2,,$779845.00,39.6,
"State","-",$12832100.00,$725572.00,5.7,,$194802.00,26.8,,$133962.00,18.5,,$396808.00,54.7,
"Local, total","-",$12186235.00,$1242200.00,10.2,,$634531.00,51.1,,$224632.00,18.1,,$383037.00,30.8,
"Parishes","-",$3588177.00,$701121.00,19.5,,$257744.00,36.8,,$132643.00,18.9,,$310734.00,44.3,
"Municipalities","-",$3486751.00,$541079.00,15.5,,$376787.00,69.6,,$91989.00,17.0,,$72303.00,13.4,
,,,,,,,,,,,,,,
"Maine",1275,$7643277.00,$355751.00,4.7,,$163824.00,46.1,,$68623.00,19.3,,$123304.00,34.7,
"State","-",$4535685.00,$195979.00,4.3,,$45389.00,23.2,,$58708.00,30.0,,$91882.00,46.9,
"Local, total","-",$3107592.00,$159772.00,5.1,,$118435.00,74.1,,$9915.00,6.2,,$31422.00,19.7,
"Counties","-",$88895.00,$55202.00,62.1,,$17556.00,31.8,,$6963.00,12.6,,$30683.00,55.6,
"Municipalities","-",$1935175.00,$104570.00,5.4,,$100879.00,96.5,,$2952.00,2.8,,$739.00,0.7,
,,,,,,,,,,,,,,
"Maryland",5296,$30598125.00,$2713505.00,8.9,,$1120192.00,41.3,,$489411.00,18.0,,$1103902.00,40.7,
"State","-",$15014334.00,$1429328.00,9.5,,$234208.00,16.4,,$301214.00,21.1,,$893906.00,62.5,
"Local, total","-",$15583791.00,$1284177.00,8.2,,$885984.00,69.0,,$188197.00,14.7,,$209996.00,16.4,
"Counties","-",$12247739.00,$907387.00,7.4,,$551300.00,60.8,,$146091.00,16.1,,$209996.00,23.1,
"Municipalities","-",$2988421.00,$376790.00,12.6,,$334684.00,88.8,,$42106.00,11.2,,$0.00,0.0,
,,,,,,,,,,,,,,
"Massachusetts",6349,$44180713.00,$2901028.00,6.6,,$1478778.00,51.0,,$627664.00,21.6,,$794586.00,27.4,
"State","-",$23237473.00,$1572327.00,6.8,,$391383.00,24.9,,$575788.00,36.6,,$605156.00,38.5,
"Local, total","-",$20943240.00,$1328701.00,6.3,,$1087395.00,81.8,,$51876.00,3.9,,$189430.00,14.3,
"Counties","-",$291895.00,$108384.00,37.1,,$3570.00,3.3,,$1020.00,0.9,,$103794.00,95.8,
"Municipalities","-",$17018647.00,$1220317.00,7.2,,$1083825.00,88.8,,$50856.00,4.2,,$85636.00,7.0,
,,,,,,,,,,,,,,
"Michigan",9938,$61443616.00,$4550728.00,7.4,,$1792535.00,39.4,,$905473.00,19.9,,$1852720.00,40.7,
"State","-",$25547864.00,$1907977.00,7.5,,$283956.00,14.9,,$141075.00,7.4,,$1482946.00,77.7,
"Local, total","-",$35895752.00,$2642751.00,7.4,,$1508579.00,57.1,,$764398.00,28.9,,$369774.00,14.0,
"Counties","-",$7353455.00,$1230970.00,16.7,,$286062.00,23.2,,$580698.00,47.2,,$364210.00,29.6,
"Municipalities","-",$12550534.00,$1411781.00,11.2,,$1222517.00,86.6,,$183700.00,13.0,,$5564.00,0.4,
,,,,,,,,,,,,,,
"Minnesota",4919,$35423651.00,$1907219.00,5.4,,$873741.00,45.8,,$442395.00,23.2,,$591083.00,31.0,
"State","-",$15715933.00,$596353.00,3.8,,$123456.00,20.7,,$180202.00,30.2,,$292695.00,49.1,
"Local, total","-",$19707718.00,$1310866.00,6.7,,$750285.00,57.2,,$262193.00,20.0,,$298388.00,22.8,
"Counties","-",$4182091.00,$800074.00,19.1,,$263389.00,32.9,,$238892.00,29.9,,$297793.00,37.2,
"Municipalities","-",$6246565.00,$510792.00,8.2,,$486896.00,95.3,,$23301.00,4.6,,$595.00,0.1,
,,,,,,,,,,,,,,
"Mississippi",2845,$15378511.00,$850076.00,5.5,,$403888.00,47.5,,$154349.00,18.2,,$291839.00,34.3,
"State","-",$7724155.00,$372371.00,4.8,,$67018.00,18.0,,$63405.00,17.0,,$241948.00,65.0,
"Local, total","-",$7654356.00,$477705.00,6.2,,$336870.00,70.5,,$90944.00,19.0,,$49891.00,10.4,
"Counties","-",$1973011.00,$255736.00,13.0,,$128969.00,50.4,,$79483.00,31.1,,$47284.00,18.5,
"Municipalities","-",$1998385.00,$221969.00,11.1,,$207901.00,93.7,,$11461.00,5.2,,$2607.00,1.2,
,,,,,,,,,,,,,,
"Missouri",5595,$27950969.00,$1916548.00,6.9,,$885498.00,46.2,,$358717.00,18.7,,$672333.00,35.1,
"State","-",$12764365.00,$817052.00,6.4,,$124571.00,15.2,,$178646.00,21.9,,$513835.00,62.9,
"Local, total","-",$15186604.00,$1099496.00,7.2,,$760927.00,69.2,,$180071.00,16.4,,$158498.00,14.4,
"Counties","-",$1490775.00,$375531.00,25.2,,$150860.00,40.2,,$115049.00,30.6,,$109622.00,29.2,
"Municipalities","-",$4844712.00,$723965.00,14.9,,$610067.00,84.3,,$65022.00,9.0,,$48876.00,6.8,
,,,,,,,,,,,,,,
"Montana",902,$4983156.00,$326155.00,6.5,,$135806.00,41.6,,$65616.00,20.1,,$124733.00,38.2,
"State","-",$2957657.00,$152793.00,5.2,,$24718.00,16.2,,$23932.00,15.7,,$104143.00,68.2,
"Local, total","-",$2025499.00,$173362.00,8.6,,$111088.00,64.1,,$41684.00,24.0,,$20590.00,11.9,
"Counties","-",$402060.00,$111260.00,27.7,,$57352.00,51.5,,$33725.00,30.3,,$20183.00,18.1,
"Municipalities","-",$429166.00,$62102.00,14.5,,$53736.00,86.5,,$7959.00,12.8,,$407.00,0.7,
,,,,,,,,,,,,,,
"Nebraska",1711,$10820079.00,$562621.00,5.2,,$235245.00,41.8,,$95919.00,17.0,,$231457.00,41.1,
"State","-",$4186571.00,$261369.00,6.2,,$48731.00,18.6,,$40010.00,15.3,,$172628.00,66.0,
"Local, total","-",$6633508.00,$301252.00,4.5,,$186514.00,61.9,,$55909.00,18.6,,$58829.00,19.5,
"Counties","-",$764868.00,$158386.00,20.7,,$52578.00,33.2,,$51085.00,32.3,,$54723.00,34.6,
"Municipalities","-",$1447864.00,$142866.00,9.9,,$133936.00,93.7,,$4824.00,3.4,,$4106.00,2.9,
,,,,,,,,,,,,,,
"Nevada",1998,$11223671.00,$1258843.00,11.2,,$539187.00,42.8,,$248163.00,19.7,,$471493.00,37.5,
"State","-",$3796937.00,$318405.00,8.4,,$57902.00,18.2,,$42937.00,13.5,,$217566.00,68.3,
"Local, total","-",$7426734.00,$940438.00,12.7,,$481285.00,51.2,,$205226.00,21.8,,$253927.00,27.0,
"Counties","-",$3108826.00,$716221.00,23.0,,$335292.00,46.8,,$167206.00,23.3,,$213723.00,29.8,
"Municipalities","-",$1229530.00,$224217.00,18.2,,$145993.00,65.1,,$38020.00,17.0,,$40204.00,17.9,
,,,,,,,,,,,,,,
"New Hampshire",1236,$6222433.00,$394551.00,6.3,,$187070.00,47.4,,$92297.00,23.4,,$115184.00,29.2,
"State","-",$3312805.00,$199551.00,6.0,,$38402.00,19.2,,$76205.00,38.2,,$84944.00,42.6,
"Local, total","-",$2909628.00,$195000.00,6.7,,$148668.00,76.2,,$16092.00,8.3,,$30240.00,15.5,
"Counties","-",$198879.00,$49738.00,25.0,,$11420.00,23.0,,$8078.00,16.2,,$30240.00,60.8,
"Municipalities","-",$1421391.00,$145262.00,10.2,,$137248.00,94.5,,$8014.00,5.5,,$0.00,0.0,
,,,,,,,,,,,,,,
"New Jersey",8414,$54511830.00,$4659648.00,8.5,,$2231315.00,47.9,,$948078.00,20.3,,$1480255.00,31.8,
"State","-",$26143680.00,$1993660.00,7.6,,$401894.00,20.2,,$541489.00,27.2,,$1050277.00,52.7,
"Local, total","-",$28368150.00,$2665988.00,9.4,,$1829421.00,68.6,,$406589.00,15.3,,$429978.00,16.1,
"Counties","-",$5540532.00,$841441.00,15.2,,$156264.00,18.6,,$257855.00,30.6,,$427322.00,50.8,
"Municipalities","-",$9933167.00,$1824547.00,18.4,,$1673157.00,91.7,,$148734.00,8.2,,$2656.00,0.1,
,,,,,,,,,,,,,,
"New Mexico",1819,$11194843.00,$864578.00,7.7,,$382185.00,44.2,,$166974.00,19.3,,$315419.00,36.5,
"State","-",$6253225.00,$442509.00,7.1,,$77574.00,17.5,,$148213.00,33.5,,$216722.00,49.0,
"Local, total","-",$4941618.00,$422069.00,8.5,,$304611.00,72.2,,$18761.00,4.4,,$98697.00,23.4,
"Counties","-",$739282.00,$149002.00,20.2,,$84408.00,56.6,,$5490.00,3.7,,$59104.00,39.7,
"Municipalities","-",$1772141.00,$273067.00,15.4,,$220203.00,80.6,,$13271.00,4.9,,$39593.00,14.5,
,,,,,,,,,,,,,,
"New York",18976,$171232216.00,$12371653.00,7.2,,$5716952.00,46.2,,$2262471.00,18.3,,$4392230.00,35.5,
"State","-",$65651806.00,$4126686.00,6.3,,$421887.00,10.2,,$1406602.00,34.1,,$2298197.00,55.7,
"Local, total","-",$105580410.00,$8244967.00,7.8,,$5295065.00,64.2,,$855869.00,10.4,,$2094033.00,25.4,
"Counties","-",$14198451.00,$2314254.00,16.3,,$1177465.00,50.9,,$290369.00,12.5,,$846420.00,36.6,
"Municipalities","-",$65945675.00,$5930713.00,9.0,,$4117600.00,69.4,,$565500.00,9.5,,$1247613.00,21.0,
,,,,,,,,,,,,,,
"North Carolina",8049,$46134556.00,$3010205.00,6.5,,$1381315.00,45.9,,$470322.00,15.6,,$1158568.00,38.5,
"State","-",$20314037.00,$1663902.00,8.2,,$350889.00,21.1,,$407349.00,24.5,,$905664.00,54.4,
"Local, total","-",$25820519.00,$1346303.00,5.2,,$1030426.00,76.5,,$62973.00,4.7,,$252904.00,18.8,
"Counties","-",$17295355.00,$650647.00,3.8,,$345309.00,53.1,,$52434.00,8.1,,$252904.00,38.9,
"Municipalities","-",$6070026.00,$695656.00,11.5,,$685117.00,98.5,,$10539.00,1.5,,$0.00,0.0,
,,,,,,,,,,,,,,
"North Dakota",642,$4040996.00,$164036.00,4.1,,$68182.00,41.6,,$55424.00,33.8,,$40430.00,24.6,
"State","-",$2265856.00,$68863.00,3.0,,$12125.00,17.6,,$27882.00,40.5,,$28856.00,41.9,
"Local, total","-",$1775140.00,$95173.00,5.4,,$56057.00,58.9,,$27542.00,28.9,,$11574.00,12.2,
"Counties","-",$283717.00,$55457.00,19.5,,$18799.00,33.9,,$25243.00,45.5,,$11415.00,20.6,
"Municipalities","-",$582154.00,$39716.00,6.8,,$37258.00,93.8,,$2299.00,5.8,,$159.00,0.4,
,,,,,,,,,,,,,,
"Ohio",11353,$68417151.00,$5220319.00,7.6,,$2124836.00,40.7,,$1158075.00,22.2,,$1937408.00,37.1,
"State","-",$31698486.00,$1912370.00,6.0,,$224802.00,11.8,,$200893.00,10.5,,$1486675.00,77.7,
"Local, total","-",$36718665.00,$3307949.00,9.0,,$1900034.00,57.4,,$957182.00,28.9,,$450733.00,13.6,
"Counties","-",$9198446.00,$1589148.00,17.3,,$443687.00,27.9,,$730469.00,46.0,,$414992.00,26.1,
"Municipalities","-",$10342096.00,$1718801.00,16.6,,$1456347.00,84.7,,$226713.00,13.2,,$35741.00,2.1,
,,,,,,,,,,,,,,
"Oklahoma",3451,$15920483.00,$1222839.00,7.7,,$518334.00,42.4,,$193183.00,15.8,,$511322.00,41.8,
"State","-",$7540303.00,$678922.00,9.0,,$75487.00,11.1,,$141232.00,20.8,,$462203.00,68.1,
"Local, total","-",$8380180.00,$543917.00,6.5,,$442847.00,81.4,,$51951.00,9.6,,$49119.00,9.0,
"Counties","-",$899533.00,$124005.00,13.8,,$49538.00,39.9,,$25421.00,20.5,,$49046.00,39.6,
"Municipalities","-",$3426768.00,$419912.00,12.3,,$393309.00,93.7,,$26530.00,6.3,,$73.00,0.0,
,,,,,,,,,,,,,,
"Oregon",3421,$24086300.00,$1799118.00,7.5,,$695999.00,38.7,,$355807.00,19.8,,$747312.00,41.5,
"State","-",$11856279.00,$854926.00,7.2,,$130473.00,15.3,,$256091.00,30.0,,$468362.00,54.8,
"Local, total","-",$12230021.00,$944192.00,7.7,,$565526.00,59.9,,$99716.00,10.6,,$278950.00,29.5,
"Counties","-",$2375330.00,$562832.00,23.7,,$203867.00,36.2,,$80859.00,14.4,,$278106.00,49.4,
"Municipalities","-",$2958503.00,$381360.00,12.9,,$361659.00,94.8,,$18857.00,4.9,,$844.00,0.2,
,,,,,,,,,,,,,,
"Pennsylvania",12281,$75466693.00,$5510353.00,7.3,,$2220991.00,40.3,,$1067391.00,19.4,,$2221971.00,40.3,
"State","-",$36311954.00,$2509003.00,6.9,,$776384.00,30.9,,$318979.00,12.7,,$1413640.00,56.3,
"Local, total","-",$39154739.00,$3001350.00,7.7,,$1444607.00,48.1,,$748412.00,24.9,,$808331.00,26.9,
"Counties","-",$5780892.00,$1131110.00,19.6,,$86375.00,7.6,,$483447.00,42.7,,$561288.00,49.6,
"Municipalities","-",$10405821.00,$1870240.00,18.0,,$1358232.00,72.6,,$264965.00,14.2,,$247043.00,13.2,
,,,,,,,,,,,,,,
"Rhode Island",1048,$6406396.00,$455578.00,7.1,,$211195.00,46.4,,$105158.00,23.1,,$139225.00,30.6,
"State","-",$3970456.00,$270911.00,6.8,,$36159.00,13.3,,$95527.00,35.3,,$139225.00,51.4,
"Local, total","-",$2435940.00,$184667.00,7.6,,$175036.00,94.8,,$9631.00,5.2,,$0.00,0.0,
"Municipalities","-",$2209212.00,$184667.00,8.4,,$175036.00,94.8,,$9631.00,5.2,,$0.00,0.0,
,,,,,,,,,,,,,,
"South Carolina",4012,$23436064.00,$1391012.00,5.9,,$653266.00,47.0,,$179225.00,12.9,,$558521.00,40.2,
"State","-",$12430612.00,$692338.00,5.6,,$203125.00,29.3,,$52999.00,7.7,,$436214.00,63.0,
"Local, total","-",$11005452.00,$698674.00,6.3,,$450141.00,64.4,,$126226.00,18.1,,$122307.00,17.5,
"Counties","-",$2662556.00,$441335.00,16.6,,$212118.00,48.1,,$108927.00,24.7,,$120290.00,27.3,
"Municipalities","-",$1669307.00,$257339.00,15.4,,$238023.00,92.5,,$17299.00,6.7,,$2017.00,0.8,
,,,,,,,,,,,,,,
"South Dakota",755,$3760194.00,$208732.00,5.6,,$88020.00,42.2,,$39631.00,19.0,,$81081.00,38.8,
"State","-",$1954972.00,$102325.00,5.2,,$17543.00,17.1,,$22467.00,22.0,,$62315.00,60.9,
"Local, total","-",$1805222.00,$106407.00,5.9,,$70477.00,66.2,,$17164.00,16.1,,$18766.00,17.6,
"Counties","-",$232041.00,$59563.00,25.7,,$24791.00,41.6,,$16120.00,27.1,,$18652.00,31.3,
"Municipalities","-",$585018.00,$46844.00,8.0,,$45686.00,97.5,,$1044.00,2.2,,$114.00,0.2,
,,,,,,,,,,,,,,
"Tennessee",5689,$32009918.00,$1943166.00,6.1,,$940212.00,48.4,,$398928.00,20.5,,$604026.00,31.1,
"State","-",$12489034.00,$651053.00,5.2,,$111798.00,17.2,,$188409.00,28.9,,$350846.00,53.9,
"Local, total","-",$19520884.00,$1292113.00,6.6,,$828414.00,64.1,,$210519.00,16.3,,$253180.00,19.6,
"Counties","-",$7294182.00,$579534.00,7.9,,$222664.00,38.4,,$150160.00,25.9,,$206710.00,35.7,
