Bureau of Justice Statistics,,,,,,,,,,
Municipalities,-,4913584,473545,9.6,389751,82.3,9506,2,74288,15.7
,,,,,,,,,,
Louisiana,4492,47854098,3373234,7,1411586,41.8,680737,20.2,1280911,38
State,-,26901025,1183139,4.4,271941,23,228910,19.3,682288,57.7
"Local, total",-,20953073,2190095,10.5,1139645,52,451827,20.6,598623,27.3
Parishes,-,6172045,1202062,19.5,489944,40.8,246497,20.5,465621,38.7
Municipalities,-,6141105,988033,16.1,649701,65.8,205330,20.8,133002,13.5
,,,,,,,,,,
Maine,1318,11899554,554490,4.7,244449,44.1,105340,19,204701,36.9
State,-,7449526,310760,4.2,73798,23.7,88516,28.5,148446,47.8
"Local, total",-,4450028,243730,5.5,170651,70,16824,6.9,56255,23.1
Counties,-,158975,98069,61.7,31291,31.9,10523,10.7,56255,57.4
Municipalities,-,2722492,145661,5.4,139360,95.7,6301,4.3,0,0
,,,,,,,,,,
Maryland,5699,54670804,4630348,8.5,2046740,44.2,804017,17.4,1779591,38.4
State,-,27368349,2287982,8.4,385965,16.9,509543,22.3,1392474,60.9
"Local, total",-,27302455,2342366,8.6,1660775,70.9,294474,12.6,387117,16.5
Counties,-,21464235,1629309,7.6,1019830,62.6,222362,13.6,387117,23.8
Municipalities,-,4488683,713057,15.9,640945,89.9,72112,10.1,0,0
,,,,,,,,,,
Massachusetts,6594,72839868,4272792,5.9,1944749,45.5,981494,23,1346549,31.5
State,-,39137905,2470412,6.3,453727,18.4,918021,37.2,1098664,44.5
"Local, total",-,33701963,1802380,5.3,1491022,82.7,63473,3.5,247885,13.8
Counties,-,277696,184877,66.6,65060,35.2,1534,0.8,118283,64
Municipalities,-,24957207,1617503,6.5,1425962,88.2,61939,3.8,129602,8
,,,,,,,,,,
Michigan,9970,86249239,5910102,6.9,2460325,41.6,1041689,17.6,2408088,40.7
State,-,39340966,2205399,5.6,288339,13.1,175697,8,1741363,79
"Local, total",-,46908273,3704703,7.9,2171986,58.6,865992,23.4,666725,18
Counties,-,9514923,1830698,19.2,486316,26.6,679468,37.1,664914,36.3
Municipalities,-,13414969,1874005,14,1685670,90,186524,10,1811,0.1
,,,,,,,,,,
Minnesota,5266,54238736,3353312,6.2,1758820,52.5,675920,20.2,918572,27.4
State,-,25109659,1164508,4.6,281513,24.2,399224,34.3,483771,41.5
"Local, total",-,29129077,2188804,7.5,1477307,67.5,276696,12.6,434801,19.9
Counties,-,7213242,1264367,17.5,592013,46.8,237852,18.8,434502,34.4
Municipalities,-,8852748,924437,10.4,885294,95.8,38844,4.2,299,0
,,,,,,,,,,
Mississippi,2952,26048729,1387692,5.3,639736,46.1,226600,16.3,521356,37.6
State,-,14089426,538083,3.8,106863,19.9,95195,17.7,336025,62.4
"Local, total",-,11959303,849609,7.1,532873,62.7,131405,15.5,185331,21.8
Counties,-,3148772,505851,16.1,214158,42.3,108750,21.5,182943,36.2
Municipalities,-,3061407,343758,11.2,318715,92.7,22655,6.6,2388,0.7
,,,,,,,,,,
Missouri,5988,48102414,3033162,6.3,1577672,52,536399,17.7,919091,30.3
State,-,22676335,1177241,5.2,211349,18,245460,20.9,720432,61.2
"Local, total",-,25426079,1855921,7.3,1366323,73.6,290939,15.7,198659,10.7
Counties,-,2616442,671038,25.6,343598,51.2,188859,28.1,138581,20.7
Municipalities,-,8169911,1184883,14.5,1022725,86.3,102080,8.6,60078,5.1
,,,,,,,,,,
Montana,975,8418950,600085,7.1,232317,38.7,137920,23,229848,38.3
State,-,4992495,307328,6.2,40452,13.2,86716,28.2,180160,58.6
"Local, total",-,3426455,292757,8.5,191865,65.5,51204,17.5,49688,17
Counties,-,757616,182300,24.1,97639,53.6,37994,20.8,46667,25.6
Municipalities,-,746688,110457,14.8,94226,85.3,13210,12,3021,2.7
,,,,,,,,,,
Nebraska,1797,18698156,890164,4.8,377718,42.4,171914,19.3,340532,38.3
State,-,7046111,359236,5.1,67251,18.7,63268,17.6,228717,63.7
"Local, total",-,11652045,530928,4.6,310467,58.5,108646,20.5,111815,21.1
Counties,-,1359222,296501,21.8,94577,31.9,90109,30.4,111815,37.7
Municipalities,-,2439471,234427,9.6,215890,92.1,18537,7.9,0,0
,,,,,,,,,,
Nevada,2643,22475085,2430507,10.8,1152132,47.4,463472,19.1,814903,33.5
State,-,8191985,574525,7,105650,18.4,75931,13.2,392944,68.4
"Local, total",-,14283100,1855982,13,1046482,56.4,387541,20.9,421959,22.7
Counties,-,6223822,1384652,22.2,767086,55.4,299136,21.6,318430,23
Municipalities,-,2370554,471330,19.9,279396,59.3,88405,18.8,103529,22
,,,,,,,,,,
New Hampshire,1325,10552970,632567,6,316411,50,136120,21.5,180036,28.5
State,-,5677585,274151,4.8,55055,20.1,111462,40.7,107634,39.3
"Local, total",-,4875385,358416,7.4,261356,72.9,24658,6.9,72402,20.2
Counties,-,393886,108462,27.5,21286,19.6,14774,13.6,72402,66.8
Municipalities,-,2271268,249954,11,240070,96,9884,4,0,0
,,,,,,,,,,
New Jersey,8708,96629120,6943038,7.2,3257777,46.9,1540519,22.2,2144742,30.9
State,-,50902141,2793129,5.5,448062,16,922750,33,1422317,50.9
"Local, total",-,45726979,4149909,9.1,2809715,67.7,617769,14.9,722425,17.4
Counties,-,9784434,1359783,13.9,291592,21.4,345771,25.4,722420,53.1
Municipalities,-,16028501,2790126,17.4,2518123,90.3,271998,9.7,5,0
,,,,,,,,,,
New Mexico,2010,21129803,1538127,7.3,620619,40.3,344500,22.4,573008,37.3
State,-,12637027,800840,6.3,128562,16.1,292679,36.5,379599,47.4
"Local, total",-,8492776,737287,8.7,492057,66.7,51821,7,193409,26.2
Counties,-,1413886,361501,25.6,152933,42.3,22111,6.1,186457,51.6
Municipalities,-,2627118,375786,14.3,339124,90.2,29710,7.9,6952,1.8
,,,,,,,,,,
New York,19541,278271594,18256833,6.6,8360054,45.8,4072957,22.3,5823822,31.9
State,-,109993768,6524964,5.9,774840,11.9,2771777,42.5,2978347,45.6
"Local, total",-,168277826,11731869,7,7585214,64.7,1301180,11.1,2845475,24.3
Counties,-,22178319,3559694,16.1,1690394,47.5,493612,13.9,1375688,38.6
Municipalities,-,98039155,8172175,8.3,5894820,72.1,807568,9.9,1469787,18
,,,,,,,,,,
North Carolina,9381,76797057,4890631,6.4,2298218,47,734774,15,1857639,38
State,-,35024299,2441831,7,430392,17.6,660725,27.1,1350714,55.3
"Local, total",-,41772758,2448800,5.9,1867826,76.3,74049,3,506925,20.7
Counties,-,26565961,1220025,4.6,656264,53.8,56836,4.7,506925,41.6
Municipalities,-,9942975,1228775,12.4,1211562,98.6,17213,1.4,0,0
,,,,,,,,,,
North Dakota,647,6002692,299979,5,142273,47.4,65422,21.8,92284,30.8
State,-,3552639,138889,3.9,28736,20.7,44697,32.2,65456,47.1
"Local, total",-,2450053,161090,6.6,113537,70.5,20725,12.9,26828,16.7
Counties,-,408423,88566,21.7,45383,51.2,17175,19.4,26008,29.4
Municipalities,-,733021,72524,9.9,68154,94,3550,4.9,820,1.1
,,,,,,,,,,
Ohio,11543,107712573,7088156,6.6,3306544,46.6,1734046,24.5,2047566,28.9
State,-,52899694,2191968,4.1,275217,12.6,332060,15.1,1584691,72.3
"Local, total",-,54812879,4896188,8.9,3031327,61.9,1401986,28.6,462875,9.5
Counties,-,12926571,2331167,18,848595,36.4,1052417,45.1,430155,18.5
Municipalities,-,15061910,2565021,17,2182732,85.1,349569,13.6,32720,1.3
,,,,,,,,,,
Oklahoma,3687,30096337,1864353,6.2,819706,44,327667,17.6,716980,38.5
State,-,16859443,1022779,6.1,164640,16.1,247250,24.2,610889,59.7
"Local, total",-,13236894,841574,6.4,655066,77.8,80417,9.6,106091,12.6
Counties,-,1421058,238932,16.8,90915,38.1,42059,17.6,105958,44.3
Municipalities,-,5239355,602642,11.5,564151,93.6,38358,6.4,133,0
,,,,,,,,,,
Oregon,3826,37573807,2586226,6.9,1133152,43.8,416232,16.1,1036842,40.1
State,-,18677287,1040912,5.6,164490,15.8,274724,26.4,601698,57.8
"Local, total",-,18896520,1545314,8.2,968662,62.7,141508,9.2,435144,28.2
Counties,-,3431358,839760,24.5,297093,35.4,107523,12.8,435144,51.8
Municipalities,-,4593734,705554,15.4,671569,95.2,33985,4.8,0,0
,,,,,,,,,,
Pennsylvania,12605,119931314,7734178,6.4,3064306,39.6,1592745,20.6,3077127,39.8
State,-,60668628,2981736,4.9,816171,27.4,516327,17.3,1649238,55.3
"Local, total",-,59262686,4752442,8,2248135,47.3,1076418,22.6,1427889,30
Counties,-,10003797,2044780,20.4,244920,12,793830,38.8,1006030,49.2
Municipalities,-,14267552,2707662,19,2003215,74,282588,10.4,421859,15.6
,,,,,,,,,,
Rhode Island,1053,10696906,648299,6.1,330352,51,121189,18.7,196758,30.3
State,-,6437722,351580,5.5,67058,19.1,104873,29.8,179649,51.1
"Local, total",-,4259184,296719,7,263294,88.7,16316,5.5,17109,5.8
Municipalities,-,3708874,296719,8,263294,88.7,16316,5.5,17109,5.8
,,,,,,,,,,
South Carolina,4561,42126662,2083385,4.9,985127,47.3,342179,16.4,756079,36.3
State,-,23048084,751442,3.3,173592,23.1,93503,12.4,484347,64.5
"Local, total",-,19078578,1331943,7,811535,60.9,248676,18.7,271732,20.4
Counties,-,4011332,906437,22.6,422312,46.6,214468,23.7,269657,29.7
Municipalities,-,2872328,425506,14.8,389223,91.5,34208,8,2075,0.5
,,,,,,,,,,
South Dakota,812,6503484,385137,5.9,152427,39.6,70794,18.4,161916,42
State,-,3404704,187653,5.5,29377,15.7,45344,24.2,112932,60.2
"Local, total",-,3098780,197484,6.4,123050,62.3,25450,12.9,48984,24.8
Counties,-,413980,114940,27.8,42946,37.4,24021,20.9,47973,41.7
Municipalities,-,1143384,82544,7.2,80104,97,1429,1.7,1011,1.2
,,,,,,,,,,
Tennessee,6296,52553323,3286960,6.3,1600728,48.7,651315,19.8,1034917,31.5
State,-,21496758,1069369,5,181863,17,278500,26,609006,57
"Local, total",-,31056565,2217591,7.1,1418865,64,372815,16.8,425911,19.2
Counties,-,11454453,1093188,9.5,467699,42.8,258332,23.6,367157,33.6
Municipalities,-,16327515,1124403,6.9,951166,84.6,114483,10.2,58754,5.2
,,,,,,,,,,
Texas,24782,203548351,14144553,6.9,6113508,43.2,2395667,16.9,5635378,39.8
State,-,81746113,4948555,6.1,741907,15,646004,13.1,3560644,72
"Local, total",-,121802238,9195998,7.5,5371601,58.4,1749663,19,2074734,22.6
Counties,-,17459566,4844297,27.7,1396448,28.8,1414951,29.2,2032898,42
Municipalities,-,34912284,4351701,12.5,3975153,91.3,334712,7.7,41836,1
,,,,,,,,,,
Utah,2785,23913942,1494256,6.2,636467,42.6,338586,22.7,519203,34.7
State,-,12447935,645628,5.2,123605,19.1,188303,29.2,333720,51.7
"Local, total",-,11466007,848628,7.4,512862,60.4,150283,17.7,185483,21.9
Counties,-,1735204,449614,25.9,166732,37.1,97462,21.7,185420,41.2
Municipalities,-,3046024,399014,13.1,346130,86.7,52821,13.2,63,0
,,,,,,,,,,
Vermont,622,6364596,336541,5.3,148469,44.1,68872,20.5,119200,35.4
State,-,3934313,251251,6.4,70905,28.2,61165,24.3,119181,47.4
"Local, total",-,2430283,85290,3.5,77564,90.9,7707,9,19,0
Counties,-,13810,12312,89.2,7915,64.3,4397,35.7,0,0
Municipalities,-,822921,72978,8.9,69649,95.4,3310,4.5,19,0
,,,,,,,,,,
Virginia,7883,65544366,4823775,7.4,2055572,42.6,840551,17.4,1927652,40
State,-,30309687,1899195,6.3,298437,15.7,402276,21.2,1198482,63.1
"Local, total",-,35234679,2924580,8.3,1757135,60.1,438275,15,729170,24.9
Counties,-,19102213,1626107,8.5,938194,57.7,268249,16.5,419664,25.8
Municipalities,-,12054325,1298473,10.8,818941,63.1,170026,13.1,309506,23.8
,,,,,,,,,,
Washington,6664,71989136,4067777,5.7,1491763,36.7,851480,20.9,1724534,42.4
State,-,33409676,1542415,4.6,235556,15.3,148810,9.6,1158049,75.1
"Local, total",-,38579460,2525362,6.5,1256207,49.7,702670,27.8,566485,22.4
Counties,-,6488208,1549262,23.9,460802,29.7,555573,35.9,532887,34.4
Municipalities,-,8708413,976100,11.2,795405,81.5,147097,15.1,33598,3.4
,,,,,,,,,,
West Virginia,1820,14585208,844378,5.8,350843,41.6,202371,24,291164,34.5
State,-,9268962,494949,5.3,101691,20.5,137354,27.8,255904,51.7
"Local, total",-,5316246,349429,6.6,249152,71.3,65017,18.6,35260,10.1
Counties,-,873296,222344,25.5,128650,57.9,58434,26.3,35260,15.9
Municipalities,-,1037053,127085,12.3,120502,94.8,6583,5.2,0,0
,,,,,,,,,,
Wisconsin,5655,52600513,3763514,7.2,1660950,44.1,596374,15.8,1506190,40
State,-,25446752,1430027,5.6,128800,9,274956,19.2,1026271,71.8
"Local, total",-,27153761,2333487,8.6,1532150,65.7,321418,13.8,479919,20.6
Counties,-,6284275,1177407,18.7,444539,37.8,258941,22,473927,40.3
Municipalities,-,7588396,1156080,15.2,1087611,94.1,62477,5.4,5992,0.5
,,,,,,,,,,
Wyoming,544,8351090,563674,6.7,236120,41.9,105730,18.8,221824,39.4
State,-,3658759,285838,7.8,72513,25.4,65047,22.8,148278,51.9
"Local, total",-,4692331,277836,5.9,163607,58.9,40683,14.6,73546,26.5
Counties,-,1213889,170993,14.1,66640,39,31488,18.4,72865,42.6
Municipalities,-,911939,106843,11.7,96967,90.8,9195,8.6,681,0.6
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Notes:  Local government data are estimates subject to variability.,,,,,,,,,,
"Population figures are from the Bureau of the Census, Current Population Reports, Series P-25, No. 1045, July 2010.",,,,,,,,,,
"a/ Total direct expenditures include outlays of states and all types of local governments including independent school districts and special districts , which are not displayed separately.   The ""Local, total"" lines, which include these districts, will not equal the sum of the ""Counties"" and ""Municipalities"" lines.",,,,,,,,,,
b/ Justice system expenditure of independent school districts (primarily for special police forces) are not available.,,,,,,,,,,
