Bureau of Justice Statistics,,,,,,,,,,,,,
Counties, - ,"$25,583,604 ","$5,222,304 ",20.4,,"$2,863,093 ",54.8,,"$815,974 ",15.6,,"$1,543,237 ",29.6
Municipalities, - ,"$19,201,673 ","$2,781,264 ",14.5,,"$2,599,135 ",93.5,,"$118,628 ",4.3,,"$63,501 ",2.3

Georgia,"9,342","$59,723,949 ","$4,848,253 ",8.1,,"$1,961,879 ",40.5,,"$885,900 ",18.3,,"$2,000,474 ",41.3
State, - ,"$25,191,532 ","$1,747,515 ",6.9,,"$227,396 ",13,,"$187,755 ",10.7,,"$1,332,364 ",76.2
"Local, total", - ,"$34,532,417 ","$3,100,738 ",9,,"$1,734,483 ",55.9,,"$698,145 ",22.5,,"$668,110 ",21.5
Counties, - ,"$8,218,671 ","$2,095,684 ",25.5,,"$934,616 ",44.6,,"$597,279 ",28.5,,"$563,789 ",26.9
Municipalities, - ,"$7,709,362 ","$1,005,054 ",13,,"$799,867 ",79.6,,"$100,866 ",10,,"$104,321 ",10.4

Hawaii,"1,279","$11,031,524 ","$703,075 ",6.4,,"$278,684 ",39.6,,"$245,069 ",34.9,,"$179,322 ",25.5
State, - ,"$8,755,834 ","$399,293 ",4.6,,"$11,289 ",2.8,,"$208,682 ",52.3,,"$179,322 ",44.9
"Local, total", - ,"$2,275,690 ","$303,782 ",13.3,,"$267,395 ",88,,"$36,387 ",12,,$0 ,0
Counties, - ,"$753,382 ","$102,265 ",13.6,,"$87,186 ",85.3,,"$15,079 ",14.7,,$0 ,0
Municipalities, - ,"$1,473,182 ","$201,517 ",13.7,,"$180,209 ",89.4,,"$21,308 ",10.6,,$0 ,0

Idaho,"1,464","$9,041,972 ","$685,630 ",7.6,,"$276,192 ",40.3,,"$148,299 ",21.6,,"$261,139 ",38.1
State, - ,"$4,746,644 ","$299,144 ",6.3,,"$43,326 ",14.5,,"$65,027 ",21.7,,"$190,791 ",63.8
"Local, total", - ,"$4,295,328 ","$386,486 ",9,,"$232,866 ",60.3,,"$83,272 ",21.5,,"$70,348 ",18.2
Counties, - ,"$1,068,575 ","$246,815 ",23.1,,"$105,269 ",42.7,,"$71,198 ",28.8,,"$70,348 ",28.5
Municipalities, - ,"$971,894 ","$139,671 ",14.4,,"$127,597 ",91.4,,"$12,074 ",8.6,,$0 ,0

Illinois,"12,777","$97,718,212 ","$6,688,025 ",6.8,,"$3,760,869 ",56.2,,"$1,194,896 ",17.9,,"$1,732,260 ",25.9
State, - ,"$41,821,414 ","$1,851,780 ",4.4,,"$390,411 ",21.1,,"$321,700 ",17.4,,"$1,139,669 ",61.5
"Local, total", - ,"$55,896,798 ","$4,836,245 ",8.7,,"$3,370,458 ",69.7,,"$873,196 ",18.1,,"$592,591 ",12.3
Counties, - ,"$6,326,460 ","$1,802,461 ",28.5,,"$398,726 ",22.1,,"$811,295 ",45,,"$592,440 ",32.9
Municipalities, - ,"$18,835,043 ","$3,033,784 ",16.1,,"$2,971,732 ",98,,"$61,901 ",2,,$151 ,0

Indiana,"6,303","$42,345,651 ","$2,392,394 ",5.6,,"$1,038,756 ",43.4,,"$419,534 ",17.5,,"$934,104 ",39
State, - ,"$18,876,985 ","$933,387 ",4.9,,"$199,335 ",21.4,,"$134,185 ",14.4,,"$599,867 ",64.3
"Local, total", - ,"$23,468,666 ","$1,459,007 ",6.2,,"$839,421 ",57.5,,"$285,349 ",19.6,,"$334,237 ",22.9
Counties, - ,"$5,484,786 ","$662,173 ",12.1,,"$199,973 ",30.2,,"$205,028 ",31,,"$257,172 ",38.8
Municipalities, - ,"$8,496,366 ","$796,834 ",9.4,,"$639,448 ",80.2,,"$80,321 ",10.1,,"$77,065 ",9.7

Iowa,"2,973","$21,977,592 ","$1,216,209 ",5.5,,"$569,506 ",46.8,,"$287,360 ",23.6,,"$359,343 ",29.5
State, - ,"$11,059,994 ","$529,961 ",4.8,,"$80,515 ",15.2,,"$212,167 ",40,,"$237,279 ",44.8
"Local, total", - ,"$10,917,598 ","$686,248 ",6.3,,"$488,991 ",71.3,,"$75,193 ",11,,"$122,064 ",17.8
Counties, - ,"$2,328,543 ","$341,171 ",14.7,,"$156,276 ",45.8,,"$63,404 ",18.6,,"$121,491 ",35.6
Municipalities, - ,"$4,039,473 ","$345,077 ",8.5,,"$332,715 ",96.4,,"$11,789 ",3.4,,$573 ,0.2

Kansas,"2,756","$19,316,091 ","$1,299,830 ",6.7,,"$634,827 ",48.8,,"$288,607 ",22.2,,"$376,396 ",29
State, - ,"$8,957,106 ","$532,906 ",5.9,,"$94,933 ",17.8,,"$169,337 ",31.8,,"$268,636 ",50.4
"Local, total", - ,"$10,358,985 ","$766,924 ",7.4,,"$539,894 ",70.4,,"$119,270 ",15.6,,"$107,760 ",14.1
Counties, - ,"$2,125,681 ","$381,146 ",17.9,,"$199,860 ",52.4,,"$74,425 ",19.5,,"$106,861 ",28
Municipalities, - ,"$3,845,721 ","$385,778 ",10,,"$340,034 ",88.1,,"$44,845 ",11.6,,$899 ,0.2

Kentucky,"4,204","$28,579,734 ","$1,675,800 ",5.9,,"$661,847 ",39.5,,"$384,935 ",23,,"$629,018 ",37.5
State, - ,"$17,607,913 ","$959,374 ",5.4,,"$162,282 ",16.9,,"$358,854 ",37.4,,"$438,238 ",45.7
"Local, total", - ,"$10,971,821 ","$716,426 ",6.5,,"$499,565 ",69.7,,"$26,081 ",3.6,,"$190,780 ",26.6
Counties, - ,"$1,668,795 ","$204,741 ",12.3,,"$64,863 ",31.7,,"$16,780 ",8.2,,"$123,098 ",60.1
Municipalities, - ,"$3,909,915 ","$511,685 ",13.1,,"$434,702 ",85,,"$9,301 ",1.8,,"$67,682 ",13.2

Louisiana,"4,243","$34,321,350 ","$2,678,811 ",7.8,,"$1,167,049 ",43.6,,"$512,914 ",19.1,,"$998,848 ",37.3
State, - ,"$18,566,258 ","$885,324 ",4.8,,"$216,669 ",24.5,,"$169,270 ",19.1,,"$499,385 ",56.4
"Local, total", - ,"$15,755,092 ","$1,793,487 ",11.4,,"$950,380 ",53,,"$343,644 ",19.2,,"$499,463 ",27.8
Parishes, - ,"$4,835,481 ","$979,790 ",20.3,,"$391,682 ",40,,"$212,068 ",21.6,,"$376,040 ",38.4
Municipalities, - ,"$5,402,827 ","$813,697 ",15.1,,"$558,698 ",68.7,,"$131,576 ",16.2,,"$123,423 ",15.2

Maine,"1,315","$10,458,646 ","$505,717 ",4.8,,"$221,288 ",43.8,,"$100,372 ",19.8,,"$184,057 ",36.4
State, - ,"$6,637,310 ","$277,473 ",4.2,,"$63,618 ",22.9,,"$87,182 ",31.4,,"$126,673 ",45.7
"Local, total", - ,"$3,821,336 ","$228,244 ",6,,"$157,670 ",69.1,,"$13,190 ",5.8,,"$57,384 ",25.1
Counties, - ,"$144,070 ","$91,292 ",63.4,,"$25,556 ",28,,"$9,324 ",10.2,,"$56,412 ",61.8
Municipalities, - ,"$2,534,139 ","$136,952 ",5.4,,"$132,114 ",96.5,,"$3,866 ",2.8,,$972 ,0.7

Maryland,"5,602","$42,321,484 ","$3,736,129 ",8.8,,"$1,604,602 ",42.9,,"$670,335 ",17.9,,"$1,461,192 ",39.1
State, - ,"$22,049,841 ","$1,912,225 ",8.7,,"$324,490 ",17,,"$429,969 ",22.5,,"$1,157,766 ",60.5
"Local, total", - ,"$20,271,643 ","$1,823,904 ",9,,"$1,280,112 ",70.2,,"$240,366 ",13.2,,"$303,426 ",16.6
Counties, - ,"$17,514,492 ","$1,274,936 ",7.3,,"$789,055 ",61.9,,"$182,455 ",14.3,,"$303,426 ",23.8
Municipalities, - ,"$4,191,749 ","$548,968 ",13.1,,"$491,057 ",89.5,,"$57,911 ",10.5,,$0 ,0

Massachusetts,"6,434","$60,373,071 ","$3,712,310 ",6.1,,"$1,673,394 ",45.1,,"$897,855 ",24.2,,"$1,141,061 ",30.7
State, - ,"$33,065,511 ","$2,112,450 ",6.4,,"$401,952 ",19,,"$832,442 ",39.4,,"$878,056 ",41.6
"Local, total", - ,"$27,307,560 ","$1,599,860 ",5.9,,"$1,271,442 ",79.5,,"$65,413 ",4.1,,"$263,005 ",16.4
Counties, - ,"$395,734 ","$162,576 ",41.1,,"$4,903 ",3,,$938 ,0.6,,"$156,735 ",96.4
Municipalities, - ,"$22,621,417 ","$1,437,284 ",6.4,,"$1,266,539 ",88.1,,"$64,475 ",4.5,,"$106,270 ",7.4

Michigan,"10,102","$76,252,422 ","$5,770,254 ",7.6,,"$2,332,963 ",40.4,,"$1,148,449 ",19.9,,"$2,288,842 ",39.7
State, - ,"$33,679,849 ","$2,154,311 ",6.4,,"$290,629 ",13.5,,"$178,678 ",8.3,,"$1,685,004 ",78.2
"Local, total", - ,"$42,572,573 ","$3,615,943 ",8.5,,"$2,042,334 ",56.5,,"$969,771 ",26.8,,"$603,838 ",16.7
Counties, - ,"$9,264,424 ","$1,816,989 ",19.6,,"$439,812 ",24.2,,"$774,718 ",42.6,,"$602,459 ",33.2
Municipalities, - ,"$13,000,596 ","$1,798,954 ",13.8,,"$1,602,522 ",89.1,,"$195,053 ",10.8,,"$1,379 ",0.1

Minnesota,"5,155","$43,388,650 ","$2,643,347 ",6.1,,"$1,293,770 ",48.9,,"$610,777 ",23.1,,"$738,800 ",27.9
State, - ,"$20,120,795 ","$965,077 ",4.8,,"$226,868 ",23.5,,"$358,593 ",37.2,,"$379,616 ",39.3
"Local, total", - ,"$23,267,855 ","$1,678,270 ",7.2,,"$1,066,902 ",63.6,,"$252,184 ",15,,"$359,184 ",21.4
Counties, - ,"$5,500,938 ","$978,746 ",17.8,,"$398,464 ",40.7,,"$222,661 ",22.7,,"$357,621 ",36.5
Municipalities, - ,"$7,955,947 ","$699,524 ",8.8,,"$668,438 ",95.6,,"$29,523 ",4.2,,"$1,563 ",0.2

Mississippi,"2,899","$20,811,145 ","$1,134,587 ",5.5,,"$561,138 ",49.5,,"$196,558 ",17.3,,"$376,891 ",33.2
State, - ,"$11,466,374 ","$450,406 ",3.9,,"$89,105 ",19.8,,"$78,049 ",17.3,,"$283,252 ",62.9
"Local, total", - ,"$9,344,771 ","$684,181 ",7.3,,"$472,033 ",69,,"$118,509 ",17.3,,"$93,639 ",13.7
Counties, - ,"$2,599,422 ","$377,341 ",14.5,,"$188,810 ",50,,"$97,476 ",25.8,,"$91,055 ",24.1
Municipalities, - ,"$2,587,292 ","$306,840 ",11.9,,"$283,223 ",92.3,,"$21,033 ",6.9,,"$2,584 ",0.8

Missouri,"5,838","$38,468,610 ","$2,433,208 ",6.3,,"$1,178,945 ",48.5,,"$449,202 ",18.5,,"$805,061 ",33.1
State, - ,"$18,948,821 ","$1,015,376 ",5.4,,"$190,067 ",18.7,,"$223,654 ",22,,"$601,655 ",59.3
"Local, total", - ,"$19,519,789 ","$1,417,832 ",7.3,,"$988,878 ",69.7,,"$225,548 ",15.9,,"$203,406 ",14.3
Counties, - ,"$2,268,284 ","$571,509 ",25.2,,"$268,169 ",46.9,,"$145,241 ",25.4,,"$158,099 ",27.7
Municipalities, - ,"$6,468,760 ","$846,323 ",13.1,,"$720,709 ",85.2,,"$80,307 ",9.5,,"$45,307 ",5.4

Montana,947,"$6,703,570 ","$490,997 ",7.3,,"$190,682 ",38.8,,"$124,716 ",25.4,,"$175,599 ",35.8
State, - ,"$4,106,552 ","$249,921 ",6.1,,"$32,269 ",12.9,,"$74,186 ",29.7,,"$143,466 ",57.4
"Local, total", - ,"$2,597,018 ","$241,076 ",9.3,,"$158,413 ",65.7,,"$50,530 ",21,,"$32,133 ",13.3
Counties, - ,"$586,126 ","$150,719 ",25.7,,"$83,887 ",55.7,,"$36,952 ",24.5,,"$29,880 ",19.8
Municipalities, - ,"$640,040 ","$90,357 ",14.1,,"$74,526 ",82.5,,"$13,578 ",15,,"$2,253 ",2.5

Nebraska,"1,764","$14,725,633 ","$769,688 ",5.2,,"$334,231 ",43.4,,"$142,344 ",18.5,,"$293,113 ",38.1
State, - ,"$5,981,060 ","$315,419 ",5.3,,"$60,383 ",19.1,,"$56,189 ",17.8,,"$198,847 ",63
"Local, total", - ,"$8,744,573 ","$454,269 ",5.2,,"$273,848 ",60.3,,"$86,155 ",19,,"$94,266 ",20.8
Counties, - ,"$1,113,235 ","$244,147 ",21.9,,"$74,782 ",30.6,,"$75,099 ",30.8,,"$94,266 ",38.6
Municipalities, - ,"$2,033,530 ","$210,122 ",10.3,,"$199,066 ",94.7,,"$11,056 ",5.3,,$0 ,0

Nevada,"2,492","$18,191,629 ","$1,886,975 ",10.4,,"$889,157 ",47.1,,"$442,254 ",23.4,,"$555,564 ",29.4
State, - ,"$6,674,384 ","$419,486 ",6.3,,"$93,826 ",22.4,,"$64,493 ",15.4,,"$261,167 ",62.3
"Local, total", - ,"$11,517,245 ","$1,467,489 ",12.7,,"$795,331 ",54.2,,"$377,761 ",25.7,,"$294,397 ",20.1
Counties, - ,"$5,084,528 ","$1,080,293 ",21.2,,"$572,757 ",53,,"$292,024 ",27,,"$215,512 ",19.9
Municipalities, - ,"$1,935,471 ","$387,196 ",20,,"$222,574 ",57.5,,"$85,737 ",22.1,,"$78,885 ",20.4

New Hampshire,"1,312","$8,724,366 ","$554,009 ",6.4,,"$274,305 ",49.5,,"$114,586 ",20.7,,"$165,118 ",29.8
State, - ,"$4,602,938 ","$249,810 ",5.4,,"$44,162 ",17.7,,"$92,791 ",37.1,,"$112,857 ",45.2
"Local, total", - ,"$4,121,428 ","$304,199 ",7.4,,"$230,143 ",75.7,,"$21,795 ",7.2,,"$52,261 ",17.2
Counties, - ,"$322,203 ","$83,460 ",25.9,,"$19,353 ",23.2,,"$11,846 ",14.2,,"$52,261 ",62.6
Municipalities, - ,"$2,100,640 ","$220,739 ",10.5,,"$210,790 ",95.5,,"$9,949 ",4.5,,$0 ,0

New Jersey,"8,666","$80,590,008 ","$6,308,203 ",7.8,,"$3,010,248 ",47.7,,"$1,379,112 ",21.9,,"$1,918,843 ",30.4
State, - ,"$43,012,878 ","$2,710,903 ",6.3,,"$505,121 ",18.6,,"$869,690 ",32.1,,"$1,336,092 ",49.3
"Local, total", - ,"$37,577,130 ","$3,597,300 ",9.6,,"$2,505,127 ",69.6,,"$509,422 ",14.2,,"$582,751 ",16.2
Counties, - ,"$7,166,881 ","$1,141,837 ",15.9,,"$261,969 ",22.9,,"$297,245 ",26,,"$582,623 ",51
Municipalities, - ,"$13,575,990 ","$2,455,463 ",18.1,,"$2,243,158 ",91.4,,"$212,177 ",8.6,,$128 ,0

New Mexico,"1,942","$16,235,251 ","$1,234,988 ",7.6,,"$508,519 ",41.2,,"$250,460 ",20.3,,"$476,009 ",38.5
State, - ,"$9,653,932 ","$630,333 ",6.5,,"$116,192 ",18.4,,"$222,977 ",35.4,,"$291,164 ",46.2
"Local, total", - ,"$6,581,319 ","$604,655 ",9.2,,"$392,327 ",64.9,,"$27,483 ",4.5,,"$184,845 ",30.6
Counties, - ,"$1,093,675 ","$245,261 ",22.4,,"$112,582 ",45.9,,"$5,291 ",2.2,,"$127,388 ",51.9
Municipalities, - ,"$2,183,380 ","$359,394 ",16.5,,"$279,745 ",77.8,,"$22,192 ",6.2,,"$57,457 ",16

New York,"19,282","$229,303,899 ","$15,967,394 ",7,,"$7,585,096 ",47.5,,"$3,278,219 ",20.5,,"$5,104,079 ",32
State, - ,"$97,237,744 ","$5,442,755 ",5.6,,"$717,693 ",13.2,,"$2,133,683 ",39.2,,"$2,591,379 ",47.6
"Local, total", - ,"$132,066,155 ","$10,524,639 ",8,,"$6,867,403 ",65.3,,"$1,144,536 ",10.9,,"$2,512,700 ",23.9
Counties, - ,"$18,234,981 ","$3,228,272 ",17.7,,"$1,562,943 ",48.4,,"$433,004 ",13.4,,"$1,232,325 ",38.2
Municipalities, - ,"$90,701,387 ","$7,296,367 ",8,,"$5,304,460 ",72.7,,"$711,532 ",9.8,,"$1,280,375 ",17.5

North Carolina,"8,869","$61,325,091 ","$4,011,843 ",6.5,,"$1,916,244 ",47.8,,"$548,859 ",13.7,,"$1,546,740 ",38.6
State, - ,"$29,847,358 ","$2,090,493 ",7,,"$444,566 ",21.3,,"$498,358 ",23.8,,"$1,147,569 ",54.9
"Local, total", - ,"$31,477,733 ","$1,921,350 ",6.1,,"$1,471,678 ",76.6,,"$50,501 ",2.6,,"$399,171 ",20.8
Counties, - ,"$21,915,438 ","$926,004 ",4.2,,"$489,856 ",52.9,,"$36,977 ",4,,"$399,171 ",43.1
Municipalities, - ,"$8,371,661 ","$995,346 ",11.9,,"$981,822 ",98.6,,"$13,524 ",1.4,,$0 ,0

North Dakota,637,"$4,877,802 ","$239,701 ",4.9,,"$106,005 ",44.2,,"$59,736 ",24.9,,"$73,960 ",30.9
State, - ,"$2,897,644 ","$116,624 ",4,,"$20,916 ",17.9,,"$40,143 ",34.4,,"$55,565 ",47.6
"Local, total", - ,"$1,980,158 ","$123,077 ",6.2,,"$85,089 ",69.1,,"$19,593 ",15.9,,"$18,395 ",14.9
Counties, - ,"$315,487 ","$67,380 ",21.4,,"$33,673 ",50,,"$15,519 ",23,,"$18,188 ",27
Municipalities, - ,"$604,364 ","$55,697 ",9.2,,"$51,416 ",92.3,,"$4,074 ",7.3,,$207 ,0.4

Ohio,"11,464","$94,820,042 ","$6,315,116 ",6.7,,"$2,689,320 ",42.6,,"$1,631,398 ",25.8,,"$1,994,398 ",31.6
State, - ,"$47,797,696 ","$2,004,617 ",4.2,,"$240,430 ",12,,"$313,665 ",15.6,,"$1,450,522 ",72.4
"Local, total", - ,"$47,022,346 ","$4,310,499 ",9.2,,"$2,448,890 ",56.8,,"$1,317,733 ",30.6,,"$543,876 ",12.6
Counties, - ,"$12,077,501 ","$2,154,453 ",17.8,,"$639,553 ",29.7,,"$1,010,351 ",46.9,,"$504,549 ",23.4
Municipalities, - ,"$13,381,274 ","$2,156,046 ",16.1,,"$1,809,337 ",83.9,,"$307,382 ",14.3,,"$39,327 ",1.8

Oklahoma,"3,578","$23,028,644 ","$1,585,880 ",6.9,,"$672,187 ",42.4,,"$281,310 ",17.7,,"$632,383 ",39.9
State, - ,"$13,025,220 ","$883,806 ",6.8,,"$144,941 ",16.4,,"$197,581 ",22.4,,"$541,284 ",61.2
"Local, total", - ,"$10,003,424 ","$702,074 ",7,,"$527,246 ",75.1,,"$83,729 ",11.9,,"$91,099 ",13
Counties, - ,"$1,324,579 ","$198,233 ",15,,"$70,470 ",35.5,,"$36,878 ",18.6,,"$90,885 ",45.8
Municipalities, - ,"$4,183,578 ","$503,841 ",12,,"$456,776 ",90.7,,"$46,851 ",9.3,,$214 ,0

Oregon,"3,691","$29,797,148 ","$2,228,013 ",7.5,,"$938,292 ",42.1,,"$368,011 ",16.5,,"$921,710 ",41.4
State, - ,"$15,123,051 ","$972,708 ",6.4,,"$190,416 ",19.6,,"$239,818 ",24.7,,"$542,474 ",55.8
"Local, total", - ,"$14,674,097 ","$1,255,305 ",8.6,,"$747,876 ",59.6,,"$128,193 ",10.2,,"$379,236 ",30.2
Counties, - ,"$3,149,243 ","$723,790 ",23,,"$248,737 ",34.4,,"$96,311 ",13.3,,"$378,742 ",52.3
Municipalities, - ,"$4,173,474 ","$531,515 ",12.7,,"$499,139 ",93.9,,"$31,882 ",6,,$494 ,0.1

Pennsylvania,"12,403","$99,556,768 ","$6,799,086 ",6.8,,"$2,535,358 ",37.3,,"$1,467,952 ",21.6,,"$2,795,776 ",41.1
State, - ,"$51,266,623 ","$2,679,833 ",5.2,,"$658,170 ",24.6,,"$506,817 ",18.9,,"$1,514,846 ",56.5
"Local, total", - ,"$48,290,145 ","$4,119,253 ",8.5,,"$1,877,188 ",45.6,,"$961,135 ",23.3,,"$1,280,930 ",31.1
