Counties,-,"$2,502,564 ","$507,476 ",20.3,,"$268,591 ",52.9,,"$87,431 ",17.2,,"$151,454 ",29.8
Municipalities,-,"$6,745,044 ","$859,883 ",12.7,,"$703,710 ",81.8,,"$90,910 ",10.6,,"$65,263 ",7.6
Connecticut,"3,459","$27,591,660 ","$1,902,173 ",6.9,,"$780,782 ",41,,"$483,494 ",25.4,,"$637,897 ",33.5
State,-,"$16,382,308 ","$1,249,227 ",7.6,,"$164,120 ",13.1,,"$447,210 ",35.8,,"$637,897 ",51.1
"Local, total",-,"$11,209,352 ","$652,946 ",5.8,,"$616,662 ",94.4,,"$36,284 ",5.6,,$0 ,0
Municipalities,-,"$10,200,264 ","$652,946 ",6.4,,"$616,662 ",94.4,,"$36,284 ",5.6,,$0 ,0
Delaware,806,"$5,946,328 ","$542,389 ",9.1,,"$190,774 ",35.2,,"$106,412 ",19.6,,"$245,203 ",45.2
State,-,"$3,823,465 ","$411,750 ",10.8,,"$68,413 ",16.6,,"$98,134 ",23.8,,"$245,203 ",59.6
"Local, total",-,"$2,122,863 ","$130,639 ",6.2,,"$122,361 ",93.7,,"$8,278 ",6.3,,$0 ,0
Counties,-,"$316,980 ","$57,506 ",18.1,,"$51,762 ",90,,"$5,744 ",10,,$0 ,0
Municipalities,-,"$423,143 ","$73,133 ",17.3,,"$70,599 ",96.5,,"$2,534 ",3.5,,$0 ,0
District of Columbia,571,"$7,832,123 ","$617,112 ",7.9,,"$384,690 ",62.3,,"$58,604 ",9.5,,"$173,818 ",28.2
"Local, total",-,"$7,832,123 ","$617,112 ",7.9,,"$384,690 ",62.3,,"$58,604 ",9.5,,"$173,818 ",28.2
Municipality,-,"$6,457,160 ","$617,112 ",9.6,,"$384,690 ",62.3,,"$58,604 ",9.5,,"$173,818 ",28.2
Florida,"16,692","$99,307,092 ","$9,403,902 ",9.5,,"$4,392,951 ",46.7,,"$1,645,988 ",17.5,,"$3,364,963 ",35.8
State,-,"$37,779,945 ","$3,412,064 ",9,,"$424,501 ",12.4,,"$787,933 ",23.1,,"$2,199,630 ",64.5
"Local, total",-,"$61,527,147 ","$5,991,838 ",9.7,,"$3,968,450 ",66.2,,"$858,055 ",14.3,,"$1,165,333 ",19.4
Counties,-,"$18,722,428 ","$3,978,654 ",21.3,,"$2,091,716 ",52.6,,"$770,117 ",19.4,,"$1,116,821 ",28.1
Municipalities,-,"$13,781,318 ","$2,013,184 ",14.6,,"$1,876,734 ",93.2,,"$87,938 ",4.4,,"$48,512 ",2.4
Georgia,"8,544","$52,310,112 ","$4,002,823 ",7.7,,"$1,555,442 ",38.9,,"$682,487 ",17.1,,"$1,764,894 ",44.1
State,-,"$21,408,164 ","$1,652,673 ",7.7,,"$255,475 ",15.5,,"$164,016 ",9.9,,"$1,233,182 ",74.6
"Local, total",-,"$30,901,948 ","$2,350,150 ",7.6,,"$1,299,967 ",55.3,,"$518,471 ",22.1,,"$531,712 ",22.6
Counties,-,"$6,519,081 ","$1,548,015 ",23.7,,"$667,533 ",43.1,,"$431,793 ",27.9,,"$448,689 ",29
Municipalities,-,"$5,954,879 ","$802,135 ",13.5,,"$632,434 ",78.8,,"$86,678 ",10.8,,"$83,023 ",10.4

Hawaii,"1,241","$9,387,811 ","$625,776 ",6.7,,"$254,636 ",40.7,,"$213,854 ",34.2,,"$157,286 ",25.1
State,-,"$7,315,125 ","$337,978 ",4.6,,"$6,244 ",1.8,,"$174,448 ",51.6,,"$157,286 ",46.5
"Local, total",-,"$2,072,686 ","$287,798 ",13.9,,"$248,392 ",86.3,,"$39,406 ",13.7,,$0 ,0
Counties,-,"$593,241 ","$99,404 ",16.8,,"$80,565 ",81,,"$18,839 ",19,,$0 ,0
Municipalities,-,"$1,462,662 ","$188,394 ",12.9,,"$167,827 ",89.1,,"$20,567 ",10.9,,$0 ,0
Idaho,"1,343","$7,564,676 ","$593,029 ",7.8,,"$240,794 ",40.6,,"$123,058 ",20.8,,"$229,177 ",38.6
State,-,"$3,826,989 ","$272,850 ",7.1,,"$44,108 ",16.2,,"$58,713 ",21.5,,"$170,029 ",62.3
"Local, total",-,"$3,737,687 ","$320,179 ",8.6,,"$196,686 ",61.4,,"$64,345 ",20.1,,"$59,148 ",18.5
Counties,-,"$813,728 ","$206,513 ",25.4,,"$90,892 ",44,,"$56,498 ",27.4,,"$59,123 ",28.6
Municipalities,-,"$770,455 ","$113,666 ",14.8,,"$105,794 ",93.1,,"$7,847 ",6.9,,$25 ,0
Illinois,"12,586","$87,398,017 ","$6,212,482 ",7.1,,"$3,226,031 ",51.9,,"$1,107,041 ",17.8,,"$1,879,410 ",30.3
State,-,"$36,040,401 ","$1,962,152 ",5.4,,"$359,209 ",18.3,,"$302,938 ",15.4,,"$1,300,005 ",66.3
"Local, total",-,"$51,357,616 ","$4,250,330 ",8.3,,"$2,866,822 ",67.4,,"$804,103 ",18.9,,"$579,405 ",13.6
Counties,-,"$5,638,536 ","$1,646,986 ",29.2,,"$326,957 ",19.9,,"$740,753 ",45,,"$579,276 ",35.2
Municipalities,-,"$16,418,618 ","$2,603,344 ",15.9,,"$2,539,865 ",97.6,,"$63,350 ",2.4,,$129 ,0
Indiana,"6,157","$36,302,060 ","$2,120,127 ",5.8,,"$895,372 ",42.2,,"$383,985 ",18.1,,"$840,770 ",39.7
State,-,"$15,648,394 ","$912,424 ",5.8,,"$193,527 ",21.2,,"$103,938 ",11.4,,"$614,959 ",67.4
"Local, total",-,"$20,653,666 ","$1,207,703 ",5.8,,"$701,845 ",58.1,,"$280,047 ",23.2,,"$225,811 ",18.7
Counties,-,"$4,249,137 ","$520,031 ",12.2,,"$154,155 ",29.6,,"$181,937 ",35,,"$183,939 ",35.4
Municipalities,-,"$7,052,171 ","$687,672 ",9.8,,"$547,690 ",79.6,,"$98,110 ",14.3,,"$41,872 ",6.1
Iowa,"2,936","$19,251,492 ","$1,076,379 ",5.6,,"$458,397 ",42.6,,"$288,261 ",26.8,,"$329,721 ",30.6
State,-,"$9,394,253 ","$542,324 ",5.8,,"$85,720 ",15.8,,"$223,592 ",41.2,,"$233,012 ",43
"Local, total",-,"$9,857,239 ","$534,055 ",5.4,,"$372,677 ",69.8,,"$64,669 ",12.1,,"$96,709 ",18.1
Counties,-,"$1,946,630 ","$264,144 ",13.6,,"$113,839 ",43.1,,"$54,138 ",20.5,,"$96,167 ",36.4
Municipalities,-,"$3,332,855 ","$269,911 ",8.1,,"$258,838 ",95.9,,"$10,531 ",3.9,,$542 ,0.2
Kansas,"2,712","$16,717,687 ","$1,074,566 ",6.4,,"$477,726 ",44.5,,"$235,564 ",21.9,,"$361,276 ",33.6
State,-,"$7,620,220 ","$470,920 ",6.2,,"$63,403 ",13.5,,"$139,760 ",29.7,,"$267,757 ",56.9
"Local, total",-,"$9,097,467 ","$603,646 ",6.6,,"$414,323 ",68.6,,"$95,804 ",15.9,,"$93,519 ",15.5
Counties,-,"$1,715,332 ","$289,998 ",16.9,,"$134,642 ",46.4,,"$63,361 ",21.8,,"$91,995 ",31.7
Municipalities,-,"$2,952,046 ","$313,648 ",10.6,,"$279,681 ",89.2,,"$32,443 ",10.3,,"$1,524 ",0.5
Kentucky,"4,090","$24,839,062 ","$1,458,516 ",5.9,,"$542,715 ",37.2,,"$316,310 ",21.7,,"$599,491 ",41.1
State,-,"$14,847,338 ","$863,013 ",5.8,,"$163,317 ",18.9,,"$286,446 ",33.2,,"$413,250 ",47.9
"Local, total",-,"$9,991,724 ","$595,503 ",6,,"$379,398 ",63.7,,"$29,864 ",5,,"$186,241 ",31.3
Counties,-,"$2,194,341 ","$288,390 ",13.1,,"$102,670 ",35.6,,"$20,014 ",6.9,,"$165,706 ",57.5
Municipalities,-,"$2,942,785 ","$307,113 ",10.4,,"$276,728 ",90.1,,"$9,850 ",3.2,,"$20,535 ",6.7
Louisiana,"4,476","$27,667,539 ","$2,107,569 ",7.6,,"$889,447 ",42.2,,"$443,778 ",21.1,,"$774,344 ",36.7
State,-,"$14,150,983 ","$816,436 ",5.8,,"$194,931 ",23.9,,"$141,761 ",17.4,,"$479,744 ",58.8
"Local, total",-,"$13,516,556 ","$1,291,133 ",9.6,,"$694,516 ",53.8,,"$302,017 ",23.4,,"$294,600 ",22.8
Parishes,-,"$3,795,103 ","$676,584 ",17.8,,"$281,981 ",41.7,,"$169,808 ",25.1,,"$224,795 ",33.2
Municipalities,-,"$4,125,325 ","$614,549 ",14.9,,"$412,535 ",67.1,,"$132,209 ",21.5,,"$69,805 ",11.4
Maine,"1,295","$8,640,797 ","$406,412 ",4.7,,"$180,762 ",44.5,,"$80,024 ",19.7,,"$145,626 ",35.8
State,-,"$5,255,301 ","$233,817 ",4.4,,"$59,165 ",25.3,,"$69,072 ",29.5,,"$105,580 ",45.2
"Local, total",-,"$3,385,496 ","$172,595 ",5.1,,"$121,597 ",70.5,,"$10,952 ",6.3,,"$40,046 ",23.2
Counties,-,"$108,391 ","$69,293 ",63.9,,"$22,725 ",32.8,,"$7,581 ",10.9,,"$38,987 ",56.3
Municipalities,-,"$2,065,264 ","$103,302 ",5,,"$98,872 ",95.7,,"$3,371 ",3.3,,"$1,059 ",1
Maryland,"5,451","$35,576,810 ","$3,112,413 ",8.7,,"$1,335,168 ",42.9,,"$520,487 ",16.7,,"$1,256,758 ",40.4
State,-,"$18,081,755 ","$1,638,454 ",9.1,,"$296,897 ",18.1,,"$312,914 ",19.1,,"$1,028,643 ",62.8
"Local, total",-,"$17,495,055 ","$1,473,959 ",8.4,,"$1,038,271 ",70.4,,"$207,573 ",14.1,,"$228,115 ",15.5
Counties,-,"$13,966,438 ","$1,044,635 ",7.5,,"$659,123 ",63.1,,"$157,397 ",15.1,,"$228,115 ",21.8
Municipalities,-,"$3,154,367 ","$429,324 ",13.6,,"$379,148 ",88.3,,"$50,176 ",11.7,,$0 ,0
Massachusetts,"6,422","$50,965,483 ","$3,308,516 ",6.5,,"$1,441,460 ",43.6,,"$742,547 ",22.4,,"$1,124,509 ",34
State,-,"$26,564,002 ","$1,875,755 ",7.1,,"$286,952 ",15.3,,"$688,837 ",36.7,,"$899,966 ",48
"Local, total",-,"$24,401,481 ","$1,432,761 ",5.9,,"$1,154,508 ",80.6,,"$53,710 ",3.7,,"$224,543 ",15.7
Counties,-,"$342,447 ","$120,206 ",35.1,,"$3,642 ",3,,"$1,312 ",1.1,,"$115,252 ",95.9
Municipalities,-,"$19,512,306 ","$1,312,555 ",6.7,,"$1,150,866 ",87.7,,"$52,398 ",4,,"$109,291 ",8.3
Michigan,"10,043","$69,473,895 ","$5,183,326 ",7.5,,"$1,975,978 ",38.1,,"$1,098,376 ",21.2,,"$2,108,972 ",40.7
State,-,"$30,116,537 ","$2,079,202 ",6.9,,"$306,612 ",14.7,,"$159,208 ",7.7,,"$1,613,382 ",77.6
"Local, total",-,"$39,357,358 ","$3,104,124 ",7.9,,"$1,669,366 ",53.8,,"$939,168 ",30.3,,"$495,590 ",16
Counties,-,"$8,874,289 ","$1,590,552 ",17.9,,"$340,764 ",21.4,,"$755,909 ",47.5,,"$493,879 ",31.1
Municipalities,-,"$13,234,146 ","$1,513,572 ",11.4,,"$1,328,602 ",87.8,,"$183,259 ",12.1,,"$1,711 ",0.1
Minnesota,"5,025","$40,515,667 ","$2,189,440 ",5.4,,"$1,018,638 ",46.5,,"$522,118 ",23.8,,"$648,684 ",29.6
State,-,"$18,421,146 ","$754,065 ",4.1,,"$177,936 ",23.6,,"$240,840 ",31.9,,"$335,289 ",44.5
"Local, total",-,"$22,094,521 ","$1,435,375 ",6.5,,"$840,702 ",58.6,,"$281,278 ",19.6,,"$313,395 ",21.8
Counties,-,"$4,902,982 ","$870,571 ",17.8,,"$306,852 ",35.2,,"$253,105 ",29.1,,"$310,614 ",35.7
Municipalities,-,"$6,647,693 ","$564,804 ",8.5,,"$533,850 ",94.5,,"$28,173 ",5,,"$2,781 ",0.5
Mississippi,"2,867","$17,284,802 ","$941,720 ",5.4,,"$461,105 ",49,,"$157,949 ",16.8,,"$322,666 ",34.3
State,-,"$9,285,850 ","$380,076 ",4.1,,"$66,609 ",17.5,,"$64,170 ",16.9,,"$249,297 ",65.6
"Local, total",-,"$7,998,952 ","$561,644 ",7,,"$394,496 ",70.2,,"$93,779 ",16.7,,"$73,369 ",13.1
Counties,-,"$2,068,155 ","$306,827 ",14.8,,"$158,656 ",51.7,,"$78,123 ",25.5,,"$70,048 ",22.8
Municipalities,-,"$2,087,442 ","$254,817 ",12.2,,"$235,840 ",92.6,,"$15,656 ",6.1,,"$3,321 ",1.3
Missouri,"5,670","$33,032,773 ","$2,207,140 ",6.7,,"$1,017,884 ",46.1,,"$373,616 ",16.9,,"$815,640 ",37
State,-,"$15,767,598 ","$974,115 ",6.2,,"$172,082 ",17.7,,"$195,633 ",20.1,,"$606,400 ",62.3
"Local, total",-,"$17,265,175 ","$1,233,025 ",7.1,,"$845,802 ",68.6,,"$177,983 ",14.4,,"$209,240 ",17
Counties,-,"$1,698,798 ","$456,615 ",26.9,,"$184,211 ",40.3,,"$106,154 ",23.2,,"$166,250 ",36.4
Municipalities,-,"$5,526,328 ","$776,410 ",14,,"$661,591 ",85.2,,"$71,829 ",9.3,,"$42,990 ",5.5
Montana,910,"$5,615,097 ","$368,512 ",6.6,,"$170,135 ",46.2,,"$76,468 ",20.8,,"$121,909 ",33.1
State,-,"$3,354,231 ","$165,123 ",4.9,,"$28,035 ",17,,"$30,777 ",18.6,,"$106,311 ",64.4
"Local, total",-,"$2,260,866 ","$203,389 ",9,,"$142,100 ",69.9,,"$45,691 ",22.5,,"$15,598 ",7.7
Counties,-,"$444,542 ","$124,175 ",27.9,,"$70,761 ",57,,"$38,227 ",30.8,,"$15,187 ",12.2
Municipalities,-,"$490,565 ","$79,214 ",16.1,,"$71,339 ",90.1,,"$7,464 ",9.4,,$411 ,0.5
Nebraska,"1,728","$12,478,018 ","$636,613 ",5.1,,"$267,521 ",42,,"$111,545 ",17.5,,"$257,547 ",40.5
State,-,"$4,716,833 ","$275,250 ",5.8,,"$51,632 ",18.8,,"$47,535 ",17.3,,"$176,083 ",64
"Local, total",-,"$7,761,185 ","$361,363 ",4.7,,"$215,889 ",59.7,,"$64,010 ",17.7,,"$81,464 ",22.5
Counties,-,"$933,065 ","$200,171 ",21.5,,"$57,089 ",28.5,,"$61,618 ",30.8,,"$81,464 ",40.7
Municipalities,-,"$1,836,290 ","$161,192 ",8.8,,"$158,800 ",98.5,,"$2,392 ",1.5,,$0 ,0
Nevada,"2,168","$13,963,320 ","$1,474,713 ",10.6,,"$650,065 ",44.1,,"$321,655 ",21.8,,"$502,993 ",34.1
State,-,"$4,915,186 ","$343,480 ",7,,"$63,653 ",18.5,,"$55,204 ",16.1,,"$224,623 ",65.4
"Local, total",-,"$9,048,134 ","$1,131,233 ",12.5,,"$586,412 ",51.8,,"$266,451 ",23.6,,"$278,370 ",24.6
Counties,-,"$3,842,671 ","$863,088 ",22.5,,"$422,262 ",48.9,,"$218,735 ",25.3,,"$222,091 ",25.7
Municipalities,-,"$1,574,528 ","$268,145 ",17,,"$164,150 ",61.2,,"$47,716 ",17.8,,"$56,279 ",21
New Hampshire,"1,274","$7,065,915 ","$423,984 ",6,,"$211,965 ",50,,"$97,175 ",22.9,,"$114,844 ",27.1
State,-,"$3,644,085 ","$195,200 ",5.4,,"$36,800 ",18.9,,"$78,900 ",40.4,,"$79,500 ",40.7
"Local, total",-,"$3,421,830 ","$228,784 ",6.7,,"$175,165 ",76.6,,"$18,275 ",8,,"$35,344 ",15.4
Counties,-,"$234,623 ","$59,035 ",25.2,,"$14,979 ",25.4,,"$8,712 ",14.8,,"$35,344 ",59.9
Municipalities,-,"$1,674,578 ","$169,749 ",10.1,,"$160,186 ",94.4,,"$9,563 ",5.6,,$0 ,0
New Jersey,"8,575","$64,210,393 ","$5,108,651 ",8,,"$2,419,342 ",47.4,,"$1,082,487 ",21.2,,"$1,606,822 ",31.5
State,-,"$32,667,290 ","$2,114,329 ",6.5,,"$342,844 ",16.2,,"$632,513 ",29.9,,"$1,138,972 ",53.9
"Local, total",-,"$31,543,103 ","$2,994,322 ",9.5,,"$2,076,498 ",69.3,,"$449,974 ",15,,"$467,850 ",15.6
Counties,-,"$6,063,177 ","$934,133 ",15.4,,"$199,325 ",21.3,,"$268,219 ",28.7,,"$466,589 ",49.9
Municipalities,-,"$10,908,855 ","$2,060,189 ",18.9,,"$1,877,173 ",91.1,,"$181,755 ",8.8,,"$1,261 ",0.1
New Mexico,"1,852","$12,688,548 ","$972,289 ",7.7,,"$409,744 ",42.1,,"$191,129 ",19.7,,"$371,416 ",38.2
State,-,"$7,315,567 ","$498,594 ",6.8,,"$88,817 ",17.8,,"$168,323 ",33.8,,"$241,454 ",48.4
"Local, total",-,"$5,372,981 ","$473,695 ",8.8,,"$320,927 ",67.7,,"$22,806 ",4.8,,"$129,962 ",27.4
Counties,-,"$795,598 ","$193,576 ",24.3,,"$95,530 ",49.4,,"$8,133 ",4.2,,"$89,913 ",46.4
Municipalities,-,"$1,752,083 ","$280,119 ",16,,"$225,397 ",80.5,,"$14,673 ",5.2,,"$40,049 ",14.3
New York,"19,134","$197,925,830 ","$14,115,834 ",7.1,,"$6,719,312 ",47.6,,"$2,734,013 ",19.4,,"$4,662,509 ",33
State,-,"$80,216,743 ","$4,708,353 ",5.9,,"$567,888 ",12.1,,"$1,769,679 ",37.6,,"$2,370,786 ",50.4
"Local, total",-,"$117,709,087 ","$9,407,481 ",8,,"$6,151,424 ",65.4,,"$964,334 ",10.3,,"$2,291,723 ",24.4
Counties,-,"$15,829,750 ","$2,565,552 ",16.2,,"$1,272,206 ",49.6,,"$338,879 ",13.2,,"$954,467 ",37.2
Municipalities,-,"$75,000,411 ","$6,841,929 ",9.1,,"$4,879,218 ",71.3,,"$625,455 ",9.1,,"$1,337,256 ",19.5
North Carolina,"8,306","$51,838,538 ","$3,229,175 ",6.2,,"$1,504,076 ",46.6,,"$553,464 ",17.1,,"$1,171,635 ",36.3
State,-,"$23,672,762 ","$1,691,149 ",7.1,,"$328,841 ",19.4,,"$448,595 ",26.5,,"$913,713 ",54
"Local, total",-,"$28,165,776 ","$1,538,026 ",5.5,,"$1,175,235 ",76.4,,"$104,869 ",6.8,,"$257,922 ",16.8
Counties,-,"$18,661,921 ","$742,428 ",4,,"$392,448 ",52.9,,"$92,058 ",12.4,,"$257,922 ",34.7
Municipalities,-,"$6,698,645 ","$795,598 ",11.9,,"$782,787 ",98.4,,"$12,811 ",1.6,,$0 ,0
North Dakota,634,"$4,190,494 ","$187,061 ",4.5,,"$77,068 ",41.2,,"$50,136 ",26.8,,"$59,857 ",32
State,-,"$2,434,872 ","$86,222 ",3.5,,"$13,805 ",16,,"$35,625 ",41.3,,"$36,792 ",42.7
"Local, total",-,"$1,755,622 ","$100,839 ",5.7,,"$63,263 ",62.7,,"$14,511 ",14.4,,"$23,065 ",22.9
Counties,-,"$293,338 ","$55,545 ",18.9,,"$21,049 ",37.9,,"$11,608 ",20.9,,"$22,888 ",41.2
Municipalities,-,"$560,223 ","$45,294 ",8.1,,"$42,214 ",93.2,,"$2,903 ",6.4,,$177 ,0.4
Ohio,"11,409","$79,968,434 ","$5,590,723 ",7,,"$2,413,629 ",43.2,,"$1,362,648 ",24.4,,"$1,814,446 ",32.5
State,-,"$37,541,519 ","$1,780,729 ",4.7,,"$233,180 ",13.1,,"$250,689 ",14.1,,"$1,296,860 ",72.8
"Local, total",-,"$42,426,915 ","$3,809,994 ",9,,"$2,180,449 ",57.2,,"$1,111,959 ",29.2,,"$517,586 ",13.6
Counties,-,"$10,916,805 ","$1,886,704 ",17.3,,"$556,819 ",29.5,,"$848,891 ",45,,"$480,994 ",25.5
Municipalities,-,"$11,398,257 ","$1,923,290 ",16.9,,"$1,623,630 ",84.4,,"$263,068 ",13.7,,"$36,592 ",1.9
Oklahoma,"3,490","$20,734,465 ","$1,356,546 ",6.5,,"$568,877 ",41.9,,"$227,213 ",16.7,,"$560,456 ",41.3
State,-,"$11,350,287 ","$765,007 ",6.7,,"$91,636 ",12,,"$166,908 ",21.8,,"$506,463 ",66.2
"Local, total",-,"$9,384,178 ","$591,539 ",6.3,,"$477,241 ",80.7,,"$60,305 ",10.2,,"$53,993 ",9.1
Counties,-,"$1,005,410 ","$139,840 ",13.9,,"$58,697 ",42,,"$27,238 ",19.5,,"$53,905 ",38.5
Municipalities,-,"$3,679,225 ","$451,699 ",12.3,,"$418,544 ",92.7,,"$33,067 ",7.3,,$88 ,0
Oregon,"3,520","$27,731,191 ","$1,999,667 ",7.2,,"$771,954 ",38.6,,"$399,736 ",20,,"$827,977 ",41.4
State,-,"$13,816,484 ","$928,514 ",6.7,,"$141,259 ",15.2,,"$292,769 ",31.5,,"$494,486 ",53.3
"Local, total",-,"$13,914,707 ","$1,071,153 ",7.7,,"$630,695 ",58.9,,"$106,967 ",10,,"$333,491 ",31.1
Counties,-,"$2,801,873 ","$634,569 ",22.6,,"$222,282 ",35,,"$79,252 ",12.5,,"$333,035 ",52.5
Municipalities,-,"$3,441,506 ","$436,584 ",12.7,,"$408,413 ",93.5,,"$27,715 ",6.3,,$456 ,0.1
Pennsylvania,"12,329","$85,903,631 ","$6,042,329 ",7,,"$2,447,631 ",40.5,,"$1,143,618 ",18.9,,"$2,451,080 ",40.6
State,-,"$42,383,178 ","$2,673,448 ",6.3,,"$893,343 ",33.4,,"$324,021 ",12.1,,"$1,456,084 ",54.5
"Local, total",-,"$43,520,453 ","$3,368,881 ",7.7,,"$1,554,288 ",46.1,,"$819,597 ",24.3,,"$994,996 ",29.5
Counties,-,"$6,790,999 ","$1,297,530 ",19.1,,"$113,646 ",8.8,,"$520,036 ",40.1,,"$663,848 ",51.2
Municipalities,-,"$12,483,823 ","$2,071,351 ",16.6,,"$1,440,642 ",69.6,,"$299,561 ",14.5,,"$331,148 ",16
Rhode Island,"1,068","$7,910,811 ","$499,682 ",6.3,,"$238,841 ",47.8,,"$103,310 ",20.7,,"$157,531 ",31.5
State,-,"$5,017,653 ","$296,740 ",5.9,,"$47,527 ",16,,"$91,682 ",30.9,,"$157,531 ",53.1
