State,,"Total 
all 
classes1",Violent crime2,Property crime2,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson,Other assaults,Forgery and counterfeiting,Fraud,Embezzlement,"Stolen property; buying, receiving, possessing",Vandalism,"Weapons; carrying, possessing, etc.",Prostitution and commercialized vice,"Sex offenses (except forcible 
rape and prostitution)","Drug 
abuse violations",Gambling,"Offenses against 
the family and children",Driving under the influence,Liquor laws,Drunkenness3,Disorderly conduct,Vagrancy,All other offenses (except traffic),Suspicion,Curfew and loitering law violations,Runaways,Number of agencies,"2009 
estimated 
population",Year
GEORGIA,Total all ages,"320,569 ","13,014 ","45,965 ",430 ,339 ,"3,119 ","9,126 ","8,189 ","35,352 ","2,180 ",244 ,"30,273 ","4,702 ","7,095 ",362 ,"3,406 ","3,760 ","4,475 ","1,702 ","3,700 ","39,395 ",351 ,"3,195 ","26,982 ","11,456 ","3,385 ","27,605 ","1,818 ","84,454 ",703 ,663 ,"2,108 ",,"6,766,841",2009
HAWAII,Total all ages,"51,974 ","1,394 ","5,326 ",16 ,120 ,406 ,852 ,528 ,"4,277 ",488 ,33 ,"4,914 ",198 ,513 ,62 ,111 ,815 ,237 ,315 ,298 ,"2,055 ",19 ,32 ,"5,588 ","1,471 ",0 ,782 ,105 ,"23,382 ",0 ,196 ,"4,161 ",,"1,150,076",2009
IDAHO,Total all ages,"73,268 ","1,568 ","7,318 ",16 ,117 ,122 ,"1,313 ","1,027 ","6,018 ",193 ,80 ,"5,882 ",183 ,484 ,88 ,174 ,"1,292 ",549 ,5 ,333 ,"5,751 ",0 ,785 ,"12,226 ","6,448 ",351 ,"2,668 ",7 ,"25,185 ",0 ,534 ,"1,437 ",,"1,519,531",2009
ILLINOIS7,Total all ages,"157,242 ","8,311 ","22,180 ",380 ,464 ,"2,875 ","4,592 ","3,028 ","15,249 ","3,832 ",71 ,"22,945 ",319 ,323 ,2 ,54 ,"4,641 ","4,172 ","3,473 ",832 ,"43,536 ","3,046 ",344 ,"4,250 ","1,288 ",0 ,"14,961 ",105 ,"21,964 ",0 ,489 ,7 ,,"3,006,374",2009
INDIANA,Total all ages,"217,684 ","7,710 ","29,597 ",202 ,210 ,"1,804 ","5,494 ","4,217 ","23,753 ","1,443 ",184 ,"21,160 ","1,425 ","1,671 ",6 ,"6,608 ","2,319 ","1,913 ","1,185 ","1,427 ","23,203 ",36 ,"1,510 ","22,618 ","12,250 ","16,936 ","7,822 ",54 ,"54,613 ",102 ,755 ,"2,764 ",,"4,679,770",2009
IOWA,Total all ages,"110,553 ","3,938 ","14,625 ",27 ,90 ,418 ,"3,403 ","1,937 ","12,151 ",442 ,95 ,"10,170 ",562 ,"1,002 ",102 ,220 ,"2,945 ",486 ,141 ,210 ,"8,376 ",6 ,954 ,"13,516 ","8,663 ","10,917 ","6,114 ",22 ,"26,646 ",0 ,545 ,393 ,,"2,756,917",2009
KANSAS,Total all ages,"75,034 ","2,326 ","7,126 ",46 ,150 ,282 ,"1,848 ",902 ,"5,842 ",316 ,66 ,"10,738 ",401 ,"1,195 ",148 ,215 ,"1,818 ",663 ,239 ,261 ,"6,316 ",0 ,211 ,"13,223 ","5,957 ",308 ,"3,662 ",0 ,"18,966 ",0 ,0 ,"1,261 ",,"1,813,396",2009
KENTUCKY,Total all ages,"133,542 ","3,536 ","15,541 ",142 ,196 ,"1,055 ","2,143 ","2,714 ","12,364 ",347 ,116 ,"8,803 ","1,243 ","1,759 ",107 ,"1,437 ",951 ,"1,056 ",379 ,331 ,"18,553 ",28 ,"3,021 ","19,733 ",374 ,"17,260 ","4,828 ",482 ,"34,029 ",0 ,16 ,75 ,,"2,295,577",2009
LOUISIANA,Total all ages,"139,698 ","9,894 ","22,359 ",182 ,224 ,"1,004 ","8,484 ","3,675 ","17,812 ",728 ,144 ,"15,489 ",574 ,"2,029 ",235 ,"1,314 ","2,355 ","1,607 ",288 ,648 ,"19,334 ",59 ,"1,404 ","8,488 ","2,274 ","2,578 ","7,581 ",265 ,"40,141 ",12 ,421 ,349 ,,"2,410,236",2009
MAINE,Total all ages,"56,567 ",712 ,"8,173 ",19 ,83 ,194 ,416 ,"1,362 ","6,481 ",250 ,80 ,"6,878 ",276 ,878 ,37 ,194 ,"1,581 ",411 ,27 ,245 ,"5,897 ",3 ,104 ,"6,861 ","5,528 ",40 ,"1,886 ",9 ,"16,634 ",0 ,90 ,103 ,,"1,316,989",2009
MARYLAND,Total all ages,"283,407 ","12,464 ","35,779 ",318 ,442 ,"4,185 ","7,519 ","6,595 ","26,228 ","2,467 ",489 ,"29,465 ","1,239 ","1,989 ",349 ,164 ,"3,870 ","3,590 ","1,322 ","1,374 ","51,629 ",314 ,"2,223 ","23,180 ","7,446 ",0 ,"7,082 ",135 ,"98,707 ",417 ,226 ,443 ,,"5,674,380",2009
MASSACHUSETTS,Total all ages,"148,266 ","13,003 ","20,097 ",76 ,323 ,"2,129 ","10,475 ","3,758 ","15,546 ",696 ,97 ,"22,234 ",696 ,"1,547 ",139 ,"1,457 ","3,393 ","1,514 ",836 ,711 ,"12,127 ",21 ,"1,853 ","12,369 ","5,077 ","7,144 ","8,134 ",16 ,"35,618 ",21 ,10 ,249 ,,"6,130,470",2009
MICHIGAN,Total all ages,"296,005 ","13,330 ","38,817 ",221 ,633 ,"2,571 ","9,905 ","6,461 ","29,569 ","2,495 ",292 ,"30,626 ",893 ,"5,912 ","1,010 ","1,729 ","3,684 ","4,270 ",732 ,954 ,"34,910 ",154 ,"2,921 ","38,941 ","18,679 ",332 ,"9,813 ",291 ,"86,060 ",0 ,910 ,"1,037 ",,"9,569,737",2009
MINNESOTA7,Total all ages,"191,480 ","5,419 ","30,539 ",103 ,111 ,"1,214 ","3,991 ","3,001 ","26,251 ","1,103 ",184 ,"17,220 ","1,356 ","3,066 ",51 ,"1,862 ","4,342 ","1,858 ","1,087 ","1,444 ","17,040 ",19 ,754 ,"26,240 ","25,784 ",0 ,"13,099 ",432 ,"32,761 ",0 ,"3,047 ","4,060 ",,"5,094,567",2009
MISSISSIPPI,Total all ages,"123,587 ","2,065 ","13,355 ",109 ,139 ,657 ,"1,160 ","2,673 ","10,191 ",385 ,106 ,"12,861 ",847 ,"2,042 ",733 ,755 ,"1,136 ","1,085 ",225 ,389 ,"13,240 ",163 ,"3,561 ","12,644 ","2,181 ","6,062 ","8,928 ",119 ,"40,364 ",118 ,492 ,222 ,,"1,630,766",2009
MISSOURI,Total all ages,"324,277 ","12,169 ","44,812 ",388 ,531 ,"2,394 ","8,856 ","6,654 ","35,072 ","2,781 ",305 ,"34,915 ","2,229 ","3,367 ",221 ,"3,083 ","6,642 ","3,817 ",569 ,"2,342 ","35,321 ",101 ,"4,515 ","33,020 ","12,897 ",249 ,"14,097 ",172 ,"105,040 ",0 ,"1,832 ","2,867 ",,"5,543,053",2009
MONTANA,Total all ages,"31,237 ",893 ,"4,485 ",18 ,27 ,52 ,796 ,248 ,"3,979 ",227 ,31 ,"3,761 ",58 ,183 ,33 ,21 ,"1,006 ",62 ,1 ,57 ,"1,539 ",0 ,320 ,"4,373 ","4,581 ",0 ,"3,216 ",12 ,"5,579 ",0 ,553 ,504 ,,"905,870",2009
NEBRASKA,Total all ages,"84,107 ","1,943 ","10,147 ",35 ,158 ,377 ,"1,373 ",883 ,"8,824 ",348 ,92 ,"8,968 ",440 ,"1,529 ",103 ,739 ,"2,887 ",903 ,180 ,614 ,"9,731 ",19 ,"1,467 ","13,016 ","10,741 ",0 ,"3,993 ",30 ,"15,917 ",0 ,292 ,448 ,,"1,591,339",2009
NEVADA,Total all ages,"172,548 ","7,501 ","18,250 ",149 ,194 ,"2,048 ","5,110 ","3,018 ","14,367 ",715 ,150 ,"18,590 ","1,254 ","1,765 ",505 ,"2,006 ","2,928 ","1,950 ","4,561 ","1,555 ","16,976 ",33 ,"1,209 ","15,234 ","10,299 ",145 ,"3,417 ","2,123 ","58,500 ",10 ,"2,697 ","1,040 ",,"2,546,856",2009
NEW HAMPSHIRE,Total all ages,"49,351 ",694 ,"4,343 ",3 ,45 ,176 ,470 ,550 ,"3,624 ",115 ,54 ,"6,499 ",221 ,774 ,47 ,571 ,"1,317 ",108 ,46 ,175 ,"4,020 ",3 ,188 ,"4,676 ","5,436 ","4,022 ","1,500 ",78 ,"14,268 ",0 ,27 ,338 ,,"1,160,414",2009
NEW JERSEY,Total all ages,"387,595 ","13,749 ","34,845 ",229 ,362 ,"4,413 ","8,745 ","6,231 ","27,505 ",796 ,313 ,"27,102 ","1,766 ","5,039 ",145 ,"3,739 ","6,398 ","4,848 ","1,372 ","1,543 ","52,461 ",275 ,"14,411 ","27,345 ","6,956 ",0 ,"21,799 ","1,483 ","152,857 ",0 ,"5,659 ","3,803 ",,"8,522,309",2009
NEW MEXICO,Total all ages,"95,965 ","3,638 ","10,739 ",69 ,105 ,296 ,"3,168 ","1,302 ","8,891 ",445 ,101 ,"8,606 ",154 ,403 ,141 ,583 ,872 ,601 ,287 ,150 ,"6,478 ",0 ,"1,262 ","11,674 ","4,488 ",778 ,"3,079 ",65 ,"41,453 ",50 ,15 ,449 ,,"1,531,579",2009
NEW YORK4,Total all ages,"347,436 ","15,628 ","59,064 ",279 ,522 ,"4,323 ","10,504 ","8,158 ","48,308 ","2,186 ",412 ,"36,315 ","3,473 ","7,114 ",154 ,"5,416 ","16,078 ","4,036 ",871 ,"4,073 ","60,543 ",237 ,"1,315 ","36,093 ","5,165 ",0 ,"14,615 ",875 ,"76,371 ",0 ,0 ,0 ,,"10,719,319",2009
NORTH CAROLINA,Total all ages,"389,370 ","17,790 ","58,545 ",483 ,474 ,"3,729 ","13,104 ","14,315 ","42,756 ","1,191 ",283 ,"48,526 ","2,205 ","17,284 ","1,353 ","4,485 ","7,299 ","6,454 ","1,080 ","1,185 ","33,062 ",111 ,"6,546 ","50,261 ","8,567 ",0 ,"12,200 ",0 ,"111,324 ",0 ,0 ,"1,093 ",,"6,933,046",2009
NORTH DAKOTA,Total all ages,"27,209 ",465 ,"3,125 ",8 ,38 ,41 ,378 ,331 ,"2,604 ",175 ,15 ,"2,020 ",108 ,728 ,32 ,124 ,548 ,132 ,4 ,104 ,"1,851 ",1 ,188 ,"3,904 ","5,430 ",399 ,"1,867 ",4 ,"5,312 ",0 ,328 ,535 ,,"611,734",2009
OHIO,Total all ages,"266,624 ","7,342 ","39,106 ",232 ,466 ,"3,244 ","3,400 ","6,370 ","31,106 ","1,343 ",287 ,"36,372 ","1,497 ","3,274 ",47 ,"3,615 ","5,035 ","3,518 ","1,891 ",960 ,"30,904 ",131 ,"5,165 ","18,993 ","12,405 ","4,096 ","21,065 ",55 ,"68,869 ",41 ,"1,570 ",673 ,,"8,137,156",2009
OKLAHOMA,Total all ages,"159,508 ","5,953 ","19,557 ",197 ,261 ,852 ,"4,643 ","2,975 ","15,850 ",481 ,251 ,"9,707 ",820 ,"2,737 ",552 ,"2,405 ","1,443 ","1,966 ",411 ,784 ,"20,311 ",10 ,942 ,"18,996 ","2,679 ","22,586 ","3,627 ",3 ,"39,640 ",0 ,"1,877 ","2,502 ",,"3,526,827",2009
OREGON,Total all ages,"132,035 ","4,214 ","24,125 ",72 ,245 ,"1,012 ","2,885 ","2,447 ","20,349 ","1,103 ",226 ,"14,044 ",763 ,"1,300 ",42 ,386 ,"4,474 ","1,456 ",660 ,"1,226 ","15,469 ",4 ,602 ,"14,477 ","16,900 ",0 ,"8,818 ",8 ,"19,711 ",0 ,"1,785 ","1,571 ",,"3,612,440",2009
PENNSYLVANIA,Total all ages,"446,511 ","23,505 ","57,552 ",526 ,"1,090 ","6,753 ","15,136 ","9,278 ","44,895 ","2,753 ",626 ,"44,291 ","2,529 ","7,895 ",419 ,"2,747 ","11,442 ","4,056 ","1,871 ","2,625 ","52,549 ",162 ,"1,072 ","50,177 ","23,047 ","23,852 ","59,739 ","1,342 ","51,764 ",0 ,"22,221 ","1,654 ",,"11,813,884",2009
RHODE ISLAND,Total all ages,"34,247 ",923 ,"3,989 ",12 ,66 ,282 ,563 ,801 ,"3,012 ",117 ,59 ,"4,404 ",140 ,642 ,128 ,352 ,"1,184 ",457 ,97 ,102 ,"4,081 ",3 ,172 ,"2,601 ",894 ,9 ,"3,128 ",2 ,"10,891 ",0 ,18 ,30 ,,"1,018,309",2009
SOUTH CAROLINA,Total all ages,"198,552 ","9,435 ","25,534 ",234 ,341 ,"1,656 ","7,204 ","4,512 ","20,015 ",868 ,139 ,"20,497 ","1,818 ","10,245 ",418 ,"2,036 ","3,212 ","2,436 ",642 ,573 ,"27,548 ",337 ,"1,307 ","16,993 ","10,325 ","11,750 ","16,183 ","1,239 ","35,530 ",0 ,61 ,433 ,,"4,397,223",2009
SOUTH DAKOTA,Total all ages,"28,206 ",466 ,"3,636 ",7 ,59 ,42 ,358 ,330 ,"3,162 ",134 ,10 ,"3,260 ",95 ,688 ,40 ,86 ,610 ,140 ,14 ,77 ,"2,868 ",0 ,404 ,"5,720 ","5,023 ",96 ,"1,843 ",167 ,"2,197 ",0 ,114 ,662 ,,"674,759",2009
TENNESSEE,Total all ages,"305,259 ","13,150 ","41,924 ",321 ,313 ,"2,731 ","9,785 ","6,270 ","33,703 ","1,746 ",205 ,"31,772 ","2,983 ","7,757 ",879 ,863 ,"4,362 ","3,244 ","2,531 ",708 ,"35,812 ",443 ,"2,004 ","24,141 ","7,110 ","19,681 ","9,941 ",71 ,"92,060 ",0 ,"1,992 ","1,831 ",,"4,889,352",2009
TEXAS,Total all ages,"1,174,813 ","34,683 ","143,518 ",823 ,"1,908 ","8,330 ","23,622 ","20,432 ","117,211 ","5,212 ",663 ,"116,411 ","7,768 ","12,843 ",492 ,901 ,"14,122 ","11,365 ","8,604 ","4,139 ","144,329 ",688 ,"5,271 ","93,856 ","28,517 ","139,684 ","40,885 ","2,530 ","340,401 ",0 ,"11,644 ","12,162 ",,"24,280,041",2009
UTAH,Total all ages,"135,850 ","2,227 ","20,677 ",37 ,191 ,515 ,"1,484 ","1,471 ","18,657 ",436 ,113 ,"11,915 ","1,062 ","1,171 ",28 ,795 ,"4,293 ","1,308 ",550 ,886 ,"11,224 ",53 ,"2,010 ","7,805 ","11,099 ","5,123 ","5,839 ",215 ,"45,602 ",0 ,"1,375 ",593 ,,"2,747,172",2009
VERMONT,Total all ages,"15,630 ",539 ,"2,147 ",6 ,61 ,25 ,447 ,351 ,"1,676 ",101 ,19 ,"1,794 ",76 ,316 ,48 ,146 ,469 ,24 ,7 ,41 ,"1,433 ",0 ,361 ,"3,396 ",686 ,5 ,830 ,0 ,"3,310 ",0 ,0 ,2 ,,"605,536",2009
VIRGINIA,Total all ages,"326,202 ","6,638 ","35,284 ",267 ,300 ,"1,866 ","4,205 ","4,304 ","29,782 ",919 ,279 ,"37,837 ","2,229 ","8,195 ","1,660 ",991 ,"4,621 ","3,712 ",848 ,"1,063 ","29,780 ",89 ,"1,484 ","27,623 ","11,864 ","32,711 ","5,575 ",173 ,"107,897 ",0 ,"2,221 ","3,707 ",,"7,481,379",2009
WASHINGTON,Total all ages,"200,290 ","7,580 ","32,771 ",138 ,620 ,"1,954 ","4,868 ","4,453 ","26,871 ","1,204 ",243 ,"26,202 ","1,459 ","1,007 ",100 ,"2,215 ","5,981 ","2,378 ",795 ,988 ,"16,561 ",3 ,702 ,"16,421 ","9,738 ",6 ,"4,542 ",52 ,"69,313 ",0 ,30 ,"1,446 ",,"4,880,479",2009
WEST VIRGINIA,Total all ages,"47,529 ","1,459 ","6,015 ",42 ,63 ,201 ,"1,153 ",791 ,"5,016 ",180 ,28 ,"5,841 ",383 ,764 ,109 ,254 ,888 ,305 ,125 ,169 ,"6,167 ",12 ,74 ,"4,780 ","1,803 ","3,753 ","1,041 ",11 ,"13,475 ",0 ,65 ,36 ,,"925,274",2009
WISCONSIN,Total all ages,"369,962 ","7,521 ","40,465 ",142 ,633 ,"1,589 ","5,157 ","4,449 ","34,590 ","1,241 ",185 ,"18,164 ","1,340 ","5,069 ",225 ,"1,664 ","9,481 ","3,964 ",371 ,"2,600 ","24,446 ",214 ,"2,602 ","38,215 ","36,051 ",0 ,"58,992 ","3,111 ","106,694 ",0 ,"5,492 ","3,281 ",,"5,389,299",2009
WYOMING,Total all ages,"38,737 ",577 ,"3,061 ",16 ,43 ,30 ,488 ,286 ,"2,645 ",118 ,12 ,"3,370 ",114 ,225 ,13 ,63 ,765 ,113 ,14 ,164 ,"2,807 ",3 ,215 ,"6,662 ","3,934 ","2,700 ","1,329 ",50 ,"11,643 ",30 ,479 ,406 ,,"539,500",2009
