State,,"Total 
all 
classes ",Violent crime ,Property crime ,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson,Other assaults,Forgery and counterfeiting,Fraud,Embezzlement,"Stolen property; buying, receiving, possessing",Vandalism,"Weapons; carrying, possessing, etc.",Prostitution and commercialized vice,"Sex offenses (except forcible 
rape and prostitution)","Drug 
abuse violations",Gambling,"Offenses against 
the family and children",Driving under the influence,Liquor laws,Drunkenness ,Disorderly conduct,Vagrancy,All other offenses (except traffic),Suspicion,Curfew and loitering law violations,Runaways,Number of agencies,2005 estimated population,Year
GEORGIA,Total all ages,"216,627 ","9,493 ","24,021 ",229 ,244 ,"2,060 ","6,960 ","4,101 ","17,481 ","1,953 ",486 ,"17,452 ","3,083 ","8,400 ",193 ,"3,470 ","2,417 ","4,541 ","1,681 ","3,292 ","29,513 ",216 ,"2,003 ","13,680 ","10,659 ","2,905 ","19,112 ","1,932 ","54,519 ","1,000 ",583 ,"2,462 ",,"3,341,353",2005
HAWAII,Total all ages,"43,632 ",994 ,"4,599 ",29 ,85 ,299 ,581 ,415 ,"3,356 ",797 ,31 ,"4,009 ",294 ,228 ,38 ,145 ,729 ,200 ,341 ,203 ,"2,132 ",114 ,55 ,"4,346 ",808 ,0 ,611 ,6 ,"20,653 ",0 ,254 ,"2,873 ",,"1,048,094",2005
IDAHO,Total all ages,"44,193 ",924 ,"4,617 ",20 ,68 ,48 ,788 ,634 ,"3,725 ",203 ,55 ,"4,099 ",218 ,359 ,57 ,231 ,899 ,384 ,3 ,207 ,"3,231 ",1 ,252 ,"6,150 ","3,654 ",97 ,"1,491 ",5 ,"15,586 ",0 ,395 ,"1,333 ",,"906,893",2005
ILLINOIS ,Total all ages,"196,878 ","9,694 ","24,849 ",383 ,543 ,"3,081 ","5,687 ","2,809 ","14,896 ","7,011 ",133 ,"27,858 ",213 ,"1,663 ",0 ,0 ,"5,130 ","4,502 ","4,931 ","1,552 ","58,093 ","3,069 ",358 ,"6,045 ",880 ,0 ,"19,223 ",0 ,"28,818 ",0 ,0 ,0 ,,"2,873,441",2005
INDIANA,Total all ages,"229,883 ","11,428 ","26,128 ",248 ,256 ,"1,600 ","9,324 ","3,855 ","20,023 ","2,019 ",231 ,"13,796 ","1,512 ","2,230 ",42 ,"5,830 ","2,624 ","1,845 ","1,809 ","1,548 ","24,698 ",17 ,"2,098 ","27,569 ","13,196 ","16,799 ","8,960 ",29 ,"63,431 ",201 ,332 ,"3,761 ",,"4,680,394",2005
IOWA,Total all ages,"116,089 ","4,385 ","13,643 ",17 ,99 ,374 ,"3,895 ","2,144 ","10,727 ",619 ,153 ,"10,226 ",960 ,"1,416 ",113 ,171 ,"3,065 ",519 ,215 ,322 ,"9,740 ",6 ,"1,009 ","13,781 ","10,764 ","8,651 ","5,776 ",37 ,"30,047 ",0 ,771 ,472 ,,"2,640,488",2005
KANSAS,Total all ages,"48,182 ","1,073 ","3,705 ",10 ,82 ,68 ,913 ,614 ,"2,766 ",264 ,61 ,"5,548 ",268 ,"1,102 ",26 ,230 ,"1,100 ",239 ,8 ,164 ,"4,569 ",0 ,146 ,"9,092 ","5,114 ",220 ,"1,674 ",0 ,"13,030 ",0 ,0 ,874 ,,"1,296,042",2005
KENTUCKY,Total all ages,"210,113 ","4,493 ","17,367 ",269 ,299 ,"1,108 ","2,817 ","3,724 ","12,477 ",927 ,239 ,"14,461 ","4,251 ","14,890 ",349 ,"3,023 ","2,753 ","1,878 ",509 ,"2,684 ","35,313 ",38 ,"4,759 ","21,992 ","5,388 ","18,919 ","7,817 ",506 ,"48,343 ",0 ,137 ,243 ,,"2,677,931",2005
LOUISIANA,Total all ages,"163,410 ","7,326 ","19,824 ",256 ,274 ,972 ,"5,824 ","4,480 ","14,221 ",988 ,135 ,"22,322 ","1,048 ","1,966 ",113 ,"1,473 ","3,119 ","1,582 ",447 ,852 ,"22,323 ",102 ,"1,358 ","8,800 ","6,570 ","2,666 ","16,478 ",368 ,"43,277 ",80 ,601 ,715 ,,"2,450,103",2005
MAINE,Total all ages,"49,931 ",723 ,"6,553 ",0 ,106 ,181 ,436 ,"1,034 ","5,207 ",263 ,49 ,"6,243 ",367 ,845 ,27 ,211 ,"1,574 ",333 ,18 ,263 ,"4,730 ",3 ,440 ,"6,404 ","3,852 ",22 ,"1,687 ",1 ,"15,448 ",0 ,98 ,89 ,,"1,302,517",2005
MARYLAND,Total all ages,"302,456 ","11,827 ","34,741 ",333 ,415 ,"3,528 ","7,551 ","6,936 ","22,856 ","4,376 ",573 ,"32,588 ","1,104 ","3,098 ",343 ,275 ,"4,490 ","4,464 ","1,861 ","1,280 ","52,472 ",387 ,"2,332 ","23,072 ","5,889 ",1 ,"6,769 ",202 ,"113,524 ",463 ,497 ,777 ,,"5,524,635",2005
MASSACHUSETTS,Total all ages,"112,437 ","7,109 ","12,077 ",37 ,253 ,909 ,"5,910 ","2,436 ","8,774 ",765 ,102 ,"13,269 ",558 ,937 ,74 ,888 ,"2,194 ",761 ,672 ,369 ,"14,496 ",9 ,"1,596 ","11,195 ","3,557 ","6,963 ","5,605 ",23 ,"29,623 ",150 ,17 ,295 ,,"4,927,398",2005
MICHIGAN ,Total all ages,"344,114 ","14,852 ","37,023 ",229 ,785 ,"2,403 ","11,435 ","6,200 ","26,392 ","4,076 ",355 ,"31,596 ","1,237 ","6,413 ","1,406 ","2,739 ","4,203 ","5,337 ","1,776 ","1,293 ","33,492 ",100 ,"3,392 ","46,732 ","25,610 ",626 ,"9,656 ",382 ,"112,576 ",0 ,"2,031 ","1,642 ",,"9,807,849",2005
MINNESOTA,Total all ages,"204,004 ","6,168 ","25,385 ",89 ,699 ,"1,302 ","4,078 ","3,256 ","19,915 ","2,038 ",176 ,"20,123 ","2,639 ","3,364 ",9 ,"2,313 ","5,163 ","2,265 ","2,133 ","1,313 ","20,001 ",47 ,520 ,"30,699 ","27,086 ",0 ,"15,075 ",298 ,"33,749 ",0 ,"2,908 ","2,746 ",,"4,836,926",2005
MISSISSIPPI,Total all ages,"101,737 ","2,107 ","9,299 ",140 ,209 ,459 ,"1,299 ","2,041 ","6,785 ",389 ,84 ,"10,853 ",796 ,"1,336 ",557 ,773 ,"1,162 ",730 ,63 ,331 ,"13,953 ",345 ,"2,628 ","9,371 ","2,605 ","6,085 ","7,636 ",110 ,"30,090 ",82 ,443 ,382 ,,"1,460,530",2005
MISSOURI,Total all ages,"229,077 ","11,029 ","26,797 ",294 ,397 ,"1,715 ","8,623 ","4,254 ","19,251 ","2,995 ",297 ,"24,885 ","2,635 ","3,008 ",85 ,"1,733 ","6,507 ","3,149 ","1,271 ","2,530 ","29,685 ",261 ,"3,522 ","21,003 ","7,172 ",936 ,"11,974 ",288 ,"67,882 ",0 ,947 ,"1,778 ",,"3,655,659",2005
MONTANA ,Total all ages,"25,130 ",773 ,"4,177 ",11 ,33 ,56 ,673 ,251 ,"3,644 ",240 ,42 ,"3,386 ",146 ,184 ,17 ,24 ,893 ,117 ,2 ,74 ,"1,662 ",2 ,307 ,"3,128 ","2,722 ",0 ,"2,193 ",10 ,"4,450 ",0 ,465 ,398 ,,"776,834",2005
NEBRASKA,Total all ages,"95,377 ","1,757 ","9,799 ",39 ,155 ,321 ,"1,242 ",928 ,"8,391 ",355 ,125 ,"9,741 ",788 ,"1,727 ",76 ,"1,106 ","2,886 ","1,153 ",148 ,585 ,"11,181 ",26 ,"1,639 ","14,257 ","9,342 ",3 ,"4,208 ",58 ,"24,043 ",1 ,507 ,346 ,,"1,590,291",2005
NEVADA,Total all ages,"149,978 ","4,212 ","18,379 ",205 ,197 ,"1,189 ","2,621 ","4,772 ","11,439 ","2,046 ",122 ,"17,424 ",558 ,"2,493 ",441 ,"1,852 ","1,688 ","1,897 ","4,633 ","1,336 ","11,267 ",53 ,"1,672 ","9,746 ","7,254 ",147 ,"1,774 ","1,491 ","57,064 ",161 ,"2,994 ","1,442 ",,"2,410,942",2005
NEW HAMPSHIRE,Total all ages,"46,351 ",519 ,"3,182 ",6 ,56 ,123 ,334 ,402 ,"2,588 ",140 ,52 ,"5,550 ",238 ,"1,180 ",32 ,385 ,"1,214 ",147 ,74 ,209 ,"3,209 ",4 ,193 ,"5,035 ","4,876 ","4,120 ","1,450 ",32 ,"14,307 ",0 ,25 ,370 ,,"1,081,410",2005
NEW JERSEY,Total all ages,"375,719 ","14,244 ","30,653 ",278 ,485 ,"4,180 ","9,301 ","5,784 ","23,409 ","1,092 ",368 ,"28,190 ","1,983 ","5,387 ",80 ,"5,198 ","7,113 ","6,287 ","2,342 ","1,886 ","53,846 ",283 ,"14,872 ","24,694 ","7,265 ",16 ,"21,601 ","1,714 ","136,737 ",1 ,"6,326 ","5,001 ",,"8,389,085",2005
NEW MEXICO,Total all ages,"83,276 ","3,319 ","6,691 ",95 ,114 ,372 ,"2,738 ","1,039 ","4,830 ",446 ,376 ,"5,458 ",382 ,455 ,172 ,702 ,575 ,704 ,300 ,113 ,"6,439 ",7 ,"1,134 ","11,240 ","3,872 ",729 ,"2,525 ",104 ,"37,716 ",46 ,47 ,546 ,,"1,429,002",2005
NEW YORK ,Total all ages,"335,353 ","16,026 ","50,045 ",350 ,748 ,"4,248 ","10,680 ","7,945 ","38,780 ","2,855 ",465 ,"29,226 ","4,808 ","10,180 ",203 ,"6,238 ","12,719 ","4,505 ","1,743 ","4,530 ","54,613 ",198 ,"2,763 ","29,062 ","4,974 ",0 ,"15,291 ","1,374 ","86,855 ",0 ,0 ,0 ,,"9,800,300",2005
NORTH CAROLINA,Total all ages,"446,154 ","22,031 ","58,337 ",666 ,720 ,"4,105 ","16,540 ","15,302 ","40,798 ","1,844 ",393 ,"56,641 ","3,422 ","30,503 ","1,937 ","6,379 ","9,073 ","7,931 ","1,370 ","1,632 ","38,775 ",452 ,"8,324 ","28,720 ","14,565 ",0 ,"18,175 ",90 ,"136,509 ",0 ,26 ,"1,262 ",,"7,455,705",2005
NORTH DAKOTA,Total all ages,"27,248 ",223 ,"2,181 ",4 ,32 ,16 ,171 ,195 ,"1,782 ",192 ,12 ,"1,820 ",122 ,"1,034 ",13 ,113 ,558 ,190 ,1 ,68 ,"1,785 ",4 ,210 ,"4,116 ","5,816 ",541 ,"1,641 ",2 ,"5,775 ",0 ,334 ,701 ,,"549,686",2005
OHIO,Total all ages,"251,917 ","7,107 ","31,505 ",227 ,623 ,"2,561 ","3,696 ","5,977 ","23,230 ","1,913 ",385 ,"26,420 ","1,699 ","3,529 ",22 ,"4,598 ","4,598 ","2,990 ","1,282 ","1,123 ","33,643 ",157 ,"9,217 ","20,126 ","12,937 ","4,375 ","17,976 ",83 ,"65,392 ",75 ,"2,043 ","1,020 ",,"6,557,771",2005
OKLAHOMA,Total all ages,"145,946 ","5,551 ","15,497 ",167 ,329 ,681 ,"4,374 ","2,867 ","11,244 ","1,102 ",284 ,"9,818 ","1,079 ","2,435 ",516 ,"2,405 ","1,327 ","2,306 ",456 ,700 ,"21,468 ",19 ,998 ,"15,884 ","2,957 ","21,167 ","2,961 ",0 ,"32,892 ",0 ,"2,082 ","3,428 ",,"3,345,709",2005
OREGON,Total all ages,"142,649 ","4,355 ","26,635 ",130 ,291 ,955 ,"2,979 ","3,171 ","20,550 ","2,665 ",249 ,"14,889 ","1,943 ","1,704 ",78 ,680 ,"4,598 ","2,041 ",635 ,"1,279 ","20,532 ",9 ,512 ,"14,901 ","14,734 ",0 ,"6,878 ",2 ,"21,529 ",0 ,"2,368 ","2,347 ",,"3,431,463",2005
PENNSYLVANIA,Total all ages,"437,305 ","23,804 ","52,624 ",510 ,"1,199 ","6,720 ","15,375 ","9,448 ","37,848 ","4,647 ",681 ,"42,373 ","3,573 ","12,547 ",397 ,"3,298 ","11,896 ","4,839 ","2,552 ","2,881 ","51,944 ",320 ,935 ,"41,464 ","24,985 ","21,315 ","54,107 ","1,004 ","50,116 ",0 ,"28,307 ","2,024 ",,"10,564,202",2005
RHODE ISLAND ,Total all ages,"32,875 ",742 ,"3,102 ",9 ,59 ,151 ,523 ,630 ,"2,199 ",199 ,74 ,"3,634 ",138 ,908 ,153 ,272 ,"1,190 ",308 ,110 ,136 ,"2,863 ",11 ,134 ,"2,313 ",638 ,17 ,"2,518 ",1 ,"13,528 ",0 ,8 ,151 ,,"871,688",2005
SOUTH CAROLINA,Total all ages,"221,852 ","10,880 ","25,092 ",287 ,533 ,"1,558 ","8,502 ","5,054 ","18,747 ","1,094 ",197 ,"24,279 ","2,565 ","24,630 ",504 ,"2,701 ","4,140 ","2,773 ",742 ,809 ,"29,837 ",130 ,751 ,"8,645 ","9,588 ","11,170 ","14,597 ",980 ,"46,481 ",0 ,46 ,512 ,,"3,865,027",2005
SOUTH DAKOTA,Total all ages,"16,299 ",265 ,"1,277 ",5 ,46 ,10 ,204 ,173 ,"1,045 ",50 ,9 ,"1,252 ",66 ,267 ,36 ,102 ,211 ,88 ,3 ,73 ,979 ,3 ,68 ,"2,041 ","2,585 ",424 ,643 ,13 ,"5,731 ",1 ,43 ,128 ,,"281,739",2005
TENNESSEE,Total all ages,"268,770 ","13,953 ","32,305 ",338 ,352 ,"2,636 ","10,627 ","5,436 ","24,132 ","2,522 ",215 ,"27,889 ","3,402 ","10,770 ",733 ,"1,076 ","3,879 ","3,102 ","2,025 ",657 ,"34,286 ",319 ,"1,219 ","22,279 ","7,784 ","17,177 ","10,802 ",33 ,"70,937 ",0 ,"1,693 ","2,450 ",,"4,642,765",2005
TEXAS,Total all ages,"1,057,731 ","32,382 ","120,156 ",906 ,"2,183 ","6,481 ","22,812 ","18,246 ","93,279 ","7,896 ",735 ,"102,596 ","9,557 ","16,388 ",544 ,737 ,"12,303 ","13,688 ","5,999 ","4,616 ","124,214 ",377 ,"4,904 ","90,919 ","26,855 ","117,264 ","38,811 ","2,756 ","304,711 ",31 ,"13,641 ","14,282 ",,"22,040,153",2005
UTAH,Total all ages,"116,880 ","1,751 ","15,852 ",45 ,200 ,329 ,"1,177 ","1,351 ","13,856 ",525 ,120 ,"9,812 ","1,055 ","1,114 ",7 ,915 ,"3,599 ","1,251 ",344 ,892 ,"8,215 ",0 ,"1,872 ","6,577 ","10,429 ","5,015 ","6,014 ",467 ,"39,117 ",4 ,"1,830 ",748 ,,"2,096,365",2005
VERMONT,Total all ages,"13,021 ",326 ,"1,271 ",11 ,58 ,6 ,251 ,236 ,923 ,95 ,17 ,"1,312 ",87 ,506 ,28 ,133 ,356 ,12 ,1 ,62 ,"1,312 ",0 ,293 ,"3,626 ",739 ,8 ,756 ,0 ,"2,192 ",0 ,0 ,1 ,,"539,008",2005
VIRGINIA,Total all ages,"277,579 ","6,509 ","24,449 ",312 ,303 ,"1,683 ","4,211 ","3,715 ","19,129 ","1,333 ",272 ,"32,275 ","2,212 ","8,971 ","1,365 ",906 ,"3,917 ","3,605 ",737 ,957 ,"26,954 ",72 ,"1,376 ","22,279 ","9,255 ","24,979 ","6,154 ",100 ,"93,986 ",0 ,"2,588 ","3,933 ",,"5,825,978",2005
WASHINGTON,Total all ages,"241,635 ","7,734 ","38,178 ",152 ,801 ,"1,676 ","5,105 ","5,835 ","29,569 ","2,328 ",446 ,"32,592 ","2,960 ","1,541 ",133 ,"5,117 ","6,996 ","3,537 ","1,567 ","1,254 ","24,809 ",6 ,417 ,"36,848 ","11,291 ",3 ,"4,775 ",20 ,"60,014 ",6 ,18 ,"1,819 ",,"5,417,774",2005
WEST VIRGINIA,Total all ages,"52,854 ","1,697 ","5,495 ",54 ,55 ,206 ,"1,382 ",850 ,"4,243 ",359 ,43 ,"7,455 ",535 ,"1,498 ",106 ,406 ,"1,055 ",417 ,163 ,181 ,"5,703 ",2 ,125 ,"6,613 ","2,029 ","4,313 ","1,094 ",41 ,"13,790 ",0 ,64 ,72 ,,"1,545,865",2005
WISCONSIN,Total all ages,"275,752 ","4,240 ","26,763 ",76 ,467 ,576 ,"3,121 ","3,195 ","21,959 ","1,413 ",196 ,"11,448 ","1,845 ","8,748 ",147 ,"1,007 ","7,121 ","2,478 ",121 ,"2,525 ","16,207 ",20 ,"1,745 ","31,806 ","31,708 ",10 ,"43,642 ",81 ,"77,112 ",146 ,"3,803 ","3,029 ",,"3,769,639",2005
WYOMING,Total all ages,"37,252 ",577 ,"2,674 ",14 ,35 ,35 ,493 ,334 ,"2,199 ",121 ,20 ,"3,069 ",145 ,179 ,7 ,74 ,817 ,202 ,3 ,152 ,"3,283 ",19 ,307 ,"5,067 ","3,922 ","1,773 ","1,350 ",29 ,"12,826 ",100 ,387 ,290 ,,"497,656",2005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
