State,Area,Population,Crime Index Total,Violent Crime2,Property Crime3,Murder and non-negligent man-     slaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Year
TENNESSEE,State Total,"5,689,283","278,218","40,233","237,985",410,"2,186","9,465","28,172","56,344","154,111","27,530",2000
TEXAS,State Total,"20,851,820","1,033,311","113,653","919,658","1,238","7,856","30,257","74,302","188,975","637,522","93,161",2000
UTAH,State Total,"2,233,169","99,958","5,711","94,247",43,863,"1,242","3,563","14,348","73,438","6,461",2000
VERMONT,State Total,"608,827","18,185",691,"17,494",9,140,117,425,"3,501","13,184",809,2000
VIRGINIA,State Total,"7,078,515","214,348","19,943","194,405",401,"1,616","6,295","11,631","30,434","146,158","17,813",2000
WASHINGTON,State Total,"5,894,121","300,932","21,788","279,144",196,"2,737","5,812","13,043","53,476","190,650","35,018",2000
WEST VIRGINIA,State Total,"1,808,344","47,067","5,723","41,344",46,331,749,"4,597","9,890","28,139","3,315",2000
WISCONSIN,State Total,"5,363,675","172,124","12,700","159,424",169,"1,165","4,537","6,829","25,183","119,605","14,636",2000
WYOMING,State Total,"493,782","16,285","1,316","14,969",12,160,70,"1,074","2,078","12,318",573,2000
,,,,,,,,,,,,,2000
