State,,"Total
all 
classes1","Violent
crime2","Property
crime2","Murder and
nonnegligent
manslaughter",Rape3,Robbery,"Aggravated
assault",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson,"Other
assaults","Forgery and
counterfeiting",Fraud,Embezzlement,"Stolen
property;
buying,
receiving,
possessing",Vandalism,"Weapons;
carrying,
possessing,
etc.","Prostitution and
commercialized
vice","Sex offenses
(except
rape and
prostitution)","Drug 
abuse
violations",Gambling,"Offenses
against
the family
and
children","Driving
under the
influence","Liquor
laws",Drunkenness4,"Disorderly
conduct",Vagrancy,"All other
offenses
(except
traffic)",Suspicion,"Curfew
and
loitering
law
violations","Number
of
agencies","2014
estimated 
population",Year
MARYLAND,Total all ages,"195,120","8,322","24,566",195,284,"2,692","5,151","4,624","18,584","1,112",246,"19,353",553,"1,048",227,170,"2,527","2,739",882,874,"37,780",239,"1,808","17,839","5,985",81,"5,875",131,"63,731",238,152,,,2014
MASSACHUSETTS,Total all ages,"125,708","10,181","17,915",47,274,"1,464","8,396","2,788","14,437",603,87,"19,689",518,"1,288",133,"1,188","2,759","1,293",674,436,"10,516",23,"1,130","7,530","3,047","6,875","5,594",7,"34,846",66,0,,,2014
MICHIGAN,Total all ages,"246,442","11,260","27,848",278,641,"1,631","8,710","3,743","22,631","1,259",215,"25,648",468,"4,000",912,"1,439","2,326","3,606",359,604,"33,567",55,"4,505","28,072","12,057",415,"6,740",168,"81,967",0,426,,,2014
MINNESOTA,Total all ages,"151,155","5,564","27,659",87,543,"1,151","3,783","2,411","24,079","1,086",83,"14,770",878,"2,286",64,"1,723","3,094","1,797",617,"1,159","19,148",28,634,"20,586","11,833",1,"10,149",184,"27,784",0,"1,197",,,2014
MISSISSIPPI,Total all ages,"79,522","1,626","10,006",124,83,406,"1,013","1,457","8,187",295,67,"7,002",478,"1,120",443,612,739,858,83,184,"8,958",72,"3,103","8,174","1,044","3,898","4,457",105,"26,316",129,115,,,2014
MISSOURI,Total all ages,"256,349","9,220","37,807",248,488,"1,747","6,737","4,403","31,453","1,767",184,"25,178","1,429","2,244",330,"2,634","4,229","2,735",376,"1,395","33,496",116,"2,832","22,187","6,896",427,"9,259",548,"91,988",0,"1,023",,,2014
MONTANA,Total all ages,"29,766",946,"4,927",11,52,49,834,279,"4,387",226,35,"3,779",61,269,40,36,855,97,8,85,"2,205",0,269,"4,461","2,123",0,"3,086",8,"6,100",0,411,,,2014
NEBRASKA,Total all ages,"73,802","2,237","10,825",45,145,294,"1,753",734,"9,697",341,53,"7,066",331,"1,419",94,699,"2,368","1,016",130,470,"11,965",6,"1,241","8,372","6,913",1,"3,188",62,"15,239",0,160,,,2014
NEVADA,Total all ages,"122,274","7,808","13,639",122,279,"1,809","5,598","2,736","9,987",851,65,"14,366",626,"1,513",344,"1,241","1,500","1,492","3,827","1,002","12,508",50,946,"8,072","4,925",211,"1,589","1,795","44,091",2,727,,,2014
NEW HAMPSHIRE,Total all ages,"46,180",864,"4,918",1,54,205,604,411,"4,390",83,34,"5,258",224,873,95,700,"1,158",108,64,143,"6,224",23,158,"4,528","3,425","3,259","1,046",55,"13,036",0,21,,,2014
NEW JERSEY,Total all ages,"303,639","10,377","30,216",247,315,"3,327","6,488","4,998","24,468",537,213,"21,541","1,142","4,891",321,"2,735","3,792","3,832",926,"1,129","52,721",253,"10,102","23,031","3,797",0,"14,943",346,"115,757",0,"1,787",,,2014
NEW MEXICO,Total all ages,"81,447","3,813","10,166",73,116,230,"3,394","1,375","8,461",287,43,"7,992",198,553,166,764,906,408,155,105,"5,529",6,"1,346","7,384","2,708",56,"2,251",58,"36,866",17,0,,,2014
NEW YORK  ,Total all ages,"264,268","11,907","51,764",210,422,"3,415","7,860","6,530","43,326","1,627",281,"29,594","2,473","4,874",46,"3,800","13,593","3,218",834,"1,938","58,782",82,522,"26,587","2,141",0,"7,596",788,"43,729",0,0,,,2014
NORTH CAROLINA,Total all ages,"369,728","16,763","60,597",494,401,"3,330","12,538","12,674","46,549","1,099",275,"48,327","1,845","12,783","1,277","3,842","6,624","6,398",495,"1,216","34,695",153,"6,760","39,743","4,849",0,"8,729",165,"114,457",0,10,,,2014
NORTH DAKOTA,Total all ages,"30,653",616,"3,132",16,54,57,489,224,"2,703",190,15,"2,334",96,374,61,151,435,356,47,69,"4,004",0,106,"6,664","3,500",372,"1,640",2,"6,608",0,86,,,2014
OHIO,Total all ages,"244,134","6,681","37,913",212,476,"2,084","3,909","4,736","32,230",751,196,"31,504","1,115","2,460",48,"3,245","3,838","3,204","1,528",665,"36,331",35,"1,792","34,626","8,094","2,599","15,787",25,"52,128",49,467,,,2014
OKLAHOMA,Total all ages,"123,408","4,673","19,023",129,236,717,"3,591","2,301","15,985",576,161,"8,529",547,"1,602",475,"2,479","1,153","1,988",138,466,"17,721",40,733,"12,741","1,602","16,073","2,062",683,"29,682",0,998,,,2014
OREGON,Total all ages,"71,804","2,374","14,717",43,132,535,"1,664","1,241","12,482",885,109,"6,823",323,"1,411",24,298,"2,382","1,060",229,531,"11,165",0,249,"6,020","6,077",0,"5,445",2,"12,175",0,499,,,2014
PENNSYLVANIA,Total all ages,"415,346","21,135","61,383",402,"1,095","5,590","14,048","8,023","50,564","2,323",473,"43,005","2,258","7,499",455,"2,457","7,676","4,739","2,332","2,230","57,392",91,"1,779","47,019","13,959","23,180","40,711",481,"60,174",0,"15,391",,,2014
RHODE ISLAND,Total all ages,"30,447",782,"3,357",14,61,123,584,644,"2,546",118,49,"4,053",103,510,120,313,934,353,85,94,"1,913",19,116,"2,721",704,5,"2,783",3,"11,462",0,17,,,2014
SOUTH CAROLINA,Total all ages,"157,253","6,693","26,158",224,312,"1,211","4,946","3,489","21,845",701,123,"17,356","1,349","3,835",391,"1,859","2,679","1,781",608,369,"26,720",102,"1,338","11,226","6,790","9,112","11,374",633,"26,850",0,30,,,2014
SOUTH DAKOTA,Total all ages,"35,375",866,"3,565",9,51,59,747,309,"3,099",130,27,"3,631",75,627,35,90,452,145,51,49,"5,406",0,367,"5,990","3,100",111,"2,285",420,"8,031",0,79,,,2014
TENNESSEE,Total all ages,"358,850","17,122","44,517",309,352,"2,068","14,393","5,947","36,210","2,124",236,"31,152","1,692","6,666",763,744,"4,626","2,971","1,369",620,"41,493",189,"3,393","26,657","6,907","17,348","8,442",7,"140,631",0,"1,541",,,2014
TEXAS,Total all ages,"849,887","29,135","122,822",710,"1,912","5,995","20,518","14,273","103,547","4,494",508,"91,686","4,866","7,817",501,"1,079","8,989","9,246","4,891","3,547","135,683",593,"5,207","70,482","12,931","75,764","12,141","1,065","248,494",0,"2,948",,,2014
UTAH,Total all ages,"118,405","2,206","19,420",43,235,440,"1,488","1,098","17,828",410,84,"9,833",723,"1,026",31,998,"2,979","1,080",193,808,"14,630",0,"1,274","8,063","5,981","4,219","3,615",74,"40,335",3,914,,,2014
VERMONT,Total all ages,"11,381",473,"1,473",11,41,25,396,209,"1,220",30,14,"1,262",36,205,46,108,261,18,14,33,661,0,183,"2,189",103,1,684,0,"3,631",0,0,,,2014
VIRGINIA,Total all ages,"300,102","6,923","35,123",278,471,"1,591","4,583","3,490","30,626",803,204,"34,044","1,857","5,718","1,609",853,"3,929","3,197",970,833,"36,988",50,"2,282","23,611","7,628","26,047","4,136",223,"102,959",0,"1,122",,,2014
WASHINGTON,Total all ages,"183,687","7,707","35,757",137,479,"1,851","5,240","4,982","29,320","1,248",207,"26,336",996,991,68,"3,423","5,132","1,739",528,661,"11,111",0,455,"26,952","3,896",12,"3,260",141,"54,510",0,12,,,2014
WEST VIRGINIA,Total all ages,"43,394","1,870","7,115",42,86,154,"1,588",705,"6,189",196,25,"5,068",296,571,150,284,649,314,76,126,"5,994",2,78,"4,723","1,221","1,315",634,25,"12,878",0,5,,,2014
WISCONSIN,Total all ages,"281,399","7,487","36,709",171,677,"1,580","5,059","3,163","32,264","1,138",144,"15,969",985,"3,022",258,"1,508","7,073","3,955",662,"2,239","24,854",100,"2,703","24,330","17,560",0,"39,032","1,609","88,530",0,"2,814",,,2014
WYOMING,Total all ages,"28,872",453,"2,770",19,39,18,377,225,"2,418",84,43,"2,625",46,168,12,66,554,90,54,128,"3,459",1,306,"3,742","2,008","2,404",921,62,"8,785",7,211,,,2014
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,, ,
