State and type of government,Population 2005 (thousands),Total direct expenditure/a (Dollar amounts in thousands),Total justice system,Percent of total direct expenditure/b,Police protection,Percent of total justice system,Judicial and legal,Percent of total justice system,Corrections,Percent of total justice system
Florida,"17,790","$130,347,566 ","$11,390,481 ",8.7,"$5,635,563 ",49.5,"$2,007,927 ",17.6,"$3,746,991 ",32.9
State, -- ,"$53,089,226 ","$3,821,237 ",7.2,"$471,932 ",12.4,"$1,042,089 ",27.3,"$2,307,216 ",60.4
"Local, total", -- ,"$77,258,340 ","$7,569,244 ",9.8,"$5,163,631 ",68.2,"$965,838 ",12.8,"$1,439,775 ",19
Counties, -- ,"$23,740,039 ","$5,084,156 ",21.4,"$2,831,698 ",55.7,"$867,728 ",17.1,"$1,384,730 ",27.2
Municipalities, -- ,"$18,402,082 ","$2,485,088 ",13.5,"$2,331,933 ",93.8,"$98,110 ",3.9,"$55,045 ",2.2
Georgia,"9,073","$58,817,880 ","$4,476,829 ",7.6,"$1,727,427 ",38.6,"$900,890 ",20.1,"$1,848,512 ",41.3
State, -- ,"$24,285,463 ","$1,732,071 ",7.1,"$213,050 ",12.3,"$267,760 ",15.5,"$1,251,261 ",72.2
"Local, total", -- ,"$34,532,417 ","$2,744,758 ",7.9,"$1,514,377 ",55.2,"$633,130 ",23.1,"$597,251 ",21.8
Counties, -- ,"$7,274,148 ","$1,838,988 ",25.3,"$799,870 ",43.5,"$540,645 ",29.4,"$498,473 ",27.1
Municipalities, -- ,"$6,876,817 ","$905,770 ",13.2,"$714,507 ",78.9,"$92,485 ",10.2,"$98,778 ",10.9
Hawaii,"1,275","$10,533,933 ","$682,836 ",6.5,"$267,943 ",39.2,"$244,459 ",35.8,"$170,434 ",25
State, -- ,"$8,258,243 ","$385,219 ",4.7,"$10,870 ",2.8,"$203,915 ",52.9,"$170,434 ",44.2
"Local, total", -- ,"$2,275,690 ","$297,617 ",13.1,"$257,073 ",86.4,"$40,544 ",13.6, -- ,0
Counties, -- ,"$696,812 ","$100,742 ",14.5,"$82,531 ",81.9,"$18,211 ",18.1, -- ,0
Municipalities, -- ,"$1,567,622 ","$196,875 ",12.6,"$174,542 ",88.7,"$22,333 ",11.3, -- ,0
Idaho,"1,429","$8,913,163 ","$647,020 ",7.3,"$260,742 ",40.3,"$135,544 ",20.9,"$250,734 ",38.8
State, -- ,"$4,617,835 ","$277,979 ",6,"$41,243 ",14.8,"$59,648 ",21.5,"$177,088 ",63.7
"Local, total", -- ,"$4,295,328 ","$369,041 ",8.6,"$219,499 ",59.5,"$75,896 ",20.6,"$73,646 ",20
Counties, -- ,"$995,320 ","$242,311 ",24.3,"$101,651 ",42,"$67,014 ",27.7,"$73,646 ",30.4
Municipalities, -- ,"$892,651 ","$126,730 ",14.2,"$117,848 ",93,"$8,882 ",7, -- ,0
Illinois,"12,763","$97,350,988 ","$6,526,452 ",6.7,"$3,581,163 ",54.9,"$1,217,029 ",18.6,"$1,728,260 ",26.5
State, -- ,"$41,454,190 ","$1,772,939 ",4.3,"$351,176 ",19.8,"$303,617 ",17.1,"$1,118,146 ",63.1
"Local, total", -- ,"$55,896,798 ","$4,753,513 ",8.5,"$3,229,987 ",67.9,"$913,412 ",19.2,"$610,114 ",12.8
Counties, -- ,"$6,179,492 ","$1,838,248 ",29.7,"$378,428 ",20.6,"$849,911 ",46.2,"$609,909 ",33.2
Municipalities, -- ,"$17,520,838 ","$2,915,265 ",16.6,"$2,851,559 ",97.8,"$63,501 ",2.2,$205 ,0
Indiana,"6,272","$41,926,920 ","$2,394,928 ",5.7,"$1,052,019 ",43.9,"$389,218 ",16.3,"$953,691 ",39.8
State, -- ,"$18,458,254 ","$999,992 ",5.4,"$232,519 ",23.3,"$118,774 ",11.9,"$648,699 ",64.9
"Local, total", -- ,"$23,468,666 ","$1,394,936 ",5.9,"$819,500 ",58.7,"$270,444 ",19.4,"$304,992 ",21.9
Counties, -- ,"$4,789,420 ","$609,948 ",12.7,"$192,980 ",31.6,"$188,098 ",30.8,"$228,870 ",37.5
Municipalities, -- ,"$7,794,963 ","$784,988 ",10.1,"$626,520 ",79.8,"$82,346 ",10.5,"$76,122 ",9.7
Iowa,"2,966","$21,417,939 ","$1,129,395 ",5.3,"$533,305 ",47.2,"$269,343 ",23.8,"$326,747 ",28.9
State, -- ,"$10,500,341 ","$496,553 ",4.7,"$74,272 ",15,"$198,623 ",40,"$223,658 ",45
"Local, total", -- ,"$10,917,598 ","$632,842 ",5.8,"$459,033 ",72.5,"$70,720 ",11.2,"$103,089 ",16.3
Counties, -- ,"$2,245,300 ","$310,300 ",13.8,"$149,370 ",48.1,"$59,102 ",19,"$101,828 ",32.8
Municipalities, -- ,"$3,719,180 ","$322,542 ",8.7,"$309,663 ",96,"$11,618 ",3.6,"$1,261 ",0.4
Kansas,"2,745","$18,842,976 ","$1,214,959 ",6.4,"$582,298 ",47.9,"$268,149 ",22.1,"$364,512 ",30
State, -- ,"$8,483,991 ","$500,388 ",5.9,"$79,376 ",15.9,"$158,905 ",31.8,"$262,107 ",52.4
"Local, total", -- ,"$10,358,985 ","$714,571 ",6.9,"$502,922 ",70.4,"$109,244 ",15.3,"$102,405 ",14.3
Counties, -- ,"$1,977,003 ","$351,845 ",17.8,"$182,708 ",51.9,"$69,030 ",19.6,"$100,107 ",28.5
Municipalities, -- ,"$3,458,773 ","$362,726 ",10.5,"$320,214 ",88.3,"$40,214 ",11.1,"$2,298 ",0.6
Kentucky,"4,173","$27,147,719 ","$1,705,483 ",6.3,"$670,527 ",39.3,"$366,793 ",21.5,"$668,163 ",39.2
State, -- ,"$16,175,898 ","$892,533 ",5.5,"$147,868 ",16.6,"$332,591 ",37.3,"$412,074 ",46.2
"Local, total", -- ,"$10,971,821 ","$812,950 ",7.4,"$522,659 ",64.3,"$34,202 ",4.2,"$256,089 ",31.5
Counties, -- ,"$1,770,418 ","$338,410 ",19.1,"$123,183 ",36.4,"$31,468 ",9.3,"$183,759 ",54.3
Municipalities, -- ,"$3,226,280 ","$474,540 ",14.7,"$399,476 ",84.2,"$2,734 ",0.6,"$72,330 ",15.2
Louisiana,"4,524","$32,568,459 ","$2,507,754 ",7.7,"$1,059,879 ",42.3,"$502,077 ",20,"$945,798 ",37.7
State, -- ,"$16,813,367 ","$837,856 ",5,"$195,514 ",23.3,"$166,084 ",19.8,"$476,258 ",56.8
"Local, total", -- ,"$15,755,092 ","$1,669,898 ",10.6,"$864,365 ",51.8,"$335,993 ",20.1,"$469,540 ",28.1
Parishes, -- ,"$4,344,095 ","$873,706 ",20.1,"$335,021 ",38.3,"$201,646 ",23.1,"$337,039 ",38.6
Municipalities, -- ,"$5,072,814 ","$796,192 ",15.7,"$529,344 ",66.5,"$134,347 ",16.9,"$132,501 ",16.6
Maine,"1,322","$10,212,947 ","$487,911 ",4.8,"$216,130 ",44.3,"$94,095 ",19.3,"$177,686 ",36.4
State, -- ,"$6,391,611 ","$267,053 ",4.2,"$61,226 ",22.9,"$82,232 ",30.8,"$123,595 ",46.3
"Local, total", -- ,"$3,821,336 ","$220,858 ",5.8,"$154,904 ",70.1,"$11,863 ",5.4,"$54,091 ",24.5
Counties, -- ,"$140,257 ","$90,090 ",64.2,"$28,398 ",31.5,"$8,408 ",9.3,"$53,284 ",59.1
Municipalities, -- ,"$2,375,177 ","$130,768 ",5.5,"$126,506 ",96.7,"$3,455 ",2.6,$807 ,0.6
Maryland,"5,600","$41,273,875 ","$3,593,535 ",8.7,"$1,494,492 ",41.6,"$639,024 ",17.8,"$1,460,019 ",40.6
State, -- ,"$21,002,232 ","$1,744,395 ",8.3,"$314,630 ",18,"$407,979 ",23.4,"$1,021,786 ",58.6
"Local, total", -- ,"$20,271,643 ","$1,849,140 ",9.1,"$1,179,862 ",63.8,"$231,045 ",12.5,"$438,233 ",23.7
Counties, -- ,"$16,213,640 ","$1,337,048 ",8.2,"$724,220 ",54.2,"$174,595 ",13.1,"$438,233 ",32.8
Municipalities, -- ,"$3,608,871 ","$512,092 ",14.2,"$455,642 ",89,"$56,450 ",11, -- ,0
Massachusetts,"6,399","$58,857,129 ","$3,450,625 ",5.9,"$1,571,230 ",45.5,"$842,575 ",24.4,"$1,036,820 ",30
State, -- ,"$31,549,569 ","$1,933,741 ",6.1,"$359,595 ",18.6,"$776,671 ",40.2,"$797,475 ",41.2
"Local, total", -- ,"$27,307,560 ","$1,516,884 ",5.6,"$1,211,635 ",79.9,"$65,904 ",4.3,"$239,345 ",15.8
Counties, -- ,"$394,248 ","$143,261 ",36.3,"$4,837 ",3.4,$911 ,0.6,"$137,513 ",96
Municipalities, -- ,"$21,717,188 ","$1,373,623 ",6.3,"$1,206,798 ",87.9,"$64,993 ",4.7,"$101,832 ",7.4
Michigan,"10,121","$75,301,246 ","$5,684,404 ",7.5,"$2,270,047 ",39.9,"$1,156,615 ",20.3,"$2,257,742 ",39.7
State, -- ,"$32,728,673 ","$2,113,163 ",6.5,"$290,852 ",13.8,"$184,420 ",8.7,"$1,637,891 ",77.5
"Local, total", -- ,"$42,572,573 ","$3,571,241 ",8.4,"$1,979,195 ",55.4,"$972,195 ",27.2,"$619,851 ",17.4
Counties, -- ,"$8,595,445 ","$1,800,193 ",20.9,"$400,652 ",22.3,"$781,137 ",43.4,"$618,404 ",34.4
Municipalities, -- ,"$15,106,527 ","$1,771,048 ",11.7,"$1,578,543 ",89.1,"$191,058 ",10.8,"$1,447 ",0.1
Minnesota,"5,133","$43,328,490 ","$2,477,165 ",5.7,"$1,185,984 ",47.9,"$573,372 ",23.1,"$717,809 ",29
State, -- ,"$20,060,635 ","$869,771 ",4.3,"$206,963 ",23.8,"$316,439 ",36.4,"$346,369 ",39.8
"Local, total", -- ,"$23,267,855 ","$1,607,394 ",6.9,"$979,021 ",60.9,"$256,933 ",16,"$371,440 ",23.1
Counties, -- ,"$5,207,578 ","$964,793 ",18.5,"$364,600 ",37.8,"$230,180 ",23.9,"$370,013 ",38.4
Municipalities, -- ,"$7,790,941 ","$642,601 ",8.2,"$614,421 ",95.6,"$26,753 ",4.2,"$1,427 ",0.2
Mississippi,"2,921","$20,043,748 ","$1,058,371 ",5.3,"$515,076 ",48.7,"$185,049 ",17.5,"$358,246 ",33.8
State, -- ,"$10,698,977 ","$418,380 ",3.9,"$74,497 ",17.8,"$75,549 ",18.1,"$268,334 ",64.1
"Local, total", -- ,"$9,344,771 ","$639,991 ",6.8,"$440,579 ",68.8,"$109,500 ",17.1,"$89,912 ",14
Counties, -- ,"$2,395,619 ","$357,145 ",14.9,"$179,175 ",50.2,"$90,751 ",25.4,"$87,219 ",24.4
Municipalities, -- ,"$2,389,647 ","$282,846 ",11.8,"$261,404 ",92.4,"$18,749 ",6.6,"$2,693 ",1
Missouri,"5,800","$37,181,539 ","$2,428,347 ",6.5,"$1,158,883 ",47.7,"$428,746 ",17.7,"$840,718 ",34.6
State, -- ,"$17,661,750 ","$1,000,084 ",5.7,"$155,190 ",15.5,"$212,342 ",21.2,"$632,552 ",63.2
"Local, total", -- ,"$19,519,789 ","$1,428,263 ",7.3,"$1,003,693 ",70.3,"$216,404 ",15.2,"$208,166 ",14.6
Counties, -- ,"$2,164,590 ","$543,540 ",25.1,"$244,821 ",45,"$136,193 ",25.1,"$162,526 ",29.9
Municipalities, -- ,"$6,134,350 ","$884,723 ",14.4,"$758,872 ",85.8,"$80,211 ",9.1,"$45,640 ",5.2
Montana,936,"$6,392,047 ","$440,563 ",6.9,"$180,901 ",41.1,"$103,263 ",23.4,"$156,399 ",35.5
State, -- ,"$3,795,029 ","$219,033 ",5.8,"$37,849 ",17.3,"$56,552 ",25.8,"$124,632 ",56.9
"Local, total", -- ,"$2,597,018 ","$221,530 ",8.5,"$143,052 ",64.6,"$46,711 ",21.1,"$31,767 ",14.3
Counties, -- ,"$535,729 ","$137,014 ",25.6,"$73,014 ",53.3,"$34,977 ",25.5,"$29,023 ",21.2
Municipalities, -- ,"$590,316 ","$84,516 ",14.3,"$70,038 ",82.9,"$11,734 ",13.9,"$2,744 ",3.2
Nebraska,"1,759","$14,247,082 ","$728,447 ",5.1,"$298,621 ",41,"$141,893 ",19.5,"$287,933 ",39.5
State, -- ,"$5,502,509 ","$303,293 ",5.5,"$56,009 ",18.5,"$53,810 ",17.7,"$193,474 ",63.8
"Local, total", -- ,"$8,744,573 ","$425,154 ",4.9,"$242,612 ",57.1,"$88,083 ",20.7,"$94,459 ",22.2
Counties, -- ,"$1,057,749 ","$239,175 ",22.6,"$71,509 ",29.9,"$73,207 ",30.6,"$94,459 ",39.5
Municipalities, -- ,"$2,086,230 ","$185,979 ",8.9,"$171,103 ",92,"$14,876 ",8, -- ,0
Nevada,"2,415","$17,402,658 ","$1,732,683 ",10,"$783,325 ",45.2,"$393,471 ",22.7,"$555,887 ",32.1
State, -- ,"$5,885,413 ","$389,743 ",6.6,"$90,644 ",23.3,"$57,152 ",14.7,"$241,947 ",62.1
"Local, total", -- ,"$11,517,245 ","$1,342,940 ",11.7,"$692,681 ",51.6,"$336,319 ",25,"$313,940 ",23.4
Counties, -- ,"$5,155,300 ","$972,383 ",18.9,"$487,491 ",50.1,"$250,064 ",25.7,"$234,828 ",24.1
Municipalities, -- ,"$1,943,943 ","$370,557 ",19.1,"$205,190 ",55.4,"$86,255 ",23.3,"$79,112 ",21.3
New Hampshire,"1,310","$8,660,046 ","$517,945 ",6,"$252,949 ",48.8,"$111,330 ",21.5,"$153,666 ",29.7
State, -- ,"$4,538,618 ","$239,669 ",5.3,"$38,405 ",16,"$90,482 ",37.8,"$110,782 ",46.2
"Local, total", -- ,"$4,121,428 ","$278,276 ",6.8,"$214,544 ",77.1,"$20,848 ",7.5,"$42,884 ",15.4
Counties, -- ,"$313,359 ","$71,624 ",22.9,"$18,170 ",25.4,"$10,570 ",14.8,"$42,884 ",59.9
Municipalities, -- ,"$1,968,842 ","$206,652 ",10.5,"$196,374 ",95,"$10,278 ",5, -- ,0
New Jersey,"8,718","$75,413,288 ","$6,024,649 ",8,"$2,834,889 ",47.1,"$1,333,485 ",22.1,"$1,856,275 ",30.8
State, -- ,"$37,836,158 ","$2,594,561 ",6.9,"$476,484 ",18.4,"$809,449 ",31.2,"$1,308,628 ",50.4
"Local, total", -- ,"$37,577,130 ","$3,430,088 ",9.1,"$2,358,405 ",68.8,"$524,036 ",15.3,"$547,647 ",16
Counties, -- ,"$6,674,538 ","$1,087,652 ",16.3,"$224,162 ",20.6,"$315,846 ",29,"$547,644 ",50.4
Municipalities, -- ,"$13,058,870 ","$2,342,436 ",17.9,"$2,134,243 ",91.1,"$208,190 ",8.9,$3 ,0
New Mexico,"1,928","$15,572,278 ","$1,163,355 ",7.5,"$474,801 ",40.8,"$228,099 ",19.6,"$460,455 ",39.6
State, -- ,"$8,990,959 ","$602,028 ",6.7,"$109,012 ",18.1,"$201,868 ",33.5,"$291,148 ",48.4
"Local, total", -- ,"$6,581,319 ","$561,327 ",8.5,"$365,789 ",65.2,"$26,231 ",4.7,"$169,307 ",30.2
Counties, -- ,"$978,977 ","$222,317 ",22.7,"$103,739 ",46.7,"$4,422 ",2,"$114,156 ",51.3
Municipalities, -- ,"$2,242,028 ","$339,010 ",15.1,"$262,050 ",77.3,"$21,809 ",6.4,"$55,151 ",16.3
New York,"19,255","$225,121,344 ","$15,432,626 ",6.9,"$7,372,812 ",47.8,"$3,180,072 ",20.6,"$4,879,742 ",31.6
State, -- ,"$93,055,189 ","$5,159,815 ",5.5,"$617,148 ",12,"$2,072,275 ",40.2,"$2,470,392 ",47.9
"Local, total", -- ,"$132,066,155 ","$10,272,811 ",7.8,"$6,755,664 ",65.8,"$1,107,797 ",10.8,"$2,409,350 ",23.5
Counties, -- ,"$17,602,041 ","$3,119,386 ",17.7,"$1,531,651 ",49.1,"$417,187 ",13.4,"$1,170,548 ",37.5
Municipalities, -- ,"$83,818,872 ","$7,153,425 ",8.5,"$5,224,013 ",73,"$690,610 ",9.7,"$1,238,802 ",17.3
North Carolina,"8,683","$60,284,420 ","$3,711,725 ",6.2,"$1,679,125 ",45.2,"$514,426 ",13.9,"$1,518,174 ",40.9
State, -- ,"$28,806,687 ","$1,976,238 ",6.9,"$348,517 ",17.6,"$454,189 ",23,"$1,173,532 ",59.4
"Local, total", -- ,"$31,477,733 ","$1,735,487 ",5.5,"$1,330,608 ",76.7,"$60,237 ",3.5,"$344,642 ",19.9
Counties, -- ,"$20,584,678 ","$839,591 ",4.1,"$449,172 ",53.5,"$45,777 ",5.5,"$344,642 ",41
Municipalities, -- ,"$7,565,909 ","$895,896 ",11.8,"$881,436 ",98.4,"$14,460 ",1.6, -- ,0
North Dakota,637,"$4,769,937 ","$224,184 ",4.7,"$99,843 ",44.5,"$57,137 ",25.5,"$67,204 ",30
State, -- ,"$2,789,779 ","$110,211 ",4,"$22,463 ",20.4,"$37,403 ",33.9,"$50,345 ",45.7
"Local, total", -- ,"$1,980,158 ","$113,973 ",5.8,"$77,380 ",67.9,"$19,734 ",17.3,"$16,859 ",14.8
Counties, -- ,"$304,230 ","$61,590 ",20.2,"$28,990 ",47.1,"$15,923 ",25.9,"$16,677 ",27.1
Municipalities, -- ,"$621,762 ","$52,383 ",8.4,"$48,390 ",92.4,"$3,811 ",7.3,$182 ,0.3
Ohio,"11,464","$91,208,051 ","$6,030,402 ",6.6,"$2,633,113 ",43.7,"$1,539,382 ",25.5,"$1,857,907 ",30.8
State, -- ,"$44,185,705 ","$1,897,749 ",4.3,"$241,417 ",12.7,"$274,541 ",14.5,"$1,381,791 ",72.8
"Local, total", -- ,"$47,022,346 ","$4,132,653 ",8.8,"$2,391,696 ",57.9,"$1,264,841 ",30.6,"$476,116 ",11.5
Counties, -- ,"$11,461,891 ","$2,035,712 ",17.8,"$626,969 ",30.8,"$969,500 ",47.6,"$439,243 ",21.6
Municipalities, -- ,"$13,114,355 ","$2,096,941 ",16,"$1,764,727 ",84.2,"$295,341 ",14.1,"$36,873 ",1.8
Oklahoma,"3,548","$21,965,415 ","$1,490,938 ",6.8,"$626,545 ",42,"$267,559 ",17.9,"$596,834 ",40
State, -- ,"$11,961,991 ","$825,474 ",6.9,"$132,621 ",16.1,"$187,368 ",22.7,"$505,485 ",61.2
"Local, total", -- ,"$10,003,424 ","$665,464 ",6.7,"$493,924 ",74.2,"$80,191 ",12.1,"$91,349 ",13.7
Counties, -- ,"$1,180,458 ","$192,975 ",16.3,"$65,739 ",34.1,"$36,057 ",18.7,"$91,179 ",47.2
Municipalities, -- ,"$3,779,762 ","$472,489 ",12.5,"$428,185 ",90.6,"$44,134 ",9.3,$170 ,0
Oregon,"3,641","$29,126,036 ","$2,081,654 ",7.1,"$909,513 ",43.7,"$338,286 ",16.3,"$833,855 ",40.1
State, -- ,"$14,451,939 ","$833,728 ",5.8,"$172,521 ",20.7,"$213,644 ",25.6,"$447,563 ",53.7
"Local, total", -- ,"$14,674,097 ","$1,247,926 ",8.5,"$736,992 ",59.1,"$124,642 ",10,"$386,292 ",31
Counties, -- ,"$3,064,807 ","$740,151 ",24.2,"$259,111 ",35,"$95,285 ",12.9,"$385,755 ",52.1
Municipalities, -- ,"$3,893,010 ","$507,775 ",13,"$477,881 ",94.1,"$29,357 ",5.8,$537 ,0.1
Pennsylvania,"12,430","$97,815,537 ","$6,661,757 ",6.8,"$2,389,763 ",35.9,"$1,412,847 ",21.2,"$2,859,147 ",42.9
State, -- ,"$49,525,392 ","$2,765,370 ",5.6,"$607,223 ",22,"$500,476 ",18.1,"$1,657,671 ",59.9
"Local, total", -- ,"$48,290,145 ","$3,896,387 ",8.1,"$1,782,540 ",45.7,"$912,371 ",23.4,"$1,201,476 ",30.8
Counties, -- ,"$8,186,523 ","$1,618,457 ",19.8,"$144,033 ",8.9,"$629,423 ",38.9,"$845,001 ",52.2
Municipalities, -- ,"$13,342,075 ","$2,277,930 ",17.1,"$1,638,507 ",71.9,"$282,948 ",12.4,"$356,475 ",15.6
Rhode Island,"1,076","$9,352,304 ","$612,194 ",6.5,"$291,386 ",47.6,"$144,677 ",23.6,"$176,131 ",28.8
State, -- ,"$5,845,162 ","$348,028 ",6,"$52,836 ",15.2,"$129,365 ",37.2,"$165,827 ",47.6
"Local, total", -- ,"$3,507,142 ","$264,166 ",7.5,"$238,550 ",90.3,"$15,312 ",5.8,"$10,304 ",3.9
Municipalities, -- ,"$3,144,844 ","$264,166 ",8.4,"$238,550 ",90.3,"$15,312 ",5.8,"$10,304 ",3.9
South Carolina,"4,255","$32,998,097 ","$1,568,950 ",4.8,"$745,729 ",47.5,"$244,843 ",15.6,"$578,378 ",36.9
State, -- ,"$18,462,765 ","$610,827 ",3.3,"$147,278 ",24.1,"$65,895 ",10.8,"$397,654 ",65.1
"Local, total", -- ,"$14,535,332 ","$958,123 ",6.6,"$598,451 ",62.5,"$178,948 ",18.7,"$180,724 ",18.9
Counties, -- ,"$2,940,092 ","$635,188 ",21.6,"$303,135 ",47.7,"$153,964 ",24.2,"$178,089 ",28
Municipalities, -- ,"$2,229,865 ","$322,935 ",14.5,"$295,316 ",91.4,"$24,984 ",7.7,"$2,635 ",0.8
South Dakota,776,"$4,952,901 ","$278,200 ",5.6,"$124,487 ",44.7,"$61,383 ",22.1,"$92,330 ",33.2
State, -- ,"$2,647,442 ","$132,314 ",5,"$29,003 ",21.9,"$40,467 ",30.6,"$62,844 ",47.5
