State and type of government,2007 population (thousands),Total direct expenditure/a,Total justice system,Percent of total direct expenditure/b,Police protection,Percent of total justice system,Judicial and legal,Percent of total justice system,Corrections,Percent of total justice system
Arizona,"6,353","$47,036,595 ","$4,502,936 ",9.6,"$2,046,230 ",45.4,"$911,530 ",20.2,"$1,545,176 ",34.3
State,-,"$18,229,259 ","$1,328,209 ",7.3,"$243,270 ",18.3,"$186,713 ",14.1,"$898,226 ",67.6
"Local, total",-,"$28,807,336 ","$3,174,727 ",11,"$1,802,960 ",56.8,"$724,817 ",22.8,"$646,950 ",20.4
Counties,-,"$4,262,124 ","$1,601,118 ",37.6,"$395,096 ",24.7,"$566,102 ",35.4,"$639,920 ",40
Municipalities,-,"$10,311,151 ","$1,573,609 ",15.3,"$1,407,864 ",89.5,"$158,715 ",10.1,"$7,030 ",0.4
Arkansas,"2,831","$18,907,429 ","$1,133,160 ",6,"$479,384 ",42.3,"$205,604 ",18.1,"$448,172 ",39.6
State,-,"$10,448,600 ","$528,527 ",5.1,"$70,621 ",13.4,"$126,692 ",24,"$331,214 ",62.7
"Local, total",-,"$8,458,829 ","$604,633 ",7.1,"$408,763 ",67.6,"$78,912 ",13.1,"$116,958 ",19.3
Counties,-,"$886,345 ","$279,040 ",31.5,"$118,123 ",42.3,"$48,434 ",17.4,"$112,483 ",40.3
Municipalities,-,"$2,617,777 ","$325,593 ",12.4,"$290,640 ",89.3,"$30,478 ",9.4,"$4,475 ",1.4
California,"36,378","$385,341,399 ","$35,040,931 ",9.1,"$13,842,833 ",39.5,"$8,572,883 ",24.5,"$12,625,215 ",36
State,-,"$138,444,425 ","$13,135,855 ",9.5,"$1,429,392 ",10.9,"$3,919,492 ",29.8,"$7,786,971 ",59.3
"Local, total",-,"$246,896,974 ","$21,905,076 ",8.9,"$12,413,441 ",56.7,"$4,653,391 ",21.2,"$4,838,244 ",22.1
Counties,-,"$64,627,786 ","$13,064,613 ",20.2,"$4,178,087 ",32,"$4,233,338 ",32.4,"$4,653,188 ",35.6
Municipalities,-,"$66,752,117 ","$8,840,463 ",13.2,"$8,235,354 ",93.2,"$420,053 ",4.8,"$185,056 ",2.1
Colorado,"4,843","$40,317,927 ","$2,994,920 ",7.4,"$1,345,238 ",44.9,"$473,520 ",15.8,"$1,176,162 ",39.3
State,-,"$15,074,024 ","$1,119,679 ",7.4,"$111,460 ",10,"$260,530 ",23.3,"$747,689 ",66.8
"Local, total",-,"$25,243,903 ","$1,875,241 ",7.4,"$1,233,778 ",65.8,"$212,990 ",11.4,"$428,473 ",22.8
Counties,-,"$3,428,525 ","$724,381 ",21.1,"$439,320 ",60.6,"$108,457 ",15,"$176,604 ",24.4
Municipalities,-,"$8,400,927 ","$1,150,860 ",13.7,"$794,458 ",69,"$104,533 ",9.1,"$251,869 ",21.9
Connecticut,"3,490","$33,027,130 ","$2,184,044 ",6.6,"$904,930 ",41.4,"$619,132 ",28.3,"$659,982 ",30.2
State,-,"$18,112,744 ","$1,441,403 ",8,"$205,351 ",14.2,"$576,086 ",40,"$659,966 ",45.8
"Local, total",-,"$14,914,386 ","$742,641 ",5,"$699,579 ",94.2,"$43,046 ",5.8,$16 ,0
Municipalities,-,"$13,259,662 ","$742,641 ",5.6,"$699,579 ",94.2,"$43,046 ",5.8,$16 ,0
Delaware,862,"$8,627,073 ","$720,141 ",8.3,"$298,437 ",41.4,"$155,767 ",21.6,"$265,937 ",36.9
State,-,"$5,504,060 ","$508,256 ",9.2,"$102,672 ",20.2,"$139,647 ",27.5,"$265,937 ",52.3
"Local, total",-,"$3,123,013 ","$211,885 ",6.8,"$195,765 ",92.4,"$16,120 ",7.6,$0 ,0
Counties,-,"$509,046 ","$101,111 ",19.9,"$90,667 ",89.7,"$10,444 ",10.3,$0 ,0
Municipalities,-,"$730,196 ","$110,774 ",15.2,"$105,098 ",94.9,"$5,676 ",5.1,$0 ,0
District of Columbia,588,"$10,584,747 ","$807,874 ",7.6,"$500,392 ",61.9,"$81,777 ",10.1,"$225,705 ",27.9
"Local, total",-,"$10,584,747 ","$807,874 ",7.6,"$500,392 ",61.9,"$81,777 ",10.1,"$225,705 ",27.9
Municipality,-,"$8,769,772 ","$807,874 ",9.2,"$500,392 ",61.9,"$81,777 ",10.1,"$225,705 ",27.9
Florida,"18,200","$147,296,026 ","$12,685,242 ",8.6,"$6,286,620 ",49.6,"$2,169,020 ",17.1,"$4,229,602 ",33.3
State,-,"$52,025,470 ","$4,269,920 ",8.2,"$455,560 ",10.7,"$1,271,973 ",29.8,"$2,542,387 ",59.5
"Local, total",-,"$95,270,556 ","$8,415,322 ",8.8,"$5,831,060 ",69.3,"$897,047 ",10.7,"$1,687,215 ",20
Counties,-,"$27,972,398 ","$5,585,106 ",20,"$3,190,040 ",57.1,"$772,241 ",13.8,"$1,622,825 ",29.1
Municipalities,-,"$20,942,811 ","$2,830,216 ",13.5,"$2,641,020 ",93.3,"$124,806 ",4.4,"$64,390 ",2.3
Georgia,"9,523","$73,151,478 ","$5,259,343 ",7.2,"$2,135,199 ",40.6,"$918,593 ",17.5,"$2,205,551 ",41.9
State,-,"$30,893,902 ","$1,866,027 ",6,"$244,825 ",13.1,"$198,821 ",10.7,"$1,422,381 ",76.2
"Local, total",-,"$42,257,576 ","$3,393,316 ",8,"$1,890,374 ",55.7,"$719,772 ",21.2,"$783,170 ",23.1
Counties,-,"$8,746,202 ","$2,274,746 ",26,"$988,314 ",43.4,"$611,631 ",26.9,"$674,801 ",29.7
Municipalities,-,"$8,527,802 ","$1,118,570 ",13.1,"$902,060 ",80.6,"$108,141 ",9.7,"$108,369 ",9.7
Hawaii,"1,277","$12,046,560 ","$783,506 ",6.5,"$305,291 ",39,"$280,942 ",35.9,"$197,273 ",25.2
State,-,"$9,596,767 ","$443,987 ",4.6,"$13,411 ",3,"$233,303 ",52.5,"$197,273 ",44.4
"Local, total",-,"$2,449,793 ","$339,519 ",13.9,"$291,880 ",86,"$47,639 ",14,$0 ,0
Counties,-,"$756,052 ","$124,594 ",16.5,"$99,602 ",79.9,"$24,992 ",20.1,$0 ,0
Municipalities,-,"$1,656,932 ","$214,925 ",13,"$192,278 ",89.5,"$22,647 ",10.5,$0 ,0
Idaho,"1,496","$9,819,626 ","$722,015 ",7.4,"$299,721 ",41.5,"$152,623 ",21.1,"$269,671 ",37.3
State,-,"$4,846,205 ","$315,113 ",6.5,"$45,085 ",14.3,"$68,171 ",21.6,"$201,857 ",64.1
"Local, total",-,"$4,973,421 ","$406,902 ",8.2,"$254,636 ",62.6,"$84,452 ",20.8,"$67,814 ",16.7
Counties,-,"$1,173,752 ","$261,056 ",22.2,"$120,925 ",46.3,"$72,414 ",27.7,"$67,717 ",25.9
Municipalities,-,"$1,092,356 ","$145,846 ",13.4,"$133,711 ",91.7,"$12,038 ",8.3,$97 ,0.1
Illinois,"12,826","$107,773,353 ","$7,254,037 ",6.7,"$4,059,763 ",56,"$1,327,744 ",18.3,"$1,866,530 ",25.7
State,-,"$44,449,995 ","$1,939,380 ",4.4,"$403,897 ",20.8,"$336,816 ",17.4,"$1,198,667 ",61.8
"Local, total",-,"$63,323,358 ","$5,314,657 ",8.4,"$3,655,866 ",68.8,"$990,928 ",18.6,"$667,863 ",12.6
Counties,-,"$6,836,635 ","$2,035,971 ",29.8,"$446,797 ",21.9,"$921,531 ",45.3,"$667,643 ",32.8
Municipalities,-,"$20,895,294 ","$3,278,686 ",15.7,"$3,209,069 ",97.9,"$69,397 ",2.1,$220 ,0
Indiana,"6,336","$46,365,655 ","$2,532,485 ",5.5,"$1,109,484 ",43.8,"$448,385 ",17.7,"$974,616 ",38.5
State,-,"$20,305,350 ","$972,608 ",4.8,"$229,518 ",23.6,"$139,121 ",14.3,"$603,969 ",62.1
"Local, total",-,"$26,060,305 ","$1,559,877 ",6,"$879,966 ",56.4,"$309,264 ",19.8,"$370,647 ",23.8
Counties,-,"$5,595,423 ","$731,795 ",13.1,"$209,888 ",28.7,"$225,606 ",30.8,"$296,301 ",40.5
Municipalities,-,"$8,585,065 ","$828,082 ",9.6,"$670,078 ",80.9,"$83,658 ",10.1,"$74,346 ",9
Iowa,"2,983","$23,989,060 ","$1,323,929 ",5.5,"$586,455 ",44.3,"$301,099 ",22.7,"$436,375 ",33
State,-,"$11,326,821 ","$563,679 ",5,"$86,250 ",15.3,"$221,722 ",39.3,"$255,707 ",45.4
"Local, total",-,"$12,662,239 ","$760,250 ",6,"$500,205 ",65.8,"$79,377 ",10.4,"$180,668 ",23.8
Counties,-,"$2,480,436 ","$404,054 ",16.3,"$156,283 ",38.7,"$67,359 ",16.7,"$180,412 ",44.7
Municipalities,-,"$4,295,473 ","$356,196 ",8.3,"$343,922 ",96.6,"$12,018 ",3.4,$256 ,0.1
Kansas,"2,777","$20,912,654 ","$1,334,155 ",6.4,"$677,951 ",50.8,"$273,206 ",20.5,"$382,998 ",28.7
State,-,"$9,068,611 ","$522,225 ",5.8,"$94,301 ",18.1,"$156,373 ",29.9,"$271,551 ",52
"Local, total",-,"$11,844,043 ","$811,930 ",6.9,"$583,650 ",71.9,"$116,833 ",14.4,"$111,447 ",13.7
Counties,-,"$2,136,888 ","$396,589 ",18.6,"$213,920 ",53.9,"$73,167 ",18.4,"$109,502 ",27.6
Municipalities,-,"$3,854,442 ","$415,341 ",10.8,"$369,730 ",89,"$43,666 ",10.5,"$1,945 ",0.5
Kentucky,"4,236","$31,427,811 ","$1,701,883 ",5.4,"$628,609 ",36.9,"$416,193 ",24.5,"$657,081 ",38.6
State,-,"$18,899,872 ","$986,908 ",5.2,"$164,174 ",16.6,"$371,259 ",37.6,"$451,475 ",45.7
"Local, total",-,"$12,527,939 ","$714,975 ",5.7,"$464,435 ",65,"$44,934 ",6.3,"$205,606 ",28.8
Counties,-,"$2,007,791 ","$280,325 ",14,"$110,304 ",39.3,"$35,249 ",12.6,"$134,772 ",48.1
Municipalities,-,"$3,858,666 ","$434,650 ",11.3,"$354,131 ",81.5,"$9,685 ",2.2,"$70,834 ",16.3
Louisiana,"4,373","$38,602,906 ","$2,829,375 ",7.3,"$1,211,657 ",42.8,"$558,314 ",19.7,"$1,059,404 ",37.4
State,-,"$21,179,764 ","$918,817 ",4.3,"$210,567 ",22.9,"$186,371 ",20.3,"$521,879 ",56.8
"Local, total",-,"$17,423,142 ","$1,910,558 ",11,"$1,001,090 ",52.4,"$371,943 ",19.5,"$537,525 ",28.1
Parishes,-,"$5,089,100 ","$1,066,452 ",21,"$425,622 ",39.9,"$221,171 ",20.7,"$419,659 ",39.4
Municipalities,-,"$5,164,316 ","$844,106 ",16.3,"$575,468 ",68.2,"$150,772 ",17.9,"$117,866 ",14
Maine,"1,315","$10,729,025 ","$522,698 ",4.9,"$231,648 ",44.3,"$103,846 ",19.9,"$187,204 ",35.8
State,-,"$6,531,903 ","$287,330 ",4.4,"$69,884 ",24.3,"$87,395 ",30.4,"$130,051 ",45.3
"Local, total",-,"$4,197,122 ","$235,368 ",5.6,"$161,764 ",68.7,"$16,451 ",7,"$57,153 ",24.3
Counties,-,"$147,670 ","$94,636 ",64.1,"$26,349 ",27.8,"$11,176 ",11.8,"$57,111 ",60.3
Municipalities,-,"$2,579,591 ","$140,732 ",5.5,"$135,415 ",96.2,"$5,275 ",3.7,$42 ,0
Maryland,"5,619","$47,429,558 ","$4,182,027 ",8.8,"$1,781,844 ",42.6,"$739,001 ",17.7,"$1,661,182 ",39.7
State,-,"$23,792,286 ","$2,170,719 ",9.1,"$354,339 ",16.3,"$468,956 ",21.6,"$1,347,424 ",62.1
"Local, total",-,"$23,637,272 ","$2,011,308 ",8.5,"$1,427,505 ",71,"$270,045 ",13.4,"$313,758 ",15.6
Counties,-,"$18,888,421 ","$1,406,905 ",7.4,"$886,654 ",63,"$206,493 ",14.7,"$313,758 ",22.3
Municipalities,-,"$4,278,875 ","$604,403 ",14.1,"$540,851 ",89.5,"$63,552 ",10.5,$0 ,0
Massachusetts,"6,468","$63,781,896 ","$4,100,819 ",6.4,"$1,824,724 ",44.5,"$990,927 ",24.2,"$1,285,168 ",31.3
State,-,"$34,349,189 ","$2,399,923 ",7,"$464,047 ",19.3,"$925,599 ",38.6,"$1,010,277 ",42.1
"Local, total",-,"$29,432,707 ","$1,700,896 ",5.8,"$1,360,677 ",80,"$65,328 ",3.8,"$274,891 ",16.2
Counties,-,"$446,017 ","$174,498 ",39.1,"$12,385 ",7.1,"$1,440 ",0.8,"$160,673 ",92.1
Municipalities,-,"$23,340,886 ","$1,526,398 ",6.5,"$1,348,292 ",88.3,"$63,888 ",4.2,"$114,218 ",7.5
Michigan,"10,050","$80,625,384 ","$5,752,201 ",7.1,"$2,339,692 ",40.7,"$1,041,790 ",18.1,"$2,370,719 ",41.2
State,-,"$34,912,859 ","$2,226,231 ",6.4,"$276,383 ",12.4,"$183,408 ",8.2,"$1,766,440 ",79.3
"Local, total",-,"$45,712,525 ","$3,525,970 ",7.7,"$2,063,309 ",58.5,"$858,382 ",24.3,"$604,279 ",17.1
Counties,-,"$9,470,344 ","$1,730,552 ",18.3,"$460,047 ",26.6,"$667,782 ",38.6,"$602,723 ",34.8
Municipalities,-,"$13,825,596 ","$1,795,418 ",13,"$1,603,262 ",89.3,"$190,600 ",10.6,"$1,556 ",0.1
Minnesota,"5,182","$46,870,445 ","$2,877,235 ",6.1,"$1,412,023 ",49.1,"$625,710 ",21.7,"$839,502 ",29.2
State,-,"$20,842,766 ","$1,091,097 ",5.2,"$244,684 ",22.4,"$377,157 ",34.6,"$469,256 ",43
"Local, total",-,"$26,027,679 ","$1,786,138 ",6.9,"$1,167,339 ",65.4,"$248,553 ",13.9,"$370,246 ",20.7
Counties,-,"$6,056,148 ","$1,018,618 ",16.8,"$433,589 ",42.6,"$215,708 ",21.2,"$369,321 ",36.3
Municipalities,-,"$8,541,809 ","$767,520 ",9,"$733,750 ",95.6,"$32,845 ",4.3,$925 ,0.1
Mississippi,"2,921","$24,622,452 ","$1,215,227 ",4.9,"$572,710 ",47.1,"$211,413 ",17.4,"$431,104 ",35.5
State,-,"$13,416,024 ","$482,368 ",3.6,"$96,647 ",20,"$84,413 ",17.5,"$301,308 ",62.5
"Local, total",-,"$11,206,428 ","$732,859 ",6.5,"$476,063 ",65,"$127,000 ",17.3,"$129,796 ",17.7
Counties,-,"$3,013,691 ","$416,557 ",13.8,"$187,796 ",45.1,"$102,092 ",24.5,"$126,669 ",30.4
Municipalities,-,"$2,951,512 ","$316,302 ",10.7,"$288,267 ",91.1,"$24,908 ",7.9,"$3,127 ",1
Missouri,"5,878","$41,754,265 ","$2,657,664 ",6.4,"$1,400,558 ",52.7,"$456,126 ",17.2,"$800,980 ",30.1
State,-,"$19,390,887 ","$1,054,919 ",5.4,"$198,852 ",18.8,"$230,944 ",21.9,"$625,123 ",59.3
"Local, total",-,"$22,363,378 ","$1,602,745 ",7.2,"$1,201,706 ",75,"$225,182 ",14,"$175,857 ",11
Counties,-,"$2,255,180 ","$547,251 ",24.3,"$298,090 ",54.5,"$147,189 ",26.9,"$101,972 ",18.6
Municipalities,-,"$7,593,042 ","$1,055,494 ",13.9,"$903,616 ",85.6,"$77,993 ",7.4,"$73,885 ",7
Montana,957,"$7,348,248 ","$515,205 ",7,"$206,048 ",40,"$127,884 ",24.8,"$181,273 ",35.2
State,-,"$4,279,457 ","$259,941 ",6.1,"$34,002 ",13.1,"$79,365 ",30.5,"$146,574 ",56.4
"Local, total",-,"$3,068,791 ","$255,264 ",8.3,"$172,046 ",67.4,"$48,519 ",19,"$34,699 ",13.6
Counties,-,"$624,736 ","$154,576 ",24.7,"$88,121 ",57,"$34,291 ",22.2,"$32,164 ",20.8
Municipalities,-,"$681,279 ","$100,688 ",14.8,"$83,925 ",83.4,"$14,228 ",14.1,"$2,535 ",2.5
Nebraska,"1,769","$16,635,210 ","$832,992 ",5,"$357,455 ",42.9,"$149,607 ",18,"$325,930 ",39.1
State,-,"$5,857,185 ","$335,121 ",5.7,"$63,216 ",18.9,"$59,395 ",17.7,"$212,510 ",63.4
"Local, total",-,"$10,778,025 ","$497,871 ",4.6,"$294,239 ",59.1,"$90,212 ",18.1,"$113,420 ",22.8
Counties,-,"$1,212,832 ","$283,724 ",23.4,"$86,077 ",30.3,"$84,227 ",29.7,"$113,420 ",40
Municipalities,-,"$2,261,008 ","$214,147 ",9.5,"$208,162 ",97.2,"$5,985 ",2.8,$0 ,0
Nevada,"2,554","$19,909,603 ","$2,051,727 ",10.3,"$984,690 ",48,"$405,307 ",19.8,"$661,730 ",32.3
State,-,"$6,827,839 ","$460,025 ",6.7,"$91,987 ",20,"$75,217 ",16.4,"$292,821 ",63.7
"Local, total",-,"$13,081,764 ","$1,591,702 ",12.2,"$892,703 ",56.1,"$330,090 ",20.7,"$368,909 ",23.2
Counties,-,"$5,634,022 ","$1,170,072 ",20.8,"$629,880 ",53.8,"$252,493 ",21.6,"$287,699 ",24.6
Municipalities,-,"$2,056,168 ","$421,630 ",20.5,"$262,823 ",62.3,"$77,597 ",18.4,"$81,210 ",19.3
New Hampshire,"1,312","$9,309,040 ","$581,809 ",6.2,"$295,700 ",50.8,"$122,522 ",21.1,"$163,587 ",28.1
State,-,"$4,711,193 ","$255,914 ",5.4,"$47,939 ",18.7,"$98,655 ",38.6,"$109,320 ",42.7
"Local, total",-,"$4,597,847 ","$325,895 ",7.1,"$247,761 ",76,"$23,867 ",7.3,"$54,267 ",16.7
Counties,-,"$327,568 ","$81,956 ",25,"$15,127 ",18.5,"$12,562 ",15.3,"$54,267 ",66.2
Municipalities,-,"$2,190,529 ","$243,939 ",11.1,"$232,634 ",95.4,"$11,305 ",4.6,$0 ,0
New Jersey,"8,653","$86,434,375 ","$6,466,829 ",7.5,"$3,057,957 ",47.3,"$1,379,437 ",21.3,"$2,029,435 ",31.4
State,-,"$44,751,299 ","$2,771,748 ",6.2,"$491,836 ",17.7,"$856,878 ",30.9,"$1,423,034 ",51.3
"Local, total",-,"$41,683,076 ","$3,695,081 ",8.9,"$2,566,121 ",69.4,"$522,559 ",14.1,"$606,401 ",16.4
Counties,-,"$8,790,808 ","$1,182,168 ",13.4,"$275,500 ",23.3,"$300,267 ",25.4,"$606,401 ",51.3
Municipalities,-,"$13,974,952 ","$2,512,913 ",18,"$2,290,621 ",91.2,"$222,292 ",8.8,$0 ,0
New Mexico,"1,964","$17,926,746 ","$1,347,820 ",7.5,"$597,627 ",44.3,"$281,633 ",20.9,"$468,560 ",34.8
State,-,"$10,563,952 ","$746,544 ",7.1,"$164,278 ",22,"$241,087 ",32.3,"$341,179 ",45.7
"Local, total",-,"$7,362,794 ","$601,276 ",8.2,"$433,349 ",72.1,"$40,546 ",6.7,"$127,381 ",21.2
Counties,-,"$1,104,348 ","$247,967 ",22.5,"$110,427 ",44.5,"$16,134 ",6.5,"$121,406 ",49
Municipalities,-,"$2,529,922 ","$353,309 ",14,"$322,922 ",91.4,"$24,412 ",6.9,"$5,975 ",1.7
New York,"19,429","$247,934,115 ","$16,725,003 ",6.7,"$7,642,102 ",45.7,"$3,422,046 ",20.5,"$5,660,855 ",33.8
State,-,"$99,627,726 ","$5,993,207 ",6,"$766,308 ",12.8,"$2,210,595 ",36.9,"$3,016,304 ",50.3
"Local, total",-,"$148,306,389 ","$10,731,796 ",7.2,"$6,875,794 ",64.1,"$1,211,451 ",11.3,"$2,644,551 ",24.6
Counties,-,"$20,455,909 ","$3,360,290 ",16.4,"$1,602,050 ",47.7,"$473,426 ",14.1,"$1,284,814 ",38.2
Municipalities,-,"$94,210,765 ","$7,371,506 ",7.8,"$5,273,744 ",71.5,"$738,025 ",10,"$1,359,737 ",18.4
North Carolina,"9,042","$67,557,930 ","$4,383,306 ",6.5,"$2,032,682 ",46.4,"$607,176 ",13.9,"$1,743,448 ",39.8
State,-,"$30,783,099 ","$2,301,138 ",7.5,"$490,556 ",21.3,"$542,767 ",23.6,"$1,267,815 ",55.1
"Local, total",-,"$36,774,831 ","$2,082,168 ",5.7,"$1,542,126 ",74.1,"$64,409 ",3.1,"$475,633 ",22.8
Counties,-,"$23,463,174 ","$1,047,327 ",4.5,"$522,806 ",49.9,"$48,888 ",4.7,"$475,633 ",45.4
Municipalities,-,"$9,146,231 ","$1,034,841 ",11.3,"$1,019,320 ",98.5,"$15,521 ",1.5,$0 ,0
North Dakota,638,"$5,134,545 ","$256,196 ",5,"$105,726 ",41.3,"$61,246 ",23.9,"$89,224 ",34.8
State,-,"$2,929,235 ","$115,832 ",4,"$22,022 ",19,"$40,214 ",34.7,"$53,596 ",46.3
"Local, total",-,"$2,205,310 ","$140,364 ",6.4,"$83,704 ",59.6,"$21,032 ",15,"$35,628 ",25.4
Counties,-,"$368,015 ","$86,274 ",23.4,"$34,061 ",39.5,"$16,758 ",19.4,"$35,455 ",41.1
Municipalities,-,"$657,921 ","$54,090 ",8.2,"$49,643 ",91.8,"$4,274 ",7.9,$173 ,0.3
Ohio,"11,478","$99,751,138 ","$6,179,818 ",6.2,"$2,956,822 ",47.8,"$1,594,708 ",25.8,"$1,628,288 ",26.3
State,-,"$47,897,967 ","$1,706,717 ",3.6,"$221,605 ",13,"$308,748 ",18.1,"$1,176,364 ",68.9
"Local, total",-,"$51,853,171 ","$4,473,101 ",8.6,"$2,735,217 ",61.1,"$1,285,960 ",28.7,"$451,924 ",10.1
Counties,-,"$12,792,675 ","$2,164,628 ",16.9,"$780,924 ",36.1,"$970,291 ",44.8,"$413,413 ",19.1
Municipalities,-,"$13,959,632 ","$2,308,473 ",16.5,"$1,954,293 ",84.7,"$315,669 ",13.7,"$38,511 ",1.7
Oklahoma,"3,608","$25,820,755 ","$1,685,079 ",6.5,"$720,056 ",42.7,"$297,966 ",17.7,"$667,057 ",39.6
State,-,"$13,823,987 ","$931,109 ",6.7,"$145,173 ",15.6,"$216,993 ",23.3,"$568,943 ",61.1
"Local, total",-,"$11,996,768 ","$753,970 ",6.3,"$574,883 ",76.2,"$80,973 ",10.7,"$98,114 ",13
Counties,-,"$1,567,984 ","$227,170 ",14.5,"$87,237 ",38.4,"$41,950 ",18.5,"$97,983 ",43.1
Municipalities,-,"$4,543,559 ","$526,800 ",11.6,"$487,646 ",92.6,"$39,023 ",7.4,$131 ,0
Oregon,"3,736","$31,975,495 ","$2,344,177 ",7.3,"$967,094 ",41.3,"$387,025 ",16.5,"$990,058 ",42.2
State,-,"$15,299,121 ","$1,010,910 ",6.6,"$168,594 ",16.7,"$244,839 ",24.2,"$597,477 ",59.1
"Local, total",-,"$16,676,374 ","$1,333,267 ",8,"$798,500 ",59.9,"$142,186 ",10.7,"$392,581 ",29.4
Counties,-,"$3,384,133 ","$774,582 ",22.9,"$274,198 ",35.4,"$107,821 ",13.9,"$392,563 ",50.7
Municipalities,-,"$4,430,878 ","$558,685 ",12.6,"$524,302 ",93.8,"$34,365 ",6.2,$18 ,0
Pennsylvania,"12,420","$108,276,453 ","$7,192,227 ",6.6,"$2,669,195 ",37.1,"$1,474,311 ",20.5,"$3,048,721 ",42.4
State,-,"$52,558,497 ","$2,867,867 ",5.5,"$713,481 ",24.9,"$489,309 ",17.1,"$1,665,077 ",58.1
"Local, total",-,"$55,717,956 ","$4,324,360 ",7.8,"$1,955,714 ",45.2,"$985,002 ",22.8,"$1,383,644 ",32
Counties,-,"$9,084,598 ","$1,811,274 ",19.9,"$203,104 ",11.2,"$689,050 ",38,"$919,120 ",50.7
Municipalities,-,"$14,663,966 ","$2,513,086 ",17.1,"$1,752,610 ",69.7,"$295,952 ",11.8,"$464,524 ",18.5
Rhode Island,"1,053","$9,971,866 ","$674,029 ",6.8,"$327,176 ",48.5,"$126,470 ",18.8,"$220,383 ",32.7
State,-,"$5,988,046 ","$352,011 ",5.9,"$60,048 ",17.1,"$113,599 ",32.3,"$178,364 ",50.7
"Local, total",-,"$3,983,820 ","$322,018 ",8.1,"$267,128 ",83,"$12,871 ",4,"$42,019 ",13
Municipalities,-,"$3,625,106 ","$322,018 ",8.9,"$267,128 ",83,"$12,871 ",4,"$42,019 ",13
South Carolina,"4,405","$36,407,500 ","$1,831,289 ",5,"$901,023 ",49.2,"$268,625 ",14.7,"$661,641 ",36.1
State,-,"$19,685,039 ","$721,283 ",3.7,"$177,578 ",24.6,"$77,820 ",10.8,"$465,885 ",64.6
"Local, total",-,"$16,722,461 ","$1,110,006 ",6.6,"$723,445 ",65.2,"$190,805 ",17.2,"$195,756 ",17.6
Counties,-,"$3,123,697 ","$737,616 ",23.6,"$381,488 ",51.7,"$162,561 ",22,"$193,567 ",26.2
Municipalities,-,"$2,511,745 ","$372,390 ",14.8,"$341,957 ",91.8,"$28,244 ",7.6,"$2,189 ",0.6
South Dakota,796,"$5,494,105 ","$339,022 ",6.2,"$136,298 ",40.2,"$62,917 ",18.6,"$139,807 ",41.2
State,-,"$2,827,708 ","$168,847 ",6,"$28,066 ",16.6,"$38,700 ",22.9,"$102,081 ",60.5
"Local, total",-,"$2,666,397 ","$170,175 ",6.4,"$108,232 ",63.6,"$24,217 ",14.2,"$37,726 ",22.2
Counties,-,"$354,854 ","$93,259 ",26.3,"$34,170 ",36.6,"$22,609 ",24.2,"$36,480 ",39.1
Municipalities,-,"$1,008,281 ","$76,916 ",7.6,"$74,062 ",96.3,"$1,608 ",2.1,"$1,246 ",1.6
Tennessee,"6,149","$48,724,206 ","$2,870,460 ",5.9,"$1,359,674 ",47.4,"$561,060 ",19.5,"$949,726 ",33.1
State,-,"$18,426,632 ","$965,780 ",5.2,"$140,725 ",14.6,"$230,517 ",23.9,"$594,538 ",61.6
