State and type of government,Population 2000 (thousands),Total direct expenditure/a,Total justice system,Percent of total direct expenditure/b,Police protection,Percent of total justice system,Judicial and legal,Percent of total justice system,Corrections,Percent of total justice system
Municipalities,-,"$359,843.00 ","$61,653.00 ",17.1,"$61,383.00 ",99.6,$270.00 ,0.4,$0.00 ,0
District of Columbia,572,"$6,526,972.00 ","$680,407.00 ",10.4,"$329,503.00 ",48.4,"$46,400.00 ",6.8,"$304,504.00 ",44.8
"Local, total",-,"$6,526,972.00 ","$680,407.00 ",10.4,"$329,503.00 ",48.4,"$46,400.00 ",6.8,"$304,504.00 ",44.8
Municipality,-,"$5,483,415.00 ","$680,407.00 ",12.4,"$329,503.00 ",48.4,"$46,400.00 ",6.8,"$304,504.00 ",44.8
Florida,15982,"$84,300,913.00 ","$8,407,384.00 ",10,"$3,738,392.00 ",44.5,"$1,396,319.00 ",16.6,"$3,272,673.00 ",38.9
State,-,"$31,134,485.00 ","$3,261,293.00 ",10.5,"$367,398.00 ",11.3,"$676,783.00 ",20.8,"$2,217,112.00 ",68
"Local, total",-,"$53,166,428.00 ","$5,146,091.00 ",9.7,"$3,370,994.00 ",65.5,"$719,536.00 ",14,"$1,055,561.00 ",20.5
Counties,-,"$16,238,727.00 ","$3,467,007.00 ",21.4,"$1,811,422.00 ",52.2,"$643,780.00 ",18.6,"$1,011,805.00 ",29.2
Municipalities,-,"$11,533,309.00 ","$1,679,084.00 ",14.6,"$1,559,572.00 ",92.9,"$75,756.00 ",4.5,"$43,756.00 ",2.6
Georgia,8186,"$43,516,518.00 ","$3,179,612.00 ",7.3,"$1,279,240.00 ",40.2,"$524,875.00 ",16.5,"$1,375,497.00 ",43.3
State,-,"$17,633,200.00 ","$1,279,918.00 ",7.3,"$193,087.00 ",15.1,"$118,094.00 ",9.2,"$968,737.00 ",75.7
"Local, total",-,"$25,883,318.00 ","$1,899,694.00 ",7.3,"$1,086,153.00 ",57.2,"$406,781.00 ",21.4,"$406,760.00 ",21.4
Counties,-,"$5,569,900.00 ","$1,226,338.00 ",22,"$546,932.00 ",44.6,"$344,561.00 ",28.1,"$334,845.00 ",27.3
Municipalities,-,"$5,303,718.00 ","$673,356.00 ",12.7,"$539,221.00 ",80.1,"$62,220.00 ",9.2,"$71,915.00 ",10.7
Hawaii,1212,"$8,239,002.00 ","$556,441.00 ",6.8,"$221,899.00 ",39.9,"$179,920.00 ",32.3,"$154,622.00 ",27.8
State,-,"$6,446,707.00 ","$306,450.00 ",4.8,"$4,258.00 ",1.4,"$147,570.00 ",48.2,"$154,622.00 ",50.5
"Local, total",-,"$1,792,295.00 ","$249,991.00 ",13.9,"$217,641.00 ",87.1,"$32,350.00 ",12.9,$0.00 ,0
Counties,-,"$497,173.00 ","$78,771.00 ",15.8,"$65,101.00 ",82.6,"$13,670.00 ",17.4,$0.00 ,0
Municipalities,-,"$1,277,997.00 ","$171,220.00 ",13.4,"$152,540.00 ",89.1,"$18,680.00 ",10.9,$0.00 ,0
Idaho,1294,"$6,404,069.00 ","$500,098.00 ",7.8,"$207,380.00 ",41.5,"$101,617.00 ",20.3,"$191,101.00 ",38.2
State,-,"$3,214,864.00 ","$238,743.00 ",7.4,"$37,329.00 ",15.6,"$52,688.00 ",22.1,"$148,726.00 ",62.3
"Local, total",-,"$3,189,205.00 ","$261,355.00 ",8.2,"$170,051.00 ",65.1,"$48,929.00 ",18.7,"$42,375.00 ",16.2
Counties,-,"$688,357.00 ","$163,156.00 ",23.7,"$79,038.00 ",48.4,"$41,764.00 ",25.6,"$42,354.00 ",26
Municipalities,-,"$635,628.00 ","$98,199.00 ",15.4,"$91,013.00 ",92.7,"$7,165.00 ",7.3,$21.00 ,0
Illinois,12419,"$74,724,368.00 ","$5,777,158.00 ",7.7,"$3,053,337.00 ",52.9,"$961,250.00 ",16.6,"$1,762,571.00 ",30.5
State,-,"$29,132,804.00 ","$1,880,969.00 ",6.5,"$335,718.00 ",17.8,"$267,766.00 ",14.2,"$1,277,485.00 ",67.9
"Local, total",-,"$45,591,564.00 ","$3,896,189.00 ",8.5,"$2,717,619.00 ",69.8,"$693,484.00 ",17.8,"$485,086.00 ",12.5
Counties,-,"$4,910,146.00 ","$1,442,754.00 ",29.4,"$336,676.00 ",23.3,"$621,088.00 ",43,"$484,990.00 ",33.6
Municipalities,-,"$14,485,636.00 ","$2,453,435.00 ",16.9,"$2,380,943.00 ",97,"$72,396.00 ",3,$96.00 ,0
Indiana,6080,"$31,245,691.00 ","$1,894,617.00 ",6.1,"$842,818.00 ",44.5,"$324,887.00 ",17.1,"$726,912.00 ",38.4
State,-,"$13,553,658.00 ","$831,589.00 ",6.1,"$198,399.00 ",23.9,"$96,465.00 ",11.6,"$536,725.00 ",64.5
"Local, total",-,"$17,692,033.00 ","$1,063,028.00 ",6,"$644,419.00 ",60.6,"$228,422.00 ",21.5,"$190,187.00 ",17.9
Counties,-,"$3,727,023.00 ","$479,181.00 ",12.9,"$153,910.00 ",32.1,"$170,586.00 ",35.6,"$154,685.00 ",32.3
Municipalities,-,"$5,551,845.00 ","$583,847.00 ",10.5,"$490,509.00 ",84,"$57,836.00 ",9.9,"$35,502.00 ",6.1
Iowa,2926,"$17,238,851.00 ","$977,082.00 ",5.7,"$426,865.00 ",43.7,"$252,649.00 ",25.9,"$297,568.00 ",30.5
State,-,"$8,241,231.00 ","$501,429.00 ",6.1,"$80,403.00 ",16,"$196,662.00 ",39.2,"$224,364.00 ",44.7
"Local, total",-,"$8,997,620.00 ","$475,653.00 ",5.3,"$346,462.00 ",72.8,"$55,987.00 ",11.8,"$73,204.00 ",15.4
Counties,-,"$1,713,395.00 ","$220,793.00 ",12.9,"$101,639.00 ",46,"$46,488.00 ",21.1,"$72,666.00 ",32.9
Municipalities,-,"$3,013,771.00 ","$254,860.00 ",8.5,"$244,823.00 ",96.1,"$9,499.00 ",3.7,$538.00 ,0.2
Kansas,2688,"$14,418,887.00 ","$985,103.00 ",6.8,"$429,773.00 ",43.6,"$206,075.00 ",20.9,"$349,255.00 ",35.5
State,-,"$6,270,525.00 ","$451,373.00 ",7.2,"$53,008.00 ",11.7,"$125,523.00 ",27.8,"$272,842.00 ",60.4
"Local, total",-,"$8,148,362.00 ","$533,730.00 ",6.6,"$376,765.00 ",70.6,"$80,552.00 ",15.1,"$76,413.00 ",14.3
Counties,-,"$1,496,815.00 ","$252,438.00 ",16.9,"$118,989.00 ",47.1,"$58,245.00 ",23.1,"$75,204.00 ",29.8
Municipalities,-,"$2,639,675.00 ","$281,292.00 ",10.7,"$257,776.00 ",91.6,"$22,307.00 ",7.9,"$1,209.00 ",0.4
Kentucky,4042,"$21,473,123.00 ","$1,388,829.00 ",6.5,"$488,139.00 ",35.1,"$290,125.00 ",20.9,"$610,565.00 ",44
State,-,"$12,402,221.00 ","$793,810.00 ",6.4,"$161,148.00 ",20.3,"$238,440.00 ",30,"$394,222.00 ",49.7
"Local, total",-,"$9,070,902.00 ","$595,019.00 ",6.6,"$326,991.00 ",55,"$51,685.00 ",8.7,"$216,343.00 ",36.4
Counties,-,"$1,828,418.00 ","$270,989.00 ",14.8,"$80,514.00 ",29.7,"$33,681.00 ",12.4,"$156,794.00 ",57.9
Municipalities,-,"$2,516,312.00 ","$324,030.00 ",12.9,"$246,477.00 ",76.1,"$18,004.00 ",5.6,"$59,549.00 ",18.4
Louisiana,4469,"$25,018,335.00 ","$1,967,772.00 ",7.9,"$829,333.00 ",42.1,"$358,594.00 ",18.2,"$779,845.00 ",39.6
State,-,"$12,832,100.00 ","$725,572.00 ",5.7,"$194,802.00 ",26.8,"$133,962.00 ",18.5,"$396,808.00 ",54.7
"Local, total",-,"$12,186,235.00 ","$1,242,200.00 ",10.2,"$634,531.00 ",51.1,"$224,632.00 ",18.1,"$383,037.00 ",30.8
Parishes,-,"$3,588,177.00 ","$701,121.00 ",19.5,"$257,744.00 ",36.8,"$132,643.00 ",18.9,"$310,734.00 ",44.3
Municipalities,-,"$3,486,751.00 ","$541,079.00 ",15.5,"$376,787.00 ",69.6,"$91,989.00 ",17,"$72,303.00 ",13.4
Maine,1275,"$7,643,277.00 ","$355,751.00 ",4.7,"$163,824.00 ",46.1,"$68,623.00 ",19.3,"$123,304.00 ",34.7
State,-,"$4,535,685.00 ","$195,979.00 ",4.3,"$45,389.00 ",23.2,"$58,708.00 ",30,"$91,882.00 ",46.9
"Local, total",-,"$3,107,592.00 ","$159,772.00 ",5.1,"$118,435.00 ",74.1,"$9,915.00 ",6.2,"$31,422.00 ",19.7
Counties,-,"$88,895.00 ","$55,202.00 ",62.1,"$17,556.00 ",31.8,"$6,963.00 ",12.6,"$30,683.00 ",55.6
Municipalities,-,"$1,935,175.00 ","$104,570.00 ",5.4,"$100,879.00 ",96.5,"$2,952.00 ",2.8,$739.00 ,0.7
Maryland,5296,"$30,598,125.00 ","$2,713,505.00 ",8.9,"$1,120,192.00 ",41.3,"$489,411.00 ",18,"$1,103,902.00 ",40.7
State,-,"$15,014,334.00 ","$1,429,328.00 ",9.5,"$234,208.00 ",16.4,"$301,214.00 ",21.1,"$893,906.00 ",62.5
"Local, total",-,"$15,583,791.00 ","$1,284,177.00 ",8.2,"$885,984.00 ",69,"$188,197.00 ",14.7,"$209,996.00 ",16.4
Counties,-,"$12,247,739.00 ","$907,387.00 ",7.4,"$551,300.00 ",60.8,"$146,091.00 ",16.1,"$209,996.00 ",23.1
Municipalities,-,"$2,988,421.00 ","$376,790.00 ",12.6,"$334,684.00 ",88.8,"$42,106.00 ",11.2,$0.00 ,0
Massachusetts,6349,"$44,180,713.00 ","$2,901,028.00 ",6.6,"$1,478,778.00 ",51,"$627,664.00 ",21.6,"$794,586.00 ",27.4
State,-,"$23,237,473.00 ","$1,572,327.00 ",6.8,"$391,383.00 ",24.9,"$575,788.00 ",36.6,"$605,156.00 ",38.5
"Local, total",-,"$20,943,240.00 ","$1,328,701.00 ",6.3,"$1,087,395.00 ",81.8,"$51,876.00 ",3.9,"$189,430.00 ",14.3
Counties,-,"$291,895.00 ","$108,384.00 ",37.1,"$3,570.00 ",3.3,"$1,020.00 ",0.9,"$103,794.00 ",95.8
Municipalities,-,"$17,018,647.00 ","$1,220,317.00 ",7.2,"$1,083,825.00 ",88.8,"$50,856.00 ",4.2,"$85,636.00 ",7
Michigan,9938,"$61,443,616.00 ","$4,550,728.00 ",7.4,"$1,792,535.00 ",39.4,"$905,473.00 ",19.9,"$1,852,720.00 ",40.7
State,-,"$25,547,864.00 ","$1,907,977.00 ",7.5,"$283,956.00 ",14.9,"$141,075.00 ",7.4,"$1,482,946.00 ",77.7
"Local, total",-,"$35,895,752.00 ","$2,642,751.00 ",7.4,"$1,508,579.00 ",57.1,"$764,398.00 ",28.9,"$369,774.00 ",14
Counties,-,"$7,353,455.00 ","$1,230,970.00 ",16.7,"$286,062.00 ",23.2,"$580,698.00 ",47.2,"$364,210.00 ",29.6
Municipalities,-,"$12,550,534.00 ","$1,411,781.00 ",11.2,"$1,222,517.00 ",86.6,"$183,700.00 ",13,"$5,564.00 ",0.4
Minnesota,4919,"$35,423,651.00 ","$1,907,219.00 ",5.4,"$873,741.00 ",45.8,"$442,395.00 ",23.2,"$591,083.00 ",31
State,-,"$15,715,933.00 ","$596,353.00 ",3.8,"$123,456.00 ",20.7,"$180,202.00 ",30.2,"$292,695.00 ",49.1
"Local, total",-,"$19,707,718.00 ","$1,310,866.00 ",6.7,"$750,285.00 ",57.2,"$262,193.00 ",20,"$298,388.00 ",22.8
Counties,-,"$4,182,091.00 ","$800,074.00 ",19.1,"$263,389.00 ",32.9,"$238,892.00 ",29.9,"$297,793.00 ",37.2
Municipalities,-,"$6,246,565.00 ","$510,792.00 ",8.2,"$486,896.00 ",95.3,"$23,301.00 ",4.6,$595.00 ,0.1
Mississippi,2845,"$15,378,511.00 ","$850,076.00 ",5.5,"$403,888.00 ",47.5,"$154,349.00 ",18.2,"$291,839.00 ",34.3
State,-,"$7,724,155.00 ","$372,371.00 ",4.8,"$67,018.00 ",18,"$63,405.00 ",17,"$241,948.00 ",65
"Local, total",-,"$7,654,356.00 ","$477,705.00 ",6.2,"$336,870.00 ",70.5,"$90,944.00 ",19,"$49,891.00 ",10.4
Counties,-,"$1,973,011.00 ","$255,736.00 ",13,"$128,969.00 ",50.4,"$79,483.00 ",31.1,"$47,284.00 ",18.5
Municipalities,-,"$1,998,385.00 ","$221,969.00 ",11.1,"$207,901.00 ",93.7,"$11,461.00 ",5.2,"$2,607.00 ",1.2
Missouri,5595,"$27,950,969.00 ","$1,916,548.00 ",6.9,"$885,498.00 ",46.2,"$358,717.00 ",18.7,"$672,333.00 ",35.1
State,-,"$12,764,365.00 ","$817,052.00 ",6.4,"$124,571.00 ",15.2,"$178,646.00 ",21.9,"$513,835.00 ",62.9
"Local, total",-,"$15,186,604.00 ","$1,099,496.00 ",7.2,"$760,927.00 ",69.2,"$180,071.00 ",16.4,"$158,498.00 ",14.4
Counties,-,"$1,490,775.00 ","$375,531.00 ",25.2,"$150,860.00 ",40.2,"$115,049.00 ",30.6,"$109,622.00 ",29.2
Municipalities,-,"$4,844,712.00 ","$723,965.00 ",14.9,"$610,067.00 ",84.3,"$65,022.00 ",9,"$48,876.00 ",6.8
Montana,902,"$4,983,156.00 ","$326,155.00 ",6.5,"$135,806.00 ",41.6,"$65,616.00 ",20.1,"$124,733.00 ",38.2
State,-,"$2,957,657.00 ","$152,793.00 ",5.2,"$24,718.00 ",16.2,"$23,932.00 ",15.7,"$104,143.00 ",68.2
"Local, total",-,"$2,025,499.00 ","$173,362.00 ",8.6,"$111,088.00 ",64.1,"$41,684.00 ",24,"$20,590.00 ",11.9
Counties,-,"$402,060.00 ","$111,260.00 ",27.7,"$57,352.00 ",51.5,"$33,725.00 ",30.3,"$20,183.00 ",18.1
Municipalities,-,"$429,166.00 ","$62,102.00 ",14.5,"$53,736.00 ",86.5,"$7,959.00 ",12.8,$407.00 ,0.7
Nebraska,1711,"$10,820,079.00 ","$562,621.00 ",5.2,"$235,245.00 ",41.8,"$95,919.00 ",17,"$231,457.00 ",41.1
State,-,"$4,186,571.00 ","$261,369.00 ",6.2,"$48,731.00 ",18.6,"$40,010.00 ",15.3,"$172,628.00 ",66
"Local, total",-,"$6,633,508.00 ","$301,252.00 ",4.5,"$186,514.00 ",61.9,"$55,909.00 ",18.6,"$58,829.00 ",19.5
Counties,-,"$764,868.00 ","$158,386.00 ",20.7,"$52,578.00 ",33.2,"$51,085.00 ",32.3,"$54,723.00 ",34.6
Municipalities,-,"$1,447,864.00 ","$142,866.00 ",9.9,"$133,936.00 ",93.7,"$4,824.00 ",3.4,"$4,106.00 ",2.9
Nevada,1998,"$11,223,671.00 ","$1,258,843.00 ",11.2,"$539,187.00 ",42.8,"$248,163.00 ",19.7,"$471,493.00 ",37.5
State,-,"$3,796,937.00 ","$318,405.00 ",8.4,"$57,902.00 ",18.2,"$42,937.00 ",13.5,"$217,566.00 ",68.3
"Local, total",-,"$7,426,734.00 ","$940,438.00 ",12.7,"$481,285.00 ",51.2,"$205,226.00 ",21.8,"$253,927.00 ",27
Counties,-,"$3,108,826.00 ","$716,221.00 ",23,"$335,292.00 ",46.8,"$167,206.00 ",23.3,"$213,723.00 ",29.8
Municipalities,-,"$1,229,530.00 ","$224,217.00 ",18.2,"$145,993.00 ",65.1,"$38,020.00 ",17,"$40,204.00 ",17.9
New Hampshire,1236,"$6,222,433.00 ","$394,551.00 ",6.3,"$187,070.00 ",47.4,"$92,297.00 ",23.4,"$115,184.00 ",29.2
State,-,"$3,312,805.00 ","$199,551.00 ",6,"$38,402.00 ",19.2,"$76,205.00 ",38.2,"$84,944.00 ",42.6
"Local, total",-,"$2,909,628.00 ","$195,000.00 ",6.7,"$148,668.00 ",76.2,"$16,092.00 ",8.3,"$30,240.00 ",15.5
Counties,-,"$198,879.00 ","$49,738.00 ",25,"$11,420.00 ",23,"$8,078.00 ",16.2,"$30,240.00 ",60.8
Municipalities,-,"$1,421,391.00 ","$145,262.00 ",10.2,"$137,248.00 ",94.5,"$8,014.00 ",5.5,$0.00 ,0
New Jersey,8414,"$54,511,830.00 ","$4,659,648.00 ",8.5,"$2,231,315.00 ",47.9,"$948,078.00 ",20.3,"$1,480,255.00 ",31.8
State,-,"$26,143,680.00 ","$1,993,660.00 ",7.6,"$401,894.00 ",20.2,"$541,489.00 ",27.2,"$1,050,277.00 ",52.7
"Local, total",-,"$28,368,150.00 ","$2,665,988.00 ",9.4,"$1,829,421.00 ",68.6,"$406,589.00 ",15.3,"$429,978.00 ",16.1
Counties,-,"$5,540,532.00 ","$841,441.00 ",15.2,"$156,264.00 ",18.6,"$257,855.00 ",30.6,"$427,322.00 ",50.8
Municipalities,-,"$9,933,167.00 ","$1,824,547.00 ",18.4,"$1,673,157.00 ",91.7,"$148,734.00 ",8.2,"$2,656.00 ",0.1
New Mexico,1819,"$11,194,843.00 ","$864,578.00 ",7.7,"$382,185.00 ",44.2,"$166,974.00 ",19.3,"$315,419.00 ",36.5
State,-,"$6,253,225.00 ","$442,509.00 ",7.1,"$77,574.00 ",17.5,"$148,213.00 ",33.5,"$216,722.00 ",49
"Local, total",-,"$4,941,618.00 ","$422,069.00 ",8.5,"$304,611.00 ",72.2,"$18,761.00 ",4.4,"$98,697.00 ",23.4
Counties,-,"$739,282.00 ","$149,002.00 ",20.2,"$84,408.00 ",56.6,"$5,490.00 ",3.7,"$59,104.00 ",39.7
Municipalities,-,"$1,772,141.00 ","$273,067.00 ",15.4,"$220,203.00 ",80.6,"$13,271.00 ",4.9,"$39,593.00 ",14.5
New York,18976,"$171,232,216.00 ","$12,371,653.00 ",7.2,"$5,716,952.00 ",46.2,"$2,262,471.00 ",18.3,"$4,392,230.00 ",35.5
State,-,"$65,651,806.00 ","$4,126,686.00 ",6.3,"$421,887.00 ",10.2,"$1,406,602.00 ",34.1,"$2,298,197.00 ",55.7
"Local, total",-,"$105,580,410.00 ","$8,244,967.00 ",7.8,"$5,295,065.00 ",64.2,"$855,869.00 ",10.4,"$2,094,033.00 ",25.4
Counties,-,"$14,198,451.00 ","$2,314,254.00 ",16.3,"$1,177,465.00 ",50.9,"$290,369.00 ",12.5,"$846,420.00 ",36.6
Municipalities,-,"$65,945,675.00 ","$5,930,713.00 ",9,"$4,117,600.00 ",69.4,"$565,500.00 ",9.5,"$1,247,613.00 ",21
North Carolina,8049,"$46,134,556.00 ","$3,010,205.00 ",6.5,"$1,381,315.00 ",45.9,"$470,322.00 ",15.6,"$1,158,568.00 ",38.5
State,-,"$20,314,037.00 ","$1,663,902.00 ",8.2,"$350,889.00 ",21.1,"$407,349.00 ",24.5,"$905,664.00 ",54.4
"Local, total",-,"$25,820,519.00 ","$1,346,303.00 ",5.2,"$1,030,426.00 ",76.5,"$62,973.00 ",4.7,"$252,904.00 ",18.8
Counties,-,"$17,295,355.00 ","$650,647.00 ",3.8,"$345,309.00 ",53.1,"$52,434.00 ",8.1,"$252,904.00 ",38.9
Municipalities,-,"$6,070,026.00 ","$695,656.00 ",11.5,"$685,117.00 ",98.5,"$10,539.00 ",1.5,$0.00 ,0
North Dakota,642,"$4,040,996.00 ","$164,036.00 ",4.1,"$68,182.00 ",41.6,"$55,424.00 ",33.8,"$40,430.00 ",24.6
State,-,"$2,265,856.00 ","$68,863.00 ",3,"$12,125.00 ",17.6,"$27,882.00 ",40.5,"$28,856.00 ",41.9
"Local, total",-,"$1,775,140.00 ","$95,173.00 ",5.4,"$56,057.00 ",58.9,"$27,542.00 ",28.9,"$11,574.00 ",12.2
Counties,-,"$283,717.00 ","$55,457.00 ",19.5,"$18,799.00 ",33.9,"$25,243.00 ",45.5,"$11,415.00 ",20.6
Municipalities,-,"$582,154.00 ","$39,716.00 ",6.8,"$37,258.00 ",93.8,"$2,299.00 ",5.8,$159.00 ,0.4
Ohio,11353,"$68,417,151.00 ","$5,220,319.00 ",7.6,"$2,124,836.00 ",40.7,"$1,158,075.00 ",22.2,"$1,937,408.00 ",37.1
State,-,"$31,698,486.00 ","$1,912,370.00 ",6,"$224,802.00 ",11.8,"$200,893.00 ",10.5,"$1,486,675.00 ",77.7
"Local, total",-,"$36,718,665.00 ","$3,307,949.00 ",9,"$1,900,034.00 ",57.4,"$957,182.00 ",28.9,"$450,733.00 ",13.6
Counties,-,"$9,198,446.00 ","$1,589,148.00 ",17.3,"$443,687.00 ",27.9,"$730,469.00 ",46,"$414,992.00 ",26.1
Municipalities,-,"$10,342,096.00 ","$1,718,801.00 ",16.6,"$1,456,347.00 ",84.7,"$226,713.00 ",13.2,"$35,741.00 ",2.1
Oklahoma,3451,"$15,920,483.00 ","$1,222,839.00 ",7.7,"$518,334.00 ",42.4,"$193,183.00 ",15.8,"$511,322.00 ",41.8
State,-,"$7,540,303.00 ","$678,922.00 ",9,"$75,487.00 ",11.1,"$141,232.00 ",20.8,"$462,203.00 ",68.1
"Local, total",-,"$8,380,180.00 ","$543,917.00 ",6.5,"$442,847.00 ",81.4,"$51,951.00 ",9.6,"$49,119.00 ",9
Counties,-,"$899,533.00 ","$124,005.00 ",13.8,"$49,538.00 ",39.9,"$25,421.00 ",20.5,"$49,046.00 ",39.6
